V0	Vf	V_sent	D	dt	triple_id	sample_id
0.203639	0.020258	0.000000	13.189941	0.099446	0.000000	0.000000
0.393024	0.021782	0.000000	33.193848	0.127568	1.000000	0.000000
0.604280	0.024169	0.000000	59.990234	0.172000	2.000000	0.000000
0.704532	0.028256	0.000000	94.047852	0.199996	3.000000	0.000000
1.001874	0.034247	0.000000	135.094238	0.230315	4.000000	0.000000
1.201836	0.039257	0.000000	183.119629	0.272001	5.000000	0.000000
1.404596	0.045336	0.000000	214.822754	0.297951	6.000000	0.000000
1.604616	0.032514	0.000000	273.796143	0.346001	7.000000	0.000000
1.713745	0.003838	0.000000	369.597168	0.387009	8.000000	0.000000
1.914835	0.006094	0.000000	445.999756	0.413824	9.000000	0.000000
0.000000	0.191583	0.200000	8.148437	0.113001	10.000000	0.000000
0.329935	0.220279	0.200000	33.039062	0.098988	11.000000	0.000000
0.604280	0.221788	0.200000	59.650879	0.129000	12.000000	0.000000
0.804564	0.224161	0.200000	93.128418	0.173999	13.000000	0.000000
0.906369	0.228306	0.200000	133.891602	0.200999	14.000000	0.000000
1.108088	0.234326	0.200000	181.775391	0.230005	15.000000	0.000000
1.388878	0.239226	0.200000	236.448975	0.272002	16.000000	0.000000
1.511571	0.245364	0.200000	325.001465	0.311554	17.000000	0.000000
1.801663	0.200943	0.200000	370.268555	0.361001	18.000000	0.000000
1.984560	0.203726	0.200000	412.657959	0.377184	19.000000	0.000000
0.000000	0.370876	0.400000	20.094238	0.143147	20.000000	0.000000
0.203726	0.378947	0.400000	26.906738	0.101001	21.000000	0.000000
0.590511	0.420255	0.400000	53.002930	0.100001	22.000000	0.000000
0.779179	0.421779	0.400000	86.322754	0.129003	23.000000	0.000000
0.980166	0.395529	0.400000	116.408203	0.170997	24.000000	0.000000
1.204605	0.428239	0.400000	153.815430	0.199001	25.000000	0.000000
1.309603	0.434325	0.400000	228.445557	0.230005	26.000000	0.000000
1.604616	0.439188	0.400000	263.108643	0.258000	27.000000	0.000000
1.713745	0.445333	0.400000	328.180664	0.301328	28.000000	0.000000
1.986479	0.400956	0.400000	440.292236	0.348116	29.000000	0.000000
0.000000	0.564745	0.600000	39.349121	0.171000	30.000000	0.000000
0.203726	0.574486	0.600000	46.752441	0.127002	31.000000	0.000000
0.401227	0.578953	0.600000	46.907715	0.099998	32.000000	0.000000
0.804564	0.620246	0.600000	72.996094	0.100005	33.000000	0.000000
0.906369	0.621814	0.600000	113.044434	0.126552	34.000000	0.000000
1.108088	0.595535	0.600000	149.760254	0.171002	35.000000	0.000000
1.404625	0.628237	0.600000	213.816895	0.203007	36.000000	0.000000
1.511571	0.621511	0.600000	258.327637	0.242661	37.000000	0.000000
1.804534	0.639333	0.600000	313.118652	0.256004	38.000000	0.000000
1.986479	0.645265	0.600000	418.164551	0.300996	39.000000	0.000000
0.001538	0.801312	0.800000	78.309082	0.201195	40.000000	0.000000
0.193590	0.768412	0.800000	72.846191	0.161997	41.000000	0.000000
0.404216	0.774477	0.800000	73.421387	0.130000	42.000000	0.000000
0.527948	0.778974	0.800000	66.954102	0.102002	43.000000	0.000000
1.004584	0.820252	0.800000	76.326660	0.085000	44.000000	0.000000
1.108088	0.795218	0.800000	152.990234	0.144000	45.000000	0.000000
1.384308	0.824163	0.800000	193.142090	0.157001	46.000000	0.000000
1.601731	0.795731	0.800000	267.089844	0.202001	47.000000	0.000000
1.784056	0.834248	0.800000	321.712646	0.228008	48.000000	0.000000
2.001632	0.839214	0.800000	396.449707	0.257998	49.000000	0.000000
0.000000	0.951060	1.000000	96.748535	0.245000	50.000000	0.000000
0.194630	0.961680	1.000000	105.148437	0.197111	51.000000	0.000000
0.404216	0.980264	1.000000	122.907227	0.183999	52.000000	0.000000
0.590511	1.004467	1.000000	116.813965	0.145002	53.000000	0.000000
0.780541	0.978950	1.000000	86.921387	0.100000	54.000000	0.000000
1.108088	1.020302	1.000000	113.059570	0.100645	55.000000	0.000000
1.404596	1.021774	1.000000	166.311768	0.143002	56.000000	0.000000
1.585046	1.015009	1.000000	243.087402	0.186000	57.000000	0.000000
1.804534	1.028256	1.000000	293.821045	0.214105	58.000000	0.000000
2.001632	1.034240	1.000000	335.032471	0.227995	59.000000	0.000000
0.002388	1.188697	1.200000	150.188965	0.288649	60.000000	0.000000
0.140871	1.153922	1.200000	143.722168	0.230001	61.000000	0.000000
0.404216	1.161686	1.200000	138.477051	0.198999	62.000000	0.000000
0.527948	1.168439	1.200000	139.556641	0.155999	63.000000	0.000000
0.801927	1.174474	1.200000	113.412109	0.126996	64.000000	0.000000
0.906369	1.178985	1.200000	106.973633	0.101000	65.000000	0.000000
1.401798	1.220249	1.200000	132.994629	0.101005	66.000000	0.000000
1.601731	1.221780	1.200000	192.979004	0.130012	67.000000	0.000000
1.713745	1.224094	1.200000	259.842041	0.173999	68.000000	0.000000
1.914835	1.228298	1.200000	333.885010	0.213602	69.000000	0.000000
0.000000	1.404025	1.400000	226.118652	0.332004	70.000000	0.000000
0.194630	1.397594	1.400000	211.903809	0.288999	71.000000	0.000000
