V0	Vf	V_sent
0.200000	0.000000	0.000000	0.000000
0.400000	0.000000	0.000000	1.000000
0.600000	0.000000	0.000000	2.000000
0.800000	0.000000	0.000000	3.000000
1.000000	0.000000	0.000000	4.000000
1.200000	0.000000	0.000000	5.000000
1.400000	0.000000	0.000000	6.000000
1.600000	0.000000	0.000000	7.000000
1.800000	0.000000	0.000000	8.000000
2.000000	0.000000	0.000000	9.000000
0.000000	0.200000	0.200000	10.000000
0.400000	0.200000	0.200000	11.000000
0.600000	0.200000	0.200000	12.000000
0.800000	0.200000	0.200000	13.000000
1.000000	0.200000	0.200000	14.000000
1.200000	0.200000	0.200000	15.000000
1.400000	0.200000	0.200000	16.000000
1.600000	0.200000	0.200000	17.000000
1.800000	0.200000	0.200000	18.000000
2.000000	0.200000	0.200000	19.000000
0.000000	0.400000	0.400000	20.000000
0.200000	0.400000	0.400000	21.000000
0.600000	0.400000	0.400000	22.000000
0.800000	0.400000	0.400000	23.000000
1.000000	0.400000	0.400000	24.000000
1.200000	0.400000	0.400000	25.000000
1.400000	0.400000	0.400000	26.000000
1.600000	0.400000	0.400000	27.000000
1.800000	0.400000	0.400000	28.000000
2.000000	0.400000	0.400000	29.000000
0.000000	0.600000	0.600000	30.000000
0.200000	0.600000	0.600000	31.000000
0.400000	0.600000	0.600000	32.000000
0.800000	0.600000	0.600000	33.000000
1.000000	0.600000	0.600000	34.000000
1.200000	0.600000	0.600000	35.000000
1.400000	0.600000	0.600000	36.000000
1.600000	0.600000	0.600000	37.000000
1.800000	0.600000	0.600000	38.000000
2.000000	0.600000	0.600000	39.000000
0.000000	0.800000	0.800000	40.000000
0.200000	0.800000	0.800000	41.000000
0.400000	0.800000	0.800000	42.000000
0.600000	0.800000	0.800000	43.000000
1.000000	0.800000	0.800000	44.000000
1.200000	0.800000	0.800000	45.000000
1.400000	0.800000	0.800000	46.000000
1.600000	0.800000	0.800000	47.000000
1.800000	0.800000	0.800000	48.000000
2.000000	0.800000	0.800000	49.000000
0.000000	1.000000	1.000000	50.000000
0.200000	1.000000	1.000000	51.000000
0.400000	1.000000	1.000000	52.000000
0.600000	1.000000	1.000000	53.000000
0.800000	1.000000	1.000000	54.000000
1.200000	1.000000	1.000000	55.000000
1.400000	1.000000	1.000000	56.000000
1.600000	1.000000	1.000000	57.000000
1.800000	1.000000	1.000000	58.000000
2.000000	1.000000	1.000000	59.000000
0.000000	1.200000	1.200000	60.000000
0.200000	1.200000	1.200000	61.000000
0.400000	1.200000	1.200000	62.000000
0.600000	1.200000	1.200000	63.000000
0.800000	1.200000	1.200000	64.000000
1.000000	1.200000	1.200000	65.000000
1.400000	1.200000	1.200000	66.000000
1.600000	1.200000	1.200000	67.000000
1.800000	1.200000	1.200000	68.000000
2.000000	1.200000	1.200000	69.000000
0.000000	1.400000	1.400000	70.000000
0.200000	1.400000	1.400000	71.000000
0.400000	1.400000	1.400000	72.000000
0.600000	1.400000	1.400000	73.000000
0.800000	1.400000	1.400000	74.000000
1.000000	1.400000	1.400000	75.000000
1.200000	1.400000	1.400000	76.000000
1.600000	1.400000	1.400000	77.000000
1.800000	1.400000	1.400000	78.000000
2.000000	1.400000	1.400000	79.000000
0.000000	1.600000	1.600000	80.000000
0.200000	1.600000	1.600000	81.000000
0.400000	1.600000	1.600000	82.000000
0.600000	1.600000	1.600000	83.000000
0.800000	1.600000	1.600000	84.000000
1.000000	1.600000	1.600000	85.000000
1.200000	1.600000	1.600000	86.000000
1.400000	1.600000	1.600000	87.000000
1.800000	1.600000	1.600000	88.000000
2.000000	1.600000	1.600000	89.000000
0.000000	1.800000	1.800000	90.000000
0.200000	1.800000	1.800000	91.000000
0.400000	1.800000	1.800000	92.000000
0.600000	1.800000	1.800000	93.000000
0.800000	1.800000	1.800000	94.000000
1.000000	1.800000	1.800000	95.000000
1.200000	1.800000	1.800000	96.000000
1.400000	1.800000	1.800000	97.000000
1.600000	1.800000	1.800000	98.000000
2.000000	1.800000	1.800000	99.000000
0.000000	2.000000	2.000000	100.000000
0.200000	2.000000	2.000000	101.000000
0.400000	2.000000	2.000000	102.000000
0.600000	2.000000	2.000000	103.000000
0.800000	2.000000	2.000000	104.000000
1.000000	2.000000	2.000000	105.000000
1.200000	2.000000	2.000000	106.000000
1.400000	2.000000	2.000000	107.000000
1.600000	2.000000	2.000000	108.000000
1.800000	2.000000	2.000000	109.000000
