V0	Vf	V_sent	D	dt
-2.965478	-3.959286	-4.000000	811.114258	0.142953
-2.001786	-3.997479	-4.000000	1371.506348	0.260779
-1.001679	-4.002645	-4.000000	1630.514648	0.370033
0.000000	-4.001658	-4.000000	1695.679687	0.589951
-4.000408	-3.034412	-3.000000	894.937500	0.127001
-2.002035	-2.959199	-3.000000	577.711426	0.329026
-1.000400	-2.961786	-3.000000	854.800781	0.302524
0.000000	-2.997762	-3.000000	930.468750	0.391035
-4.001805	-2.025985	-2.000000	1117.684082	0.643997
-3.003280	-2.001024	-2.000000	644.933594	0.201260
-1.002050	-1.959209	-2.000000	394.374023	0.142005
-0.003437	-1.995253	-2.000000	404.806641	0.246003
-4.000657	-1.032914	-1.000000	1501.267578	0.509960
-3.001639	-1.016083	-1.000000	817.616699	0.229005
-2.000165	-1.000126	-1.000000	378.232910	0.216034
0.000000	-0.959170	-1.000000	111.093750	0.184999
-4.000516	-0.017307	0.000000	1545.970215	0.601110
-3.001639	0.004394	0.000000	918.210449	0.370000
-2.000771	0.004980	0.000000	451.274902	0.270995
-1.000747	-0.000996	0.000000	128.446289	0.130032
1.000424	-0.002305	0.000000	118.506836	0.185998
2.001537	0.041801	0.000000	412.577881	0.342244
3.003172	0.016250	0.000000	981.749512	0.329955
4.000525	0.002783	0.000000	1592.754639	0.655964
0.000000	0.988999	1.000000	107.974609	0.403983
2.001632	1.021464	1.000000	418.298096	0.141964
3.003045	1.003359	1.000000	828.992676	0.354980
4.001771	1.026007	1.000000	1448.136475	0.386967
0.001719	1.987465	2.000000	416.227295	0.312036
1.001874	2.000065	2.000000	380.433838	0.157997
3.001405	2.021488	2.000000	584.970703	0.289003
4.001229	2.041761	2.000000	1345.707031	0.386000
0.000000	2.997875	3.000000	859.666504	0.477006
1.003290	2.981059	3.000000	833.612305	0.275999
2.001298	2.970922	3.000000	647.105469	0.199997
4.001514	2.997117	3.000000	951.645264	0.215965
0.007500	3.971727	4.000000	1453.301514	0.562490
1.004306	3.966615	4.000000	1443.188965	0.485956
2.000253	3.988343	4.000000	1317.004395	0.258010
3.004459	3.970912	4.000000	963.780029	0.245000
