V0	Vf	V_sent	D	dt
-6.984353	-6.813892	-6.800000	576.110107	0.095501
-7.001689	-6.609126	-6.600000	911.965820	0.136002
-6.789104	-6.604812	-6.600000	671.098389	0.099516
-6.990925	-6.405985	-6.400000	1065.922119	0.157508
-6.803345	-6.409120	-6.400000	828.632324	0.129994
-6.592394	-6.413895	-6.400000	597.783936	0.092000
-7.002838	-6.199710	-6.200000	1323.043945	0.207257
-6.803345	-6.205979	-6.200000	1090.920898	0.173996
-6.592394	-6.209129	-6.200000	803.637939	0.144000
-6.385829	-6.213889	-6.200000	632.787598	0.100495
-7.002838	-6.001088	-6.000000	1469.957520	0.247999
-6.803345	-6.003366	-6.000000	1233.056885	0.193508
-6.571956	-6.005996	-6.000000	1002.604980	0.170501
-6.385829	-6.007211	-6.000000	881.950562	0.149694
-6.126491	-6.013906	-6.000000	561.137817	0.099499
-6.966101	-5.848198	-5.800000	1565.070068	0.246004
-6.789748	-5.801090	-5.800000	1481.630127	0.258505
-6.591471	-5.821085	-5.800000	1194.729980	0.200001
-6.359895	-5.805983	-5.800000	970.945190	0.164000
-6.158168	-5.828892	-5.800000	805.382690	0.136628
-5.965834	-5.813896	-5.800000	592.799561	0.107937
-6.980471	-5.641923	-5.600000	1753.166504	0.288761
-6.802159	-5.648149	-5.600000	1516.703857	0.252501
-6.591061	-5.601084	-5.600000	1379.958984	0.236002
-6.404535	-5.602493	-5.600000	1149.714966	0.202498
-6.204302	-5.604632	-5.600000	1037.575928	0.179002
-5.937318	-5.609126	-5.600000	728.652588	0.130004
-5.777170	-5.613890	-5.600000	572.792969	0.093492
-6.977287	-5.436388	-5.400000	2051.014160	0.337484
-6.803345	-5.441896	-5.400000	1754.813965	0.302001
-6.543297	-5.448282	-5.400000	1468.441772	0.267002
-6.360990	-5.401086	-5.400000	1388.321167	0.249218
-6.202200	-5.403364	-5.400000	1066.385742	0.202760
-5.999137	-5.404626	-5.400000	952.568848	0.174752
-5.803302	-5.402298	-5.400000	796.947876	0.137497
-5.598920	-5.411161	-5.400000	644.427979	0.108500
-6.984587	-5.231072	-5.200000	2108.703857	0.369000
-6.793314	-5.236389	-5.200000	1929.336426	0.330760
-6.555466	-5.241919	-5.200000	1698.186401	0.305000
-6.317444	-5.248196	-5.200000	1420.076050	0.259490
-6.165397	-5.201080	-5.200000	1341.643921	0.244495
-6.002553	-5.203358	-5.200000	1129.725342	0.225495
-5.799310	-5.218958	-5.200000	967.570312	0.188997
-5.602534	-5.209115	-5.200000	678.627686	0.130493
-5.403891	-5.213883	-5.200000	532.776855	0.108001
-6.984587	-5.010552	-5.000000	2317.711914	0.420500
-6.789748	-5.031066	-5.000000	2097.030273	0.372647
-6.506369	-5.036523	-5.000000	1811.114502	0.339001
-6.383969	-5.041906	-5.000000	1641.494385	0.289501
-6.165397	-5.039274	-5.000000	1413.337402	0.258498
-5.965834	-5.000173	-5.000000	1328.293457	0.260225
-5.801306	-5.003359	-5.000000	1041.389771	0.208503
-5.582195	-5.005989	-5.000000	797.594116	0.156996
-5.402767	-5.009112	-5.000000	653.629028	0.135997
-5.188794	-5.013884	-5.000000	512.783691	0.108495
-6.966101	-4.821539	-4.800000	2494.970703	0.448342
-6.788562	-4.826007	-4.800000	2257.722900	0.411999
-6.555466	-4.831156	-4.800000	1972.097778	0.372998
-6.360990	-4.836407	-4.800000	1802.703979	0.337584
-6.189844	-4.841900	-4.800000	1584.819336	0.305001
-5.999137	-4.848155	-4.800000	1373.371826	0.266999
-5.743797	-4.801076	-4.800000	1248.321167	0.253488
-5.602685	-4.803350	-4.800000	1003.052490	0.195000
-5.403137	-4.805968	-4.800000	857.582520	0.180001
-5.203244	-4.809110	-4.800000	671.961182	0.136993
-4.941823	-4.813886	-4.800000	492.810547	0.108001
-6.998722	-4.606028	-4.600000	2686.849365	0.494501
-6.789748	-4.621534	-4.600000	2411.618896	0.424000
-6.554133	-4.626023	-4.600000	2181.085571	0.401498
-6.390901	-4.631062	-4.600000	1903.690430	0.366003
-6.165397	-4.616436	-4.600000	1725.989624	0.336052
-5.993336	-4.641894	-4.600000	1528.150024	0.327759
-5.777170	-4.648164	-4.600000	1275.049316	0.261012
-5.582195	-4.601081	-4.600000	1108.297363	0.237258
-5.387265	-4.603355	-4.600000	964.729614	0.207499
-5.153166	-4.605974	-4.600000	824.282715	0.178500
-4.963109	-4.609119	-4.600000	561.965332	0.130009
-4.776222	-4.613880	-4.600000	432.777100	0.101005
-6.984353	-4.413427	-4.400000	2795.285156	0.504022
-6.774965	-4.417075	-4.400000	2501.895264	0.474258
-6.592394	-4.421528	-4.400000	2273.280762	0.445502
-6.360990	-4.410556	-4.400000	2087.715088	0.408501
