V0	Vf	V_sent	D	dt
0.018252	0.000000	0.000000	0.002197	0.006499
0.000916	0.000000	0.000000	0.002441	0.004988
0.014139	0.009089	0.000000	111.656494	0.001493
0.012148	0.000000	0.000000	58.333740	0.014490
0.001186	0.000000	0.000000	56.667480	0.001006
0.012169	0.000000	0.000000	55.007080	0.007999
0.000234	0.003662	0.000000	109.988281	0.005741
0.001186	0.000000	0.000000	0.000000	0.000004
0.012169	0.000000	0.000000	55.007080	0.001002
0.000000	0.000000	0.000000	0.000000	0.000496
0.000234	0.000007	0.000000	58.333008	0.000999
0.001186	0.000000	0.000000	56.669189	0.008491
0.008269	0.000007	0.000000	55.003418	0.000499
0.000000	0.001912	0.000000	49.986450	0.005687
0.000000	0.000000	0.000000	51.687134	0.000501
0.000000	0.000029	0.000000	58.326416	0.016994
0.014784	0.000000	0.000000	0.008057	0.016499
0.011246	0.017724	0.000000	55.009277	0.013007
0.042450	0.000000	0.000000	53.363647	0.007995
0.031677	0.019775	0.000000	0.077515	0.007632
0.028516	0.000004	0.000000	0.016602	0.008067
0.014370	0.000000	0.000000	58.340332	0.003763
0.000000	0.000000	0.000000	56.669189	0.006502
0.010836	0.000000	0.000000	55.009277	0.021001
0.000000	0.000876	0.000000	46.659058	0.014503
0.000000	0.001345	0.000000	46.650146	0.009001
0.000000	0.000000	0.000000	50.017334	0.001001
0.026132	0.000004	0.000000	0.012695	0.007494
0.025786	0.000007	0.000000	58.345215	0.003521
0.001186	0.000007	0.000000	0.001953	0.001001
0.036928	0.000125	0.000000	54.944946	0.008003
0.043545	0.000007	0.000000	0.024780	0.006777
0.000000	0.000000	0.000000	0.000000	0.001240
0.004786	0.001345	0.000000	5.020996	0.001245
0.000000	0.006815	0.000000	44.981567	0.006497
0.003746	0.002720	0.000000	91.646240	0.006504
0.018486	0.000000	0.000000	58.343506	0.008000
0.008845	0.000000	0.000000	0.000000	0.026239
0.049097	0.000022	0.000000	0.038452	0.003999
0.000000	0.000000	0.000000	53.356323	0.000504
0.038905	0.000007	0.000000	0.027222	0.013495
0.001370	0.000000	0.000000	0.003662	0.008501
0.000000	0.012978	0.000000	43.316650	0.016000
0.000132	0.000000	0.000000	46.669434	0.002504
0.000000	0.000000	0.000000	0.000000	0.007004
0.018486	0.015461	0.000000	16.672363	0.004499
0.014784	0.000000	0.000000	0.008789	0.021351
0.000000	0.000095	0.000000	54.966797	0.004996
0.001860	0.000000	0.000000	0.004639	0.001497
