V0	Vf	V_sent
5.534782	1.422991	1.400000	274.000000
6.769919	2.024429	2.000000	385.000000
5.963033	3.623179	3.600000	661.000000
6.540693	3.601290	3.600000	664.000000
5.335392	3.815569	3.800000	693.000000
3.180777	4.764794	4.800000	858.000000
3.547370	4.984863	5.000000	895.000000
4.783766	5.158272	5.200000	936.000000
5.568159	5.223424	5.200000	939.000000
6.761975	5.212306	5.200000	945.000000
6.912103	5.226409	5.200000	946.000000
5.153213	5.364369	5.400000	973.000000
5.949899	5.420473	5.400000	976.000000
6.110103	5.411127	5.400000	977.000000
6.888686	6.006165	6.000000	1086.000000
4.348029	6.366373	6.400000	1144.000000
5.498483	6.372701	6.400000	1150.000000
1.339614	6.574401	6.600000	1164.000000
5.162340	6.578302	6.600000	1183.000000
4.942910	6.750290	6.800000	1217.000000
0.529303	6.961511	7.000000	1230.000000
1.326000	6.937678	7.000000	1234.000000
1.764356	6.960933	7.000000	1236.000000
4.522583	6.969642	7.000000	1250.000000
4.938892	6.967675	7.000000	1252.000000
6.700275	6.948454	7.000000	1261.000000
6.600000	4.600000	4.600000	839.000000
