V0	Vf	V_sent	D	dt
0.032641	0.016061	0.000000	119.116440	0.011515
0.001782	0.004758	0.000000	7.896716	0.012827
0.014225	0.000021	0.000000	58.947904	0.006376
0.017740	0.000007	0.000000	54.976862	0.025258
0.039632	0.013790	0.000000	19.647325	0.010627
0.031398	0.003736	0.000000	62.392325	0.015178
0.003180	0.000007	0.000000	0.001936	0.031710
0.002931	0.000007	0.000000	39.271587	0.016627
0.019058	0.013182	0.000000	70.718304	0.025728
0.000585	0.016459	0.000000	70.729438	0.027566
0.011373	0.012170	0.000000	87.768242	0.022555
0.036510	0.014546	0.000000	23.619756	0.032838
0.019994	0.000007	0.000000	19.660284	0.031978
0.038092	0.000007	0.000000	0.016438	0.018930
0.042596	0.000014	0.000000	0.066701	0.022618
0.015309	0.000307	0.000000	0.437362	0.043530
0.026738	0.000007	0.000000	1.917901	0.023240
0.000000	0.013997	0.000000	40.183816	0.054648
0.000138	0.000014	0.000000	141.421126	0.013097
0.014881	0.016079	0.000000	3.964706	0.005763
0.034116	0.000038	0.000000	0.040866	0.013033
0.017208	0.014901	0.000000	66.822972	0.007407
0.001353	0.001031	0.000000	147.357690	0.061933
0.000956	0.000000	0.000000	47.145228	0.010303
0.000204	0.000007	0.000000	0.000691	0.007180
0.032483	0.000021	0.000000	68.013909	0.023939
0.018997	0.000000	0.000000	70.714104	0.042212
0.014395	0.000007	0.000000	31.440133	0.008190
0.000951	0.000043	0.000000	27.455890	0.048747
0.034153	0.012170	0.000000	81.168457	0.054327
0.020227	0.000000	0.000000	34.002618	0.031296
0.016949	0.003463	0.000000	82.476185	0.036403
0.012768	0.000000	0.000000	0.014180	0.027346
0.000922	0.000007	0.000000	7.851285	0.045055
0.004125	0.000014	0.000000	3.908652	0.057656
0.002259	0.010959	0.000000	29.082035	0.069507
0.018844	0.000014	0.000000	70.700206	0.015916
0.027566	0.018088	0.000000	0.016573	0.004316
0.037074	0.016089	0.000000	61.030739	0.041725
0.000000	0.004768	0.000000	62.871737	0.000475
0.042360	0.000021	0.000000	51.088820	0.005908
0.020656	0.004029	0.000000	62.865579	0.028017
0.029116	0.004408	0.000000	106.067983	0.023528
0.003771	0.000007	0.000000	39.280047	0.048330
0.040103	0.000028	0.000000	35.338064	0.024212
0.020277	0.000000	0.000000	0.006733	0.049950
0.012937	0.000000	0.000000	27.503163	0.002859
0.024845	0.002700	0.000000	55.009115	0.019288
0.019752	0.000030	0.000000	19.633650	0.028000
0.011883	0.014550	0.000000	15.724698	0.005097
0.033070	0.003477	0.000000	69.502836	0.110828
0.015645	0.000035	0.000000	7.822024	0.037041
0.026738	0.000045	0.000000	6.726276	0.039732
0.000000	0.016297	0.000000	38.996947	0.045516
0.000978	0.006882	0.000000	129.604939	0.010629
0.004896	0.000000	0.000000	66.784302	0.015627
0.017039	0.000012	0.000000	62.876466	0.012364
0.000000	0.005358	0.000000	58.956409	0.007321
0.014694	0.000007	0.000000	0.007879	0.010428
0.004546	0.000007	0.000000	47.144135	0.014386
0.000204	0.004026	0.000000	58.941447	0.016060
0.029188	0.000007	0.000000	39.303525	0.031416
0.025592	0.000087	0.000000	0.130658	0.021313
0.000237	0.013638	0.000000	79.478638	0.028861
0.000000	0.000000	0.000000	27.505924	0.013900
0.001996	0.000007	0.000000	23.560779	0.043950
0.020227	0.014935	0.000000	19.656132	0.030398
0.000305	0.000041	0.000000	27.163681	0.046407
0.014613	0.002186	0.000000	47.142696	0.057969
0.015309	0.000028	0.000000	0.068503	0.182331
0.030864	0.000014	0.000000	3.926847	0.010711
0.000000	0.011186	0.000000	25.336579	0.037357
0.001084	0.000014	0.000000	0.020903	0.007932
0.000180	0.000014	0.000000	66.784532	0.012625
0.015967	0.015725	0.000000	62.857235	0.010333
0.031387	0.005607	0.000000	57.059247	0.027607
0.042360	0.000097	0.000000	51.030460	0.037949
0.002669	0.004669	0.000000	102.084677	0.016893
0.003180	0.014895	0.000000	50.175340	0.027029
0.000680	0.000000	0.000000	68.044305	0.029948
0.000381	0.000007	0.000000	61.249454	0.022784
0.001504	0.003564	0.000000	337.842881	0.023338
0.001092	0.004371	0.000000	47.649783	0.028564
0.000000	0.000000	0.000000	23.582742	0.046959
0.022095	0.000041	0.000000	34.026886	0.047636
0.000486	0.000000	0.000000	0.001741	0.056469
0.025889	0.000021	0.000000	20.370392	0.032204
0.013379	0.000012	0.000000	4.062409	0.040089
0.026734	0.000007	0.000000	3.934055	0.076496
0.002259	0.016991	0.000000	36.982099	0.110924
0.013223	0.009557	0.000000	63.223136	0.027256
0.004896	0.014598	0.000000	60.466296	0.042340
0.000345	0.000000	0.000000	62.857005	0.009925
0.007002	0.000000	0.000000	58.930629	0.034924
0.000221	0.000000	0.000000	95.259197	0.008992
0.026885	0.000059	0.000000	47.135158	0.011017
0.016216	0.000007	0.000000	43.220349	0.005438
0.031367	0.000010	0.000000	0.015965	0.008979
0.018291	0.000007	0.000000	35.365325	0.043917
0.018691	0.012200	0.000000	44.650562	0.011147
0.034919	0.000000	0.000000	27.506214	0.019966
0.026682	0.000014	0.000000	0.025993	0.066666
0.021236	0.000021	0.000000	34.000108	0.065824
0.017547	0.000003	0.000000	15.715213	0.032345
0.015036	0.002710	0.000000	46.326359	0.041388
0.000652	0.000007	0.000000	7.850549	0.030019
0.000026	0.000003	0.000000	3.404155	0.058683
0.000000	0.011146	0.000000	57.023341	0.059193
0.000269	0.017859	0.000000	141.426420	0.056998
0.030311	0.000037	0.000000	0.050127	0.019495
0.016662	0.014591	0.000000	56.657433	0.021126
0.015761	0.000000	0.000000	58.922688	0.025978
0.017637	0.000007	0.000000	55.003908	0.010784
0.042360	0.000007	0.000000	51.085594	0.008522
0.017570	0.005348	0.000000	90.384221	0.010779
0.028350	0.000026	0.000000	0.074037	0.001630
0.019152	0.000193	0.000000	35.268447	0.026418
0.000666	0.000083	0.000000	62.759064	0.006179
0.013533	0.013786	0.000000	19.692878	0.015391
0.002337	0.000090	0.000000	23.503687	0.042427
0.020227	0.000035	0.000000	19.592779	0.021056
0.017547	0.003423	0.000000	47.147358	0.010880
0.043400	0.000090	0.000000	11.628081	0.053799
0.013379	0.002695	0.000000	47.154972	0.006271
0.026734	0.012143	0.000000	47.162144	0.021944
0.002259	0.016061	0.000000	27.990022	0.007502
0.001084	0.000000	0.000000	122.478075	0.014855
0.032461	0.005248	0.000000	43.226423	0.065532
0.000000	0.000000	0.000000	62.851941	0.009913
0.036846	0.000059	0.000000	0.055244	0.015086
0.016888	0.019901	0.000000	85.224076	0.025370
0.039632	0.000032	0.000000	0.095873	0.009417
0.031398	0.000006	0.000000	0.018088	0.007259
0.000680	0.016056	0.000000	82.529052	0.007789
0.019058	0.004758	0.000000	78.628429	0.009812
0.015088	0.000006	0.000000	31.435553	0.013962
0.013533	0.000000	0.000000	27.500573	0.036111
0.002305	0.013261	0.000000	96.014660	0.017780
0.041463	0.000144	0.000000	19.526141	0.034258
0.016918	0.000007	0.000000	15.722434	0.032671
0.014613	0.000000	0.000000	11.793293	0.041918
0.000000	0.000000	0.000000	0.000000	0.007319
0.004125	0.000006	0.000000	7.067113	0.030738
0.002259	0.005586	0.000000	6.109500	0.043331
0.001084	0.019279	0.000000	39.249030	0.054101
0.030755	0.000014	0.000000	115.630747	0.007444
0.014881	0.000000	0.000000	62.892568	0.004924
0.021068	0.000018	0.000000	58.923381	0.020413
0.000743	0.000007	0.000000	55.001951	0.044341
0.043053	0.000090	0.000000	51.040041	0.020759
0.026420	0.000018	0.000000	47.126302	0.012669
0.017014	0.000007	0.000000	129.631870	0.017456
0.047304	0.000006	0.000000	35.363772	0.016762
0.000666	0.000000	0.000000	31.426201	0.002493
0.013974	0.000003	0.000000	47.634433	0.007597
0.002305	0.000000	0.000000	23.573449	0.015543
0.019994	0.000010	0.000000	0.016084	0.015205
0.016345	0.000003	0.000000	15.713187	0.029599
0.043000	0.000425	0.000000	20.393639	0.055581
0.015961	0.000834	0.000000	43.748760	0.050050
0.030837	0.004189	0.000000	39.323105	0.022045
0.002259	0.003241	0.000000	33.759636	0.029042
0.013859	0.000000	0.000000	70.717699	0.001889
0.028740	0.006611	0.000000	57.881355	0.011885
0.000000	0.001975	0.000000	35.340608	0.011889
0.016006	0.000000	0.000000	0.002532	0.010655
0.017208	0.012809	0.000000	78.851623	0.013471
0.030557	0.000076	0.000000	51.005774	0.011499
0.025929	0.000052	0.000000	47.114848	0.024526
0.033315	0.000012	0.000000	43.202050	0.015630
0.003177	0.000007	0.000000	39.280334	0.007873
0.020277	0.000005	0.000000	31.426690	0.007263
0.001092	0.000003	0.000000	27.500717	0.007577
0.002609	0.000003	0.000000	23.572499	0.005413
0.000475	0.000000	0.000000	19.644339	0.010402
0.000305	0.000000	0.000000	0.000000	0.012394
0.024566	0.000008	0.000000	0.027107	0.036743
0.000000	0.013626	0.000000	27.524065	0.013242
0.029022	0.015396	0.000000	3.930775	0.021954
0.002259	0.011920	0.000000	14.688832	0.015247
0.001084	0.006889	0.000000	262.564163	0.097265
0.035598	0.000063	0.000000	66.689127	0.050057
0.000905	0.019279	0.000000	54.435775	0.026554
0.007002	0.000000	0.000000	58.923955	0.042051
0.037005	0.000035	0.000000	54.980668	0.013963
0.035236	0.009522	0.000000	31.440587	0.016936
0.004513	0.000000	0.000000	47.144595	0.002349
0.017847	0.000007	0.000000	43.225585	0.020534
0.028854	0.000003	0.000000	39.296334	0.011061
0.019058	0.000010	0.000000	61.244570	0.007318
0.000951	0.016056	0.000000	51.095325	0.008664
0.000000	0.016355	0.000000	0.000000	0.009460
0.019797	0.000007	0.000000	19.651233	0.011447
0.001787	0.000002	0.000000	0.002978	0.013914
0.015036	0.000003	0.000000	0.005179	0.014268
0.015863	0.003729	0.000000	31.433060	0.023707
0.030864	0.013621	0.000000	31.442208	0.038325
0.002259	0.016554	0.000000	48.814350	0.016779
0.001084	0.000000	0.000000	70.707916	0.050737
0.030311	0.000014	0.000000	66.785342	0.024898
0.000000	0.004429	0.000000	54.579376	0.015763
0.007002	0.006606	0.000000	27.463917	0.052155
0.017319	0.001961	0.000000	72.742125	0.015978
0.042360	0.005227	0.000000	92.653415	0.026981
0.031431	0.000014	0.000000	0.025902	0.012296
0.017847	0.000007	0.000000	43.219602	0.022991
0.003611	0.000010	0.000000	0.006790	0.010131
0.016016	0.000055	0.000000	35.307117	0.018080
0.015547	0.001540	0.000000	51.009337	0.007791
0.024923	0.000054	0.000000	23.562608	0.001666
0.020405	0.000020	0.000000	19.622774	0.007410
0.015046	0.013114	0.000000	43.223003	0.011836
0.034476	0.015782	0.000000	11.794976	0.008266
0.000000	0.000005	0.000000	14.201830	0.025674
0.004125	0.000029	0.000000	3.892794	0.022401
0.002259	0.010458	0.000000	9.826687	0.026389
0.001084	0.001630	0.000000	94.269165	0.005152
0.026422	0.000152	0.000000	66.316580	0.051840
0.017008	0.000014	0.000000	62.856201	0.028411
0.007002	0.000000	0.000000	102.064863	0.001646
0.000221	0.000007	0.000000	54.992744	0.010502
0.014043	0.000007	0.000000	0.011089	0.004378
0.031398	0.000007	0.000000	47.155648	0.020890
0.017774	0.000021	0.000000	43.196588	0.018985
0.028585	0.014572	0.000000	34.271336	0.014816
0.040040	0.000007	0.000000	35.369553	0.013197
0.018691	0.015725	0.000000	54.438804	0.035143
0.012937	0.000011	0.000000	27.516302	0.000344
0.019752	0.016056	0.000000	3.953389	0.012028
0.017073	0.004749	0.000000	23.588655	0.017251
0.000988	0.014883	0.000000	20.440016	0.005648
0.000652	0.004007	0.000000	28.343304	0.036235
0.004559	0.013781	0.000000	23.597055	0.002627
0.002213	0.016119	0.000000	13.846678	0.025475
0.012731	0.006238	0.000000	63.166100	0.007588
0.006796	0.000000	0.000000	0.028538	0.009707
0.022481	0.001250	0.000000	82.480031	0.003780
0.034116	0.008942	0.000000	39.249169	0.038940
0.000221	0.004438	0.000000	48.279838	0.049960
0.026164	0.000014	0.000000	51.060728	0.016162
0.028314	0.000000	0.000000	47.145405	0.030183
0.000204	0.000007	0.000000	0.002072	0.011047
0.000000	0.009522	0.000000	19.620372	0.011628
0.024456	0.000003	0.000000	35.362477	0.015757
0.019403	0.019064	0.000000	86.826116	0.127691
0.000064	0.000002	0.000000	27.500976	0.003563
0.002305	0.000003	0.000000	23.568874	0.014059
0.016918	0.000003	0.000000	15.714431	0.484437
0.000812	0.016358	0.000000	0.000000	0.007690
0.015289	0.000029	0.000000	13.607390	0.015526
0.001628	0.000003	0.000000	51.247426	0.010426
0.000000	0.014580	0.000000	11.180670	0.022395
0.001084	0.000000	0.000000	70.713440	0.089567
0.007354	0.000000	0.000000	66.787524	0.026758
0.000000	0.006369	0.000000	0.007826	0.113634
0.007002	0.002294	0.000000	109.972368	0.197330
0.017319	0.002638	0.000000	15.685139	0.047254
0.026164	0.013990	0.000000	35.267526	0.033885
0.004546	0.000000	0.000000	47.144941	0.013489
0.015453	0.015590	0.000000	43.124647	0.032896
0.029188	0.017861	0.000000	39.325941	0.038502
0.000124	0.000000	0.000000	35.357986	0.015851
0.015547	0.000000	0.000000	31.437595	0.031843
0.012937	0.000136	0.000000	27.458375	0.008702
0.024887	0.015772	0.000000	23.573474	0.018357
0.000475	0.000003	0.000000	19.643016	0.016787
0.015425	0.000002	0.000000	0.007589	0.007135
0.028085	0.000007	0.000000	0.023672	0.018634
0.028576	0.000008	0.000000	3.946599	0.019443
0.001869	0.006981	0.000000	19.003652	0.030289
0.000000	0.008369	0.000000	11.765318	0.036603
0.007354	0.000014	0.000000	66.768650	0.042240
0.017008	0.000014	0.000000	0.014962	0.049146
0.005019	0.015086	0.000000	101.952868	0.025772
0.000526	0.000000	0.000000	55.001031	0.026625
0.042360	0.008949	0.000000	11.788411	0.011776
0.004513	0.000000	0.000000	47.144595	0.039956
0.011342	0.019317	0.000000	38.646335	0.047544
0.000680	0.000000	0.000000	39.288218	0.008626
0.018053	0.005666	0.000000	47.103911	0.188229
0.003992	0.000000	0.000000	54.437208	0.016008
0.012937	0.000007	0.000000	27.496832	0.026095
0.026273	0.000011	0.000000	0.018488	0.008793
0.020227	0.002217	0.000000	27.500954	0.023455
0.014877	0.000014	0.000000	27.207330	0.013473
0.044046	0.005301	0.000000	10.379030	0.011813
0.029022	0.000029	0.000000	1.982824	0.023543
0.001547	0.005415	0.000000	1.902956	0.037073
0.014308	0.000069	0.000000	70.397176	0.021731
0.027566	0.000041	0.000000	66.696374	0.006266
0.016838	0.000014	0.000000	62.796238	0.093721
0.015571	0.000037	0.000000	58.881256	0.055136
0.017429	0.000014	0.000000	54.998155	0.021768
0.042360	0.000014	0.000000	51.121841	0.026899
0.026885	0.000007	0.000000	47.130094	0.010517
0.017673	0.000007	0.000000	0.015652	0.018151
0.025577	0.000045	0.000000	39.231600	0.043337
0.000124	0.000000	0.000000	0.002417	0.038211
0.015323	0.000000	0.000000	0.009074	0.024975
0.001122	0.009533	0.000000	32.142216	0.021448
0.024887	0.004663	0.000000	28.315176	0.038109
0.000933	0.000005	0.000000	19.640613	0.013920
0.000305	0.002219	0.000000	13.610056	0.013198
0.014613	0.000003	0.000000	11.790751	0.008381
0.029022	0.000056	0.000000	2.034089	0.025334
0.001124	0.012227	0.000000	3.571675	0.019647
0.000000	0.000000	0.000000	70.718734	0.044563
0.033173	0.000041	0.000000	133.405178	0.012303
0.028509	0.000014	0.000000	62.865529	0.027798
0.000000	0.000000	0.000000	0.000000	0.058087
0.000221	0.000028	0.000000	54.938192	0.031764
0.043228	0.000000	0.000000	51.096887	0.011487
0.004513	0.000025	0.000000	47.088829	0.049979
0.017570	0.000018	0.000000	43.206157	0.391172
0.027161	0.000000	0.000000	39.302202	0.047905
0.022924	0.000043	0.000000	0.057070	0.006925
0.004732	0.000000	0.000000	31.434113	0.052131
0.013438	0.000000	0.000000	0.008598	0.039580
0.024887	0.009538	0.000000	21.878734	0.016352
0.020227	0.014594	0.000000	15.746465	0.031498
0.016918	0.000010	0.000000	15.713252	0.009934
0.014613	0.000007	0.000000	11.788159	0.018175
0.038624	0.001507	0.000000	4.001653	0.013574
0.000000	0.000000	0.000000	0.000000	0.017759
0.013493	0.000028	0.000000	70.704005	0.029163
0.037433	0.000014	0.000000	66.821591	0.132919
0.000000	0.017293	0.000000	0.087764	0.037172
0.037074	0.002475	0.000000	58.703514	0.052465
0.000221	0.013293	0.000000	54.985380	0.031486
0.042726	0.000080	0.000000	50.984584	0.011983
0.029403	0.000007	0.000000	81.667405	0.009394
0.000204	0.001261	0.000000	43.198539	0.026455
0.003611	0.000000	0.000000	39.287585	0.040794
0.025439	0.014019	0.000000	35.407004	0.028292
0.015440	0.000014	0.000000	31.428333	0.015123
0.001122	0.015468	0.000000	0.083152	0.017912
0.026049	0.000011	0.000000	0.023901	0.018992
0.002761	0.007037	0.000000	0.093820	0.012327
0.016646	0.000607	0.000000	26.878462	0.004862
0.009253	0.000020	0.000000	11.778151	0.019658
0.015008	0.000004	0.000000	7.822756	0.013761
0.011828	0.000009	0.000000	3.943194	0.012164
0.006465	0.000000	0.000000	0.083891	0.014447
0.040880	0.006048	0.000000	0.030246	0.026759
0.033865	0.000062	0.000000	11.771446	0.002826
0.031921	0.000076	0.000000	15.802262	0.024596
0.041156	0.009101	0.000000	19.676911	0.007591
0.039615	0.000051	0.000000	0.012702	0.042734
0.039782	0.000131	0.000000	47.650731	0.035872
0.000000	0.000155	0.000000	31.020972	0.037268
