V0	Vf	V_sent	D	dt
-5.985193	-5.926646	-5.900000	616.593652	0.112420
-5.984217	-5.811252	-5.800000	770.763672	0.139368
-5.894924	-5.816189	-5.800000	586.926172	0.112590
-5.959957	-5.714516	-5.700000	742.564551	0.153876
-5.868012	-5.711262	-5.700000	738.107910	0.147125
-5.758422	-5.726634	-5.700000	653.953906	0.134876
-5.958067	-5.621581	-5.600000	915.952441	0.187426
-5.868567	-5.610043	-5.600000	751.570117	0.148881
-5.759001	-5.611260	-5.600000	686.766309	0.144810
-5.668259	-5.620684	-5.600000	661.258301	0.112156
-5.966186	-5.522153	-5.500000	1027.313574	0.187752
-5.882709	-5.524884	-5.500000	863.631445	0.160923
-5.758718	-5.521130	-5.500000	814.893457	0.143816
-5.664708	-5.518194	-5.500000	732.446777	0.129863
-5.588911	-5.524842	-5.500000	556.582910	0.112693
-5.955765	-5.402665	-5.400000	1129.582813	0.215660
-5.888577	-5.413837	-5.400000	929.296191	0.187495
-5.756895	-5.419793	-5.400000	884.623047	0.154569
-5.661827	-5.414855	-5.400000	781.554590	0.152766
-5.572978	-5.411260	-5.400000	681.432129	0.126451
-5.499060	-5.419812	-5.400000	564.584961	0.113139
-5.961853	-5.314857	-5.300000	1119.827246	0.224548
-5.871416	-5.316984	-5.300000	1129.576270	0.208403
-5.775112	-5.317380	-5.300000	949.956348	0.186129
-5.671415	-5.321596	-5.300000	906.962988	0.155199
-5.580569	-5.315765	-5.300000	749.888770	0.143831
-5.467479	-5.305785	-5.300000	760.092188	0.137761
-5.365762	-5.322008	-5.300000	447.478418	0.080144
-5.987804	-5.217538	-5.200000	1189.733691	0.230569
-5.877308	-5.209280	-5.200000	1119.814063	0.233247
-5.784552	-5.210347	-5.200000	1051.570117	0.201235
-5.663685	-5.212075	-5.200000	915.626758	0.192454
-5.571552	-5.230237	-5.200000	854.650684	0.161776
-5.482668	-5.210396	-5.200000	663.903027	0.146939
-5.364924	-5.207374	-5.200000	709.437207	0.141667
-5.268899	-5.216997	-5.200000	596.917871	0.118775
-5.994289	-5.120735	-5.100000	1330.176563	0.271371
-5.893147	-5.112813	-5.100000	1276.039551	0.236354
-5.757498	-5.109721	-5.100000	1063.492871	0.215662
-5.663229	-5.110625	-5.100000	1074.592871	0.201925
-5.584981	-5.118387	-5.100000	934.625684	0.184374
-5.477506	-5.130035	-5.100000	820.624805	0.164660
-5.393463	-5.109114	-5.100000	757.554395	0.157510
-5.280806	-5.118186	-5.100000	645.097559	0.122000
-5.154472	-5.119793	-5.100000	482.488672	0.094970
-5.982773	-4.999398	-5.000000	1384.943945	0.293761
-5.887791	-5.001728	-5.000000	1306.507617	0.268339
-5.785995	-5.008183	-5.000000	1291.712109	0.229126
-5.672832	-5.016546	-5.000000	1136.823730	0.222271
-5.584925	-5.020896	-5.000000	1021.603516	0.210465
-5.466678	-5.021922	-5.000000	918.985059	0.180375
-5.375513	-5.015945	-5.000000	803.972168	0.153870
-5.272221	-5.006209	-5.000000	741.215527	0.162826
-5.177723	-5.024656	-5.000000	650.107422	0.133059
-5.077699	-5.026608	-5.000000	557.595020	0.109903
-5.966037	-4.906527	-4.900000	1511.334473	0.283515
-5.872097	-4.914211	-4.900000	1343.613867	0.304843
-5.780984	-4.908539	-4.900000	1334.849609	0.269612
-5.642214	-4.910039	-4.900000	1159.426660	0.232537
-5.560682	-4.914857	-4.900000	1097.161426	0.235859
-5.474340	-4.915816	-4.900000	1014.897949	0.203869
-5.367155	-4.919758	-4.900000	847.625293	0.178428
-5.279825	-4.921573	-4.900000	788.616895	0.169811
-5.197296	-4.906315	-4.900000	711.548633	0.149820
-5.075528	-4.909557	-4.900000	653.099609	0.163013
-4.978144	-4.917292	-4.900000	380.462207	0.077716
-5.962971	-4.829612	-4.800000	1513.317773	0.520134
-5.882636	-4.810862	-4.800000	1476.664551	0.303360
-5.769128	-4.814419	-4.800000	1344.953906	0.278672
-5.681318	-4.806704	-4.800000	1256.169238	0.255514
-5.576104	-4.808061	-4.800000	1175.056348	0.233652
-5.476532	-4.815245	-4.800000	1058.154883	0.241411
-5.383452	-4.820171	-4.800000	979.576172	0.189266
-5.292050	-4.830464	-4.800000	887.638379	0.171017
-5.184520	-4.813715	-4.800000	773.300293	0.159700
-5.043718	-4.815767	-4.800000	749.595117	0.149319
-4.965473	-4.816718	-4.800000	656.790332	0.149214
-4.876228	-4.824835	-4.800000	502.917578	0.109675
-5.967846	-4.738315	-4.700000	1542.925000	0.322280
-5.869552	-4.725021	-4.700000	1524.980859	0.305983
-5.773495	-4.717845	-4.700000	1456.674219	0.279695
-5.650079	-4.711428	-4.700000	1328.989941	0.290948
-5.588934	-4.720487	-4.700000	1307.172559	0.257948
-5.469165	-4.714699	-4.700000	1165.706641	0.271784
-5.391555	-4.722103	-4.700000	1037.814941	0.227815
-5.274385	-4.718088	-4.700000	1013.580176	0.201197
-5.174030	-4.724288	-4.700000	917.292187	0.185741
-5.082596	-4.721569	-4.700000	740.958496	0.156227
-4.968058	-4.709477	-4.700000	734.564648	0.164241
-4.893585	-4.721913	-4.700000	643.419336	0.142076
-4.768299	-4.718955	-4.700000	397.474707	0.083757
-5.986079	-4.619786	-4.600000	1720.094824	0.339372
-5.872614	-4.619750	-4.600000	1630.541406	0.330469
-5.770750	-4.631415	-4.600000	1453.960937	0.312767
-5.667779	-4.604710	-4.600000	1437.322852	0.301786
-5.560071	-4.618255	-4.600000	1344.314844	0.259448
-5.459253	-4.601369	-4.600000	1276.192578	0.255502
-5.374481	-4.613457	-4.600000	1184.379785	0.239376
-5.264272	-4.616991	-4.600000	1037.493262	0.225202
-5.174859	-4.610311	-4.600000	956.920020	0.218771
-5.070073	-4.609714	-4.600000	847.956641	0.179736
-4.975008	-4.618653	-4.600000	821.981348	0.176598
-4.896238	-4.611039	-4.600000	701.210645	0.150222
-4.758490	-4.608627	-4.600000	597.411035	0.152355
-4.654840	-4.624734	-4.600000	559.928418	0.130211
-5.974535	-4.516578	-4.500000	1797.893652	0.393487
-5.871885	-4.530065	-4.500000	1559.779590	0.555502
-5.762503	-4.527574	-4.500000	1565.552441	0.343153
-5.646574	-4.524986	-4.500000	1453.325684	0.297340
-5.582216	-4.506523	-4.500000	1379.660059	0.296418
-5.482446	-4.505548	-4.500000	1329.936621	0.283108
-5.382838	-4.518815	-4.500000	1185.165430	0.263068
-5.270304	-4.502459	-4.500000	1155.710840	0.251349
-5.149867	-4.524276	-4.500000	999.524707	0.227076
-5.068059	-4.516357	-4.500000	922.583496	0.193583
-4.976607	-4.509706	-4.500000	847.285156	0.213792
-4.875750	-4.527676	-4.500000	710.952637	0.159074
-4.775388	-4.513767	-4.500000	655.550879	0.158424
-4.683316	-4.514104	-4.500000	554.089746	0.148844
-4.578984	-4.523920	-4.500000	501.917773	0.111789
-5.960737	-4.430954	-4.400000	1845.329590	0.360326
-5.859185	-4.418203	-4.400000	1764.247363	0.371199
-5.767637	-4.415487	-4.400000	1694.769922	0.338389
