V0	Vf	V_sent	D	dt
0.016793	0.015387	0.000000	203.043443	0.029152
0.017774	0.003294	0.000000	191.627098	0.040113
0.010939	0.002606	0.000000	107.409267	0.020182
0.021551	0.012091	0.000000	132.235478	0.026443
0.022219	0.003296	0.000000	144.831276	0.042801
0.033267	0.015391	0.000000	186.342555	0.052707
0.034271	0.017348	0.000000	203.191244	0.046213
0.024644	0.002560	0.000000	110.887227	0.033427
0.040646	0.003295	0.000000	163.816834	0.056188
0.033477	0.015558	0.000000	198.149414	0.029532
0.034106	0.019349	0.000000	182.419407	0.030347
0.015062	0.019308	0.000000	107.720642	0.023421
0.044962	0.014002	0.000000	128.757929	0.031217
0.022993	0.011513	0.000000	234.325904	0.035589
0.025230	0.012464	0.000000	131.276900	0.034282
0.022866	0.003741	0.000000	207.213486	0.043697
0.016179	0.016061	0.000000	153.800289	0.032986
0.044201	0.013083	0.000000	127.965400	0.027827
0.030745	0.011830	0.000000	163.438703	0.041066
0.030650	0.003293	0.000000	190.307912	0.035896
0.007547	0.013110	0.000000	202.889376	0.038626
0.022193	0.012537	0.000000	111.828962	0.023179
0.026669	0.017484	0.000000	212.832724	0.045850
0.012095	0.019098	0.000000	110.784308	0.031591
0.033715	0.017342	0.000000	181.173400	0.027430
0.032485	0.011333	0.000000	158.474725	0.032194
0.033281	0.007962	0.000000	219.193716	0.040099
0.026260	0.012541	0.000000	246.754356	0.047917
0.020300	0.017361	0.000000	101.986252	0.030023
0.029674	0.010492	0.000000	103.519213	0.019530
0.020838	0.010912	0.000000	159.031718	0.034200
0.036900	0.010939	0.000000	130.821832	0.041532
0.035607	0.017830	0.000000	149.530312	0.022505
0.025653	0.001832	0.000000	91.915900	0.023571
0.028383	0.006745	0.000000	185.937410	0.034970
0.031666	0.015912	0.000000	116.022554	0.028659
0.010891	0.015707	0.000000	112.043348	0.044299
0.012019	0.017542	0.000000	227.381155	0.038484
0.032663	0.010242	0.000000	95.431584	0.036927
0.022239	0.010705	0.000000	198.757724	0.028561
0.015798	0.015901	0.000000	157.214064	0.031365
0.029089	0.023058	0.000000	91.482251	0.031021
0.013156	0.002750	0.000000	163.582300	0.034983
0.026184	0.011514	0.000000	180.524556	0.034554
0.036295	0.009922	0.000000	311.105480	0.058618
0.014567	0.002079	0.000000	129.771501	0.022921
0.018224	0.000494	0.000000	213.898967	0.040512
0.019947	0.015503	0.000000	158.344251	0.030124
0.033809	0.015918	0.000000	191.350114	0.026116
0.015736	0.018275	0.000000	139.686155	0.037407
0.032673	0.019580	0.000000	215.206534	0.028156
0.034638	0.016421	0.000000	218.240502	0.040603
0.028870	0.005339	0.000000	116.140964	0.026731
0.037249	0.013199	0.000000	149.638732	0.034451
0.025432	0.015390	0.000000	156.421544	0.026624
0.042147	0.012969	0.000000	118.380270	0.033265
0.019141	0.016531	0.000000	102.182403	0.036996
0.028559	0.013957	0.000000	252.564936	0.060170
0.034870	0.014403	0.000000	149.417041	0.030499
0.023400	0.012539	0.000000	158.480145	0.040806
0.035598	0.013204	0.000000	154.998719	0.033071
0.032764	0.016849	0.000000	140.453803	0.038420
0.017532	0.017349	0.000000	100.030803	0.036718
0.007027	0.005800	0.000000	176.109607	0.030419
0.024295	0.006291	0.000000	142.421377	0.035814
0.027036	0.006780	0.000000	213.125281	0.042415
0.032417	0.018308	0.000000	133.824375	0.471635
0.021437	0.014444	0.000000	120.585436	0.049315
0.035222	0.016342	0.000000	86.461695	0.040369
0.024799	0.010095	0.000000	157.203955	0.030125
0.024353	0.010306	0.000000	120.318403	0.024326
0.023902	0.017234	0.000000	118.892917	0.016747
0.020391	0.018912	0.000000	127.800764	0.020511
0.011380	0.018793	0.000000	105.997249	0.022461
0.020320	0.011150	0.000000	146.297440	0.034778
0.035139	0.011336	0.000000	175.889777	0.032728
0.030995	0.012447	0.000000	201.633555	0.030953
0.023977	0.012462	0.000000	79.463793	0.033913
0.029366	0.008166	0.000000	101.838094	0.028608
0.039782	0.022049	0.000000	145.765127	0.043450
0.035566	0.014756	0.000000	163.155847	0.029590
0.027619	0.013753	0.000000	151.052533	0.049962
0.017106	0.016008	0.000000	170.800950	0.029233
0.031079	0.015873	0.000000	160.540478	0.040191
0.015329	0.014821	0.000000	114.866424	0.034200
0.023435	0.016364	0.000000	153.540253	0.023499
0.029813	0.015019	0.000000	191.043707	0.030065
0.023099	0.017353	0.000000	117.378179	0.022887
0.026430	0.002241	0.000000	146.816349	0.028905
0.010909	0.012502	0.000000	184.170940	0.020878
0.040914	0.006706	0.000000	235.946189	0.047640
0.024559	0.019695	0.000000	172.888640	0.050482
0.025161	0.018321	0.000000	232.990123	0.053882
0.035368	0.009667	0.000000	127.905078	0.021375
0.031280	0.009624	0.000000	128.446458	0.047207
0.038365	0.014956	0.000000	171.474798	0.030350
0.027241	0.000747	0.000000	212.425205	0.038874
0.038356	0.012384	0.000000	165.170488	0.031188
0.029538	0.015544	0.000000	102.941606	0.022653
0.024634	0.016826	0.000000	117.343090	0.025213
0.037719	0.012799	0.000000	155.175245	0.032956
0.035465	0.014197	0.000000	224.920255	0.044593
0.010780	0.011285	0.000000	155.373463	0.032775
0.037830	0.017504	0.000000	127.920976	0.023876
0.034885	0.016881	0.000000	199.160030	0.029086
0.024310	0.016638	0.000000	133.569944	0.041649
0.028063	0.016980	0.000000	155.643892	0.391031
0.047048	0.017217	0.000000	180.341072	0.047701
0.034863	0.022081	0.000000	137.500301	0.041158
0.033384	0.012964	0.000000	114.372506	0.024231
0.025477	0.009942	0.000000	202.580627	0.031171
0.025403	0.014196	0.000000	83.454016	0.028289
0.023373	0.001100	0.000000	172.591143	0.036107
0.026908	0.016485	0.000000	180.906265	0.043487
0.033252	0.012722	0.000000	82.368144	0.035256
0.023376	0.012808	0.000000	98.393750	0.016230
0.021393	0.015849	0.000000	70.051247	0.027386
0.028868	0.013429	0.000000	115.843369	0.048691
0.026850	0.014929	0.000000	149.404487	0.021428
0.013838	0.013551	0.000000	122.786431	0.027362
0.025914	0.006664	0.000000	192.529649	0.045555
0.026197	0.018743	0.000000	158.456504	0.044845
0.030537	0.021571	0.000000	198.662647	0.056276
0.036549	0.017212	0.000000	128.395403	0.056627
0.030114	0.019786	0.000000	209.731829	0.036268
0.023215	0.010064	0.000000	147.060167	0.040044
0.021469	0.015238	0.000000	143.065841	0.035084
0.032085	0.008053	0.000000	143.008446	0.045332
0.034580	0.014359	0.000000	120.533828	0.027380
0.020501	0.003392	0.000000	135.417647	0.032134
0.030757	0.010387	0.000000	94.095104	0.032601
0.031352	0.015508	0.000000	99.338388	0.024660
0.039392	0.017345	0.000000	105.766802	0.023858
0.009736	0.008645	0.000000	190.056083	0.042585
0.011071	0.012853	0.000000	113.824155	0.044520
0.033059	0.006732	0.000000	151.983561	0.037419
0.024527	0.007743	0.000000	102.954385	0.040834
0.031944	0.007946	0.000000	243.963347	0.060908
0.031066	0.009580	0.000000	179.918607	0.038654
0.026681	0.017180	0.000000	112.009485	0.038040
0.018199	0.017364	0.000000	123.117984	0.070605
0.031544	0.015973	0.000000	131.568588	0.042008
0.030209	0.001328	0.000000	167.017647	0.052985
0.020508	0.013457	0.000000	184.205836	0.045472
0.034908	0.014664	0.000000	149.814144	0.037348
0.023885	0.015590	0.000000	129.722732	0.040827
0.021218	0.015082	0.000000	104.854330	0.030030
0.029278	0.018914	0.000000	129.517963	0.048416
0.025366	0.015871	0.000000	123.496211	0.025806
0.033808	0.015768	0.000000	110.785610	0.029588
0.032534	0.005629	0.000000	101.224931	0.038296
0.041972	0.006293	0.000000	218.907129	0.044771
0.041688	0.013479	0.000000	85.528053	0.035476
0.022200	0.014714	0.000000	178.133257	0.035858
0.013771	0.013619	0.000000	212.551985	0.064456
0.013799	0.016308	0.000000	210.744002	0.047192
0.017818	0.007147	0.000000	154.817106	0.036822
0.013032	0.014439	0.000000	179.767306	0.044976
0.036369	0.017215	0.000000	189.654831	0.055619
0.021432	0.019778	0.000000	196.287988	0.047640
