V0	Vf	V_sent	D	dt	triple_id	sample_id
0.160000	0.040000	0.000000	24.260000	0.000000	0.000000	0.000000
0.420000	0.040000	0.000000	82.440000	0.000000	1.000000	0.000000
0.600000	0.040000	0.000000	209.020000	0.002000	2.000000	0.000000
0.800000	0.040000	0.000000	358.820000	0.002000	3.000000	0.000000
1.000000	0.040000	0.000000	548.620000	0.002001	4.000000	0.000000
1.140000	0.040000	0.000000	728.880000	0.001964	5.000000	0.000000
1.400000	0.040000	0.000000	1048.220000	0.003001	6.000000	0.000000
1.600000	0.040000	0.000000	1358.020000	0.003994	7.000000	0.000000
1.800000	0.040000	0.000000	1707.820000	0.003999	8.000000	0.000000
1.900000	0.040000	0.000000	1936.520000	0.004000	9.000000	0.000000
2.200000	0.040000	0.000000	2527.420000	0.004001	10.000000	0.000000
2.400000	0.040000	0.000000	2997.220000	0.005003	11.000000	0.000000
2.600000	0.040000	0.000000	3507.020000	0.005007	12.000000	0.000000
2.780000	0.040000	0.000000	4056.440000	0.005978	13.000000	0.000000
3.000000	0.040000	0.000000	4646.620000	0.005977	14.000000	0.000000
3.200000	0.040000	0.000000	5276.420000	0.007000	15.000000	0.000000
3.400000	0.040000	0.000000	5946.220000	0.006986	16.000000	0.000000
3.600000	0.040000	0.000000	6656.020000	0.007000	17.000000	0.000000
3.780000	0.040000	0.000000	7405.440000	0.008000	18.000000	0.000000
4.000000	0.040000	0.000000	8195.620000	0.008000	19.000000	0.000000
0.000000	0.160000	0.200000	11.360000	0.001000	20.000000	0.000000
0.420000	0.240000	0.200000	52.640000	0.000000	21.000000	0.000000
0.600000	0.240000	0.200000	179.220000	0.001005	22.000000	0.000000
0.800000	0.240000	0.200000	329.020000	0.001004	23.000000	0.000000
1.000000	0.240000	0.200000	518.820000	0.001014	24.000000	0.000000
1.140000	0.240000	0.200000	699.080000	0.002000	25.000000	0.000000
1.400000	0.240000	0.200000	1018.420000	0.002000	26.000000	0.000000
1.600000	0.240000	0.200000	1328.220000	0.002997	27.000000	0.000000
1.800000	0.240000	0.200000	1678.020000	0.003000	28.000000	0.000000
1.900000	0.240000	0.200000	1906.720000	0.004000	29.000000	0.000000
2.200000	0.240000	0.200000	2497.620000	0.003994	30.000000	0.000000
2.400000	0.240000	0.200000	2967.420000	0.005000	31.000000	0.000000
2.600000	0.240000	0.200000	3477.220000	0.005000	32.000000	0.000000
