V0	Vf	V_sent
0.100000	0.000000	0.000000	0.000000
0.200000	0.000000	0.000000	1.000000
0.300000	0.000000	0.000000	2.000000
0.400000	0.000000	0.000000	3.000000
0.500000	0.000000	0.000000	4.000000
0.600000	0.000000	0.000000	5.000000
0.700000	0.000000	0.000000	6.000000
0.800000	0.000000	0.000000	7.000000
0.900000	0.000000	0.000000	8.000000
1.000000	0.000000	0.000000	9.000000
1.100000	0.000000	0.000000	10.000000
1.200000	0.000000	0.000000	11.000000
1.300000	0.000000	0.000000	12.000000
1.400000	0.000000	0.000000	13.000000
1.500000	0.000000	0.000000	14.000000
1.600000	0.000000	0.000000	15.000000
1.700000	0.000000	0.000000	16.000000
1.800000	0.000000	0.000000	17.000000
1.900000	0.000000	0.000000	18.000000
2.000000	0.000000	0.000000	19.000000
2.100000	0.000000	0.000000	20.000000
2.200000	0.000000	0.000000	21.000000
2.300000	0.000000	0.000000	22.000000
2.400000	0.000000	0.000000	23.000000
2.500000	0.000000	0.000000	24.000000
2.600000	0.000000	0.000000	25.000000
2.700000	0.000000	0.000000	26.000000
2.800000	0.000000	0.000000	27.000000
2.900000	0.000000	0.000000	28.000000
3.000000	0.000000	0.000000	29.000000
3.100000	0.000000	0.000000	30.000000
3.200000	0.000000	0.000000	31.000000
3.300000	0.000000	0.000000	32.000000
3.400000	0.000000	0.000000	33.000000
3.500000	0.000000	0.000000	34.000000
3.600000	0.000000	0.000000	35.000000
3.700000	0.000000	0.000000	36.000000
3.800000	0.000000	0.000000	37.000000
3.900000	0.000000	0.000000	38.000000
4.000000	0.000000	0.000000	39.000000
0.000000	0.100000	0.100000	40.000000
0.200000	0.100000	0.100000	41.000000
0.300000	0.100000	0.100000	42.000000
0.400000	0.100000	0.100000	43.000000
0.500000	0.100000	0.100000	44.000000
0.600000	0.100000	0.100000	45.000000
0.700000	0.100000	0.100000	46.000000
0.800000	0.100000	0.100000	47.000000
0.900000	0.100000	0.100000	48.000000
1.000000	0.100000	0.100000	49.000000
1.100000	0.100000	0.100000	50.000000
1.200000	0.100000	0.100000	51.000000
1.300000	0.100000	0.100000	52.000000
1.400000	0.100000	0.100000	53.000000
1.500000	0.100000	0.100000	54.000000
1.600000	0.100000	0.100000	55.000000
1.700000	0.100000	0.100000	56.000000
1.800000	0.100000	0.100000	57.000000
1.900000	0.100000	0.100000	58.000000
