V0	Vf	V_sent	D	dt	triple_id	considered_samples
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	2.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	3.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000002	4.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000028	5.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000011	6.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	7.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000686	8.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000703	9.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000001	10.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000019	11.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001420	12.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001433	13.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001433	14.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000741	15.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001403	16.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000686	17.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001433	18.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.002125	19.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	20.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	21.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000710	22.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000694	23.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000705	24.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000726	25.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	26.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001398	27.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000677	28.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000019	29.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000018	30.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	31.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000008	32.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	33.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000023	34.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001417	35.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000710	36.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001394	37.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000711	38.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.002838	39.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000698	40.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	41.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000684	42.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	43.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	44.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	45.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000679	46.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000705	47.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000009	48.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000046	49.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000730	50.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	51.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001380	52.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000027	53.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001418	54.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000732	55.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001433	56.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000730	57.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001405	58.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001433	59.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000689	60.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000001	61.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	62.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	63.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	64.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	65.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	66.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	67.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000001	68.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000711	69.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000705	70.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	71.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000708	72.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	73.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000007	74.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.002123	75.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000712	76.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001369	77.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000728	78.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	79.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001439	80.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	81.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000002	82.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	83.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000727	84.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000687	85.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	86.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000708	87.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000002	88.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	89.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000001	90.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001398	91.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000020	92.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000703	93.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000713	94.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000682	95.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001416	96.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000697	97.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.002124	98.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000711	99.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000003	100.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000708	101.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000725	102.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000731	103.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	104.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	105.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	106.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	107.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	108.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000723	109.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000020	110.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000019	111.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000681	112.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000703	113.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000025	114.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000731	115.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000730	116.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000003	117.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000711	118.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001422	119.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000708	120.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000009	121.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000715	122.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	123.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000682	124.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	125.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000726	126.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	127.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000725	128.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000006	129.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000018	130.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000682	131.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000715	132.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000011	133.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000005	134.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001410	135.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000729	136.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.002142	137.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000733	138.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000684	139.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000003	140.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000720	141.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000020	142.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000726	143.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000002	144.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000003	145.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	146.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	147.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	148.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	149.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001415	150.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000005	151.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000036	152.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001420	153.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000709	154.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000010	155.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	156.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	157.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000718	158.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001425	159.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000685	160.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000734	161.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000712	162.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000021	163.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000002	164.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000003	165.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	166.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	167.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	168.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000734	169.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000001	170.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000003	171.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000019	172.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	173.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000705	174.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000013	175.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001389	176.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000686	177.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000010	178.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000738	179.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.001428	180.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000015	181.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000708	182.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000705	183.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000706	184.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000002	185.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000728	186.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000019	187.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	188.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000707	189.000000	0.000000	1.000000
0.000000	0.000000	0.000000	0.000000	0.000000	190.000000	0.000000	1.000000
