V0	Vf	V_sent	D	dt
-6.740049	-6.998718	-7.000000	1370.240092	0.191727
-6.587362	-6.987684	-7.000000	1790.835061	0.266003
-6.329958	-6.980455	-7.000000	2057.448174	0.296995
-6.145030	-7.009753	-7.000000	3074.724472	0.379330
-5.947486	-6.998956	-7.000000	2536.107542	0.380921
-5.779715	-6.991554	-7.000000	2743.619939	0.425665
-5.528068	-7.014205	-7.000000	2985.885434	0.477221
-5.360783	-7.007275	-7.000000	3163.616069	0.510004
-5.138494	-7.023674	-7.000000	3520.710979	0.561661
-4.979722	-6.970448	-7.000000	3378.626071	0.556998
-4.728985	-6.969454	-7.000000	4119.081624	0.618096
-4.561938	-7.056972	-7.000000	4014.957983	0.678146
-4.348543	-6.969271	-7.000000	3807.354912	0.661771
-4.160530	-6.981512	-7.000000	3926.921619	0.679877
-3.939007	-7.002814	-7.000000	3969.085088	0.713665
-3.754936	-6.996461	-7.000000	4226.780591	0.885334
-3.573351	-6.988839	-7.000000	4120.243724	0.764232
-3.347800	-6.968637	-7.000000	4178.197658	0.791001
-3.171293	-6.992550	-7.000000	4422.754369	0.847324
-2.980087	-6.970755	-7.000000	4314.257780	0.842740
-2.764585	-7.024451	-7.000000	4451.907187	0.885968
-2.567429	-7.005756	-7.000000	4588.507391	0.921188
-2.400577	-7.003786	-7.000000	4563.408114	0.931205
-2.172075	-6.986305	-7.000000	4750.514611	0.976868
-1.980634	-6.966466	-7.000000	4582.075892	1.079666
-1.769044	-6.971264	-7.000000	4584.896943	0.988772
-1.619085	-7.008485	-7.000000	4841.272794	1.056854
-1.398971	-6.979577	-7.000000	4556.893204	1.027665
-1.163843	-6.992975	-7.000000	4468.427490	1.030899
-0.963259	-6.969330	-7.000000	4686.767967	1.085722
-0.760883	-7.000613	-7.000000	4671.049909	1.102134
-0.548366	-7.000873	-7.000000	4738.579986	1.119017
-0.380811	-6.978660	-7.000000	4605.417383	1.124210
-0.164859	-7.027193	-7.000000	4664.530101	1.160282
-0.016788	-7.001825	-7.000000	4607.637294	1.158531
-6.971501	-6.800596	-6.800000	1247.179640	0.165997
-6.554586	-6.802413	-6.800000	1598.444668	0.228231
-6.352576	-6.786971	-6.800000	1865.331196	0.269339
-6.159637	-6.791312	-6.800000	2025.989050	0.293664
-5.984422	-6.809401	-6.800000	2081.138385	0.321668
-5.737728	-6.782417	-6.800000	2484.697228	0.380994
-5.604919	-6.771774	-6.800000	2488.611694	0.397179
-5.371581	-6.772993	-6.800000	2826.220057	0.449144
-5.149607	-6.783303	-6.800000	3117.919514	0.503927
-4.956339	-6.780670	-6.800000	3187.897496	0.528331
-4.774958	-6.771305	-6.800000	3296.338880	0.570999
-4.566233	-6.806569	-6.800000	3347.496347	0.572939
-4.370298	-6.784392	-6.800000	3382.715038	0.610671
