V0	Vf	V_sent	D	dt
0.027635	0.034191	0.000000	567.955924	0.058622
0.028029	0.013165	0.000000	472.018036	0.056289
0.008174	0.004951	0.000000	581.297818	0.078872
0.009385	0.043869	0.000000	1381.020360	0.094692
0.049817	0.012939	0.000000	360.625316	0.053055
0.050067	0.022189	0.000000	394.765516	0.052181
0.024254	0.009023	0.000000	347.640753	0.052866
0.036060	0.021958	0.000000	477.564135	0.066730
0.030314	0.025870	0.000000	449.360345	0.062957
0.046771	0.011529	0.000000	480.443631	0.065379
0.023127	0.022700	0.000000	1099.226446	0.065167
0.022570	0.033655	0.000000	341.982789	0.054283
0.032869	0.006889	0.000000	461.252158	0.067598
0.049473	0.007627	0.000000	382.532978	0.055887
0.042026	0.016229	0.000000	295.034868	0.044008
0.027265	0.024842	0.000000	426.517672	0.226230
0.031501	0.016199	0.000000	405.916498	0.067176
0.026955	0.005154	0.000000	286.379964	0.047460
0.030337	0.025356	0.000000	390.164545	0.073781
0.015822	0.015092	0.000000	303.121123	0.052078
0.031525	0.053464	0.000000	209.585820	0.049374
0.024480	0.015903	0.000000	232.965345	0.044668
0.028679	0.064304	0.000000	250.332133	0.036355
0.005086	0.031796	0.000000	341.635088	0.059974
0.027012	0.010667	0.000000	457.503728	0.227396
0.017621	0.014553	0.000000	371.215744	0.061601
0.049541	0.047944	0.000000	262.123346	0.079840
0.019813	0.007316	0.000000	299.930159	0.063551
0.003636	0.019734	0.000000	255.742650	0.056376
0.025332	0.013177	0.000000	26.545611	0.018848
0.028704	0.040482	0.000000	70.704629	0.035455
0.003455	0.018684	0.000000	305.664449	0.055132
0.020890	0.020443	0.000000	148.675797	0.041939
0.027304	0.064299	0.000000	121.781708	0.047380
0.035331	0.016366	0.000000	129.164865	0.039320
0.020668	0.030385	0.000000	470.295989	0.040108
0.042258	0.019591	0.000000	459.035477	0.062337
0.051192	0.014614	0.000000	406.031716	0.057136
0.039766	0.014278	0.000000	367.303864	0.047641
0.039533	0.039653	0.000000	407.076501	0.052894
0.028322	0.019013	0.000000	309.646095	0.034469
0.030504	0.023984	0.000000	374.892863	0.067226
0.049714	0.004141	0.000000	416.130406	0.057613
0.029375	0.018056	0.000000	381.009196	0.053284
0.021855	0.019551	0.000000	476.244291	0.062357
0.012009	0.004126	0.000000	431.453743	0.061971
0.044699	0.014672	0.000000	322.361581	0.035201
0.008523	0.022881	0.000000	301.078772	0.050966
0.049644	0.062860	0.000000	283.045833	0.041246
0.026133	0.019296	0.000000	465.453036	0.071672
0.046756	0.026059	0.000000	320.375764	0.052510
0.018066	0.020048	0.000000	420.388667	0.057568
0.021912	0.015891	0.000000	501.689639	0.073961
0.014473	0.020057	0.000000	422.329736	0.066736
0.034528	0.021560	0.000000	417.311855	0.077220
0.023466	0.020563	0.000000	399.675146	0.060237
0.014315	0.017983	0.000000	272.969085	0.049079
0.012285	0.036752	0.000000	274.161764	0.050480
0.047484	0.009189	0.000000	308.959438	0.053035
0.046280	0.006539	0.000000	324.009824	0.059477
0.011710	0.006397	0.000000	297.070273	0.058758
0.013709	0.059563	0.000000	439.086917	0.220425
0.016664	0.017124	0.000000	308.675135	0.054463
0.039276	0.019394	0.000000	250.723723	0.062366
0.024016	0.022843	0.000000	171.742172	0.147301
0.036529	0.020091	0.000000	329.993025	0.056619
0.040545	0.021095	0.000000	172.390669	0.041537
0.040539	0.007235	0.000000	366.477874	0.189155
0.055501	0.023070	0.000000	179.339787	0.053306
0.035906	0.028724	0.000000	138.768849	0.044919
0.012947	0.026180	0.000000	510.475762	0.061641
0.021475	0.020860	0.000000	1663.617254	0.149831
0.056004	0.040688	0.000000	1163.710727	0.099771
0.019542	0.058569	0.000000	479.758604	0.061591
0.007397	0.008887	0.000000	937.985528	0.076282
0.030798	0.053086	0.000000	377.048051	0.049490
0.049731	0.013588	0.000000	606.325991	0.082295
0.040358	0.016387	0.000000	356.485273	0.049147
0.009259	0.031734	0.000000	439.376550	0.069026
0.013026	0.036994	0.000000	393.237404	0.055589
0.053342	0.018014	0.000000	391.436195	0.053163
0.039582	0.013590	0.000000	207.972764	0.035111
0.026183	0.025395	0.000000	391.396583	0.063287
0.013693	0.025693	0.000000	226.692446	0.040991
0.067798	0.017602	0.000000	351.991938	0.062583
0.054231	0.047067	0.000000	429.941568	0.070219
0.015065	0.018071	0.000000	345.042641	0.055561
0.040177	0.038728	0.000000	339.986797	0.052299
0.028689	0.044726	0.000000	391.980716	0.070611
0.018892	0.017543	0.000000	247.470997	0.040213
0.025657	0.002070	0.000000	221.939462	0.042968
0.037435	0.013048	0.000000	414.905838	0.072367
0.014314	0.006828	0.000000	263.562422	0.056043
0.015566	0.013175	0.000000	308.245625	0.063236
0.038442	0.013996	0.000000	272.434544	0.058553
0.023612	0.003240	0.000000	262.471477	0.047945
0.050361	0.016657	0.000000	169.802960	0.041452
0.059229	0.014493	0.000000	310.296816	0.129504
0.048502	0.025172	0.000000	297.497830	0.066984
0.032190	0.017885	0.000000	401.102224	0.163945
0.010944	0.030813	0.000000	151.193147	0.037031
0.009436	0.017611	0.000000	316.174106	0.066114
0.066428	0.011898	0.000000	241.805388	0.052433
0.038944	0.028279	0.000000	261.760416	0.060955
0.029466	0.012704	0.000000	135.762134	0.039997
