V0	Vf	V_sent	D	dt
-5.787889	-6.023870	-20.000000	833.109314	0.133510
-5.601743	-6.052381	-20.000000	1032.527222	0.191676
-5.401630	-6.033747	-20.000000	1178.710144	0.233495
-5.172580	-6.028302	-20.000000	1295.082458	0.266309
-5.000783	-6.056278	-20.000000	1567.158691	0.300164
-4.800930	-6.026801	-20.000000	1666.199768	0.341736
-4.600432	-6.044080	-20.000000	1772.826172	0.383371
-4.401933	-6.060853	-20.000000	2005.271667	0.425500
-4.201528	-6.134943	-20.000000	2196.934265	0.508668
-3.994772	-6.003266	-20.000000	2177.626312	0.532709
-3.800303	-6.042979	-20.000000	2428.979767	0.560705
-3.601547	-6.002927	-20.000000	2459.360016	0.616065
-3.397812	-6.076855	-20.000000	2730.032623	0.625029
-3.200738	-6.013929	-20.000000	2696.640747	0.676549
-3.001119	-6.008114	-20.000000	2764.510071	0.741987
-2.801246	-6.116584	-20.000000	3028.887817	0.759553
-2.601543	-6.042123	-20.000000	3016.562668	0.782939
-2.402474	-6.012943	-20.000000	3074.587280	0.847511
-2.200755	-6.064624	-20.000000	3220.575790	0.872714
-2.001056	-6.046904	-20.000000	3228.054283	0.968272
-1.801862	-6.121429	-20.000000	3392.691086	0.975283
-1.600312	-6.058007	-20.000000	3360.417953	1.014589
-1.401309	-6.040727	-20.000000	3367.679264	1.026782
-1.200213	-6.092380	-20.000000	3457.506378	1.092545
-1.001907	-5.982328	-20.000000	3374.000137	1.137281
-0.801358	-5.965056	-20.000000	3356.841047	1.172162
-0.599081	-6.108410	-20.000000	3555.440292	1.150663
-0.381523	-6.044960	-20.000000	3492.680464	1.251108
-0.101895	-6.027950	-20.000000	3458.148485	1.302997
-0.000091	-6.088056	-20.000000	3489.149222	1.440276
0.103030	-6.046793	-20.000000	3453.954699	1.409112
0.393135	-6.108648	-20.000000	3550.631443	1.499245
0.578122	-6.058038	-20.000000	3563.339087	1.427423
0.800719	-6.004194	-20.000000	3515.296974	1.443758
1.000809	-6.009910	-20.000000	3559.956657	1.591009
1.201961	-6.087223	-20.000000	3724.085148	1.598775
1.400826	-5.992557	-20.000000	3684.804893	1.683571
1.599471	-5.976564	-20.000000	3723.499062	1.624219
1.801786	-6.077545	-20.000000	3898.541031	1.652396
2.000684	-6.119543	-20.000000	4043.011108	1.635265
2.201809	-6.012983	-20.000000	4040.301636	1.841955
2.400889	-6.113665	-20.000000	4232.399277	1.800484
2.600411	-5.982727	-20.000000	4160.481232	1.852252
2.768660	-6.070263	-20.000000	4371.618881	1.911551
3.000320	-6.022538	-20.000000	4456.603973	1.942358
3.201266	-6.111303	-20.000000	4631.535034	1.966710
3.402386	-6.039617	-20.000000	4734.374161	2.048455
3.601924	-5.992010	-20.000000	4779.986565	2.025891
3.800714	-6.055908	-20.000000	5011.030848	2.058903
4.000535	-6.075192	-20.000000	5215.073209	2.095222
4.151779	-6.049424	-20.000000	5278.248661	2.137099
4.354314	-6.032588	-20.000000	5463.748184	2.176925
4.570174	-6.088445	-20.000000	5749.282837	2.219427
4.801148	-6.040071	-20.000000	5831.975128	2.217965
5.001497	-6.025317	-20.000000	6044.699249	2.351619
5.201718	-6.079122	-20.000000	6267.668365	2.334762
5.400842	-5.984126	-20.000000	6383.065735	2.427095
5.601740	-6.084079	-20.000000	6659.871277	2.418192
5.755256	-6.024250	-20.000000	6915.015259	2.428236
6.000893	-6.008870	-20.000000	7079.115173	2.485217
-5.969138	-5.760398	20.000000	737.505554	0.132749
-5.570269	-5.804461	-20.000000	710.261902	0.133253
-5.400385	-5.798738	-20.000000	904.416626	0.183472
-5.160378	-5.833243	-20.000000	1093.305725	0.215748
-5.000629	-5.884381	-20.000000	1297.851990	0.275242
-4.800971	-5.763215	-20.000000	1406.000732	0.300893
-4.600853	-5.883637	-20.000000	1716.886902	0.340932
-4.401294	-5.820194	-20.000000	1753.686462	0.399705
-4.198606	-5.814072	-20.000000	1877.317078	0.482875
-3.988724	-5.831602	-20.000000	2051.876068	0.474817
-3.801172	-5.848156	-20.000000	2187.531067	0.483278
-3.600659	-5.865301	-20.000000	2297.934296	0.532000
-3.401860	-5.836188	-20.000000	2436.223114	0.625419
-3.201241	-5.830572	-20.000000	2547.183502	0.633754
-2.988196	-5.824761	-20.000000	2601.388138	0.701474
-2.800972	-5.818624	-20.000000	2711.096924	0.733052
-2.601760	-5.927535	-20.000000	2911.113113	0.725251
-2.400871	-5.841040	-20.000000	2877.821198	0.759028
-2.199777	-5.846880	-20.000000	2930.350555	0.824828
-2.001419	-5.897925	-20.000000	3075.395752	0.900230
-1.801584	-5.903661	-20.000000	3146.350487	0.900724
-1.587753	-5.897577	-20.000000	3157.372799	0.992145
-1.400792	-5.880287	-20.000000	3198.490952	1.017329
-1.200613	-5.817342	-20.000000	3149.223434	1.051660
-1.000644	-5.856261	-20.000000	3229.735649	1.069042
-0.800719	-5.816076	-20.000000	3208.853609	1.159364
-0.592551	-5.833366	-20.000000	3249.902548	1.160359
-0.401300	-5.873055	-20.000000	3282.113150	1.183219
-0.052357	-5.867674	-20.000000	3256.327459	1.224763
0.000738	-5.870663	-20.000000	3247.976186	1.291845
0.102789	-5.807031	-20.000000	3229.568611	1.299894
0.383388	-5.856614	-20.000000	3291.333372	1.414755
