V0	Vf	V_sent	D	dt
0.021485	0.033929	0.000000	177.974535	0.023839
0.000811	0.044594	0.000000	76.147394	0.027740
0.001488	0.045838	0.000000	170.467162	0.040216
0.049143	0.059321	0.000000	172.945229	0.063978
0.000705	0.019850	0.000000	117.767066	0.040288
0.001086	0.032406	0.000000	127.058370	0.037000
0.000313	0.059547	0.000000	75.433661	0.035284
0.001949	0.039702	0.000000	45.043450	0.027898
0.001661	0.099903	0.000000	70.602347	0.049868
0.010502	0.045840	0.000000	77.309327	0.041345
0.000238	0.049951	0.000000	83.838744	0.064059
0.001704	0.038042	0.000000	61.340930	0.048346
0.007171	0.081840	0.000000	189.462939	0.035185
0.000418	0.038009	0.000000	44.868354	0.028630
0.001286	0.079399	0.000000	56.441414	0.063183
0.001073	0.019850	0.000000	61.706270	0.063951
0.000961	0.051244	0.000000	82.810893	0.017996
0.001610	0.049955	0.000000	123.918595	0.050188
0.000349	0.049928	0.000000	141.671496	0.046900
0.001338	0.037993	0.000000	28.870205	0.123496
0.001468	0.081855	0.000000	167.749095	0.116578
0.000253	0.038018	0.000000	59.587690	0.053337
0.000595	0.038014	0.000000	76.340040	0.036629
0.000134	0.081842	0.000000	93.316457	0.080838
0.001228	0.019848	0.000000	69.518172	0.033324
0.001125	0.019849	0.000000	48.875666	0.117047
0.003886	0.122896	0.000000	182.559034	0.056122
0.034302	0.038011	0.000000	110.806922	0.056582
0.099185	0.038195	0.000000	87.633978	0.104822
0.002908	0.067284	0.000000	83.085035	0.246281
0.097443	0.020396	0.000000	46.702555	0.063320
0.012861	0.019897	0.000000	53.345093	0.175977
0.038901	0.051256	0.000000	98.190807	0.071786
0.000509	0.022917	0.000000	64.902938	0.095021
0.000600	0.038008	0.000000	60.286389	0.150773
0.001198	0.081856	0.000000	97.700064	0.112021
0.000382	0.038009	0.000000	106.149031	0.111554
0.002789	0.039708	0.000000	111.113535	0.028824
0.000380	0.045817	0.000000	91.914103	0.056332
0.000646	0.097237	0.000000	70.138571	0.024753
0.001711	0.056119	0.000000	67.284797	0.097269
0.000937	0.049964	0.000000	58.481781	0.175731
0.000143	0.022926	0.000000	35.916978	0.092068
0.054487	0.049654	0.000000	129.448893	0.085300
0.000316	0.038010	0.000000	35.600018	0.152960
0.001252	0.056143	0.000000	43.086925	0.093102
0.001017	0.039728	0.000000	102.487518	0.037180
0.001149	0.037985	0.000000	59.443383	0.056050
0.000514	0.049922	0.000000	93.582073	0.103394
0.000420	0.059557	0.000000	69.755470	0.080978
0.085294	0.040926	0.000000	42.085305	0.064040
0.081710	0.050618	0.000000	92.799245	0.037631
0.052547	0.081873	0.000000	111.296411	0.120176
0.000698	0.059603	0.000000	63.698653	0.095297
0.001022	0.038002	0.000000	93.511846	0.055306
0.001408	0.064823	0.000000	155.945232	0.075110
0.000444	0.000022	0.000000	115.166004	0.194788
0.001601	0.039688	0.000000	136.774678	0.093270
0.079794	0.038011	0.000000	143.207464	0.142431
0.000823	0.075121	0.000000	129.812572	0.076441
0.056535	0.040065	0.000000	106.742284	0.032872
0.053439	0.039234	0.000000	157.781177	0.023688
0.000156	0.056363	0.000000	40.444688	0.037115
0.069094	0.032435	0.000000	126.875699	0.036792
0.000494	0.076022	0.000000	184.501137	0.048833
0.001016	0.019849	0.000000	138.778388	0.032411
0.000687	0.038009	0.000000	156.557763	0.037236
0.001270	0.049951	0.000000	43.226906	0.023148
0.003260	0.039691	0.000000	97.573309	0.073406
0.022466	0.059310	0.000000	169.168182	0.049639
0.000762	0.112282	0.000000	181.666161	0.050225
0.000255	0.059543	0.000000	21.735814	0.022083
0.001186	0.051249	0.000000	94.243046	0.072094
0.001631	0.038009	0.000000	106.655483	0.023005
0.021784	0.045834	0.000000	92.969291	0.048085
0.000561	0.059548	0.000000	142.926299	0.022229
0.001369	0.064837	0.000000	25.781096	0.028119
0.000637	0.094514	0.000000	87.582022	0.027376
0.002272	0.032441	0.000000	70.693019	0.054918
0.001423	0.051254	0.000000	36.403688	0.077554
0.001430	0.064829	0.000000	97.999042	0.041110
0.022035	0.038007	0.000000	66.258298	0.063582
0.000546	0.038004	0.000000	97.143900	0.046621
0.000396	0.019853	0.000000	57.908597	0.070473
0.000353	0.076014	0.000000	120.489892	0.040250
0.000590	0.045842	0.000000	97.541843	0.063103
0.015566	0.019849	0.000000	49.058503	0.063753
0.001054	0.032415	0.000000	45.289212	0.038164
0.086979	0.037287	0.000000	45.335862	0.043006
0.001279	0.018722	0.000000	2.210639	0.093272
0.098123	0.056150	0.000000	68.333326	0.058745
0.030500	0.037995	0.000000	47.781849	0.096435
0.000832	0.038006	0.000000	39.068677	0.041286
0.000564	0.059556	0.000000	45.917471	0.011912
0.001139	0.038014	0.000000	63.511597	0.111549
0.001533	0.000052	0.000000	63.261303	0.085036
0.000575	0.038012	0.000000	110.884112	0.084894
0.020306	0.051211	0.000000	118.151356	0.075976
0.006957	0.093788	0.000000	212.430993	0.146618
0.000969	0.093810	0.000000	169.297244	0.035500
0.000573	0.045892	0.000000	122.437532	0.070545
0.000554	0.056119	0.000000	88.668596	0.081354
0.001338	0.068758	0.000000	114.298585	0.033430
0.001074	0.059469	0.000000	42.769936	0.145317
0.039547	0.051299	0.000000	93.367919	0.072963
0.001433	0.118923	0.000000	219.844131	0.036530
0.015345	0.019887	0.000000	109.773908	0.093332
0.071754	0.038415	0.000000	121.817331	0.050256
0.001587	0.038016	0.000000	82.501016	0.043272
0.080846	0.052326	0.000000	132.164636	0.066234
0.000378	0.067828	0.000000	107.793907	0.035253
0.012940	0.059562	0.000000	126.735201	0.065253
0.000679	0.039728	0.000000	163.305961	0.117784
0.000121	0.082829	0.000000	94.980070	0.484145
0.000636	0.056130	0.000000	70.044757	0.117596
0.086801	0.049883	0.000000	129.989764	0.038124
0.000521	0.049885	0.000000	40.731082	0.084693
0.001717	0.039690	0.000000	80.205111	0.087119
0.000289	0.051281	0.000000	105.857846	0.098267
0.001813	0.051248	0.000000	149.701484	0.123575
0.077982	2.391448	0.000000	434.815343	0.041242
0.000961	0.076355	0.000000	70.586557	0.016800
0.040987	0.065452	0.000000	1051.481794	0.494633
0.000424	0.115713	0.000000	231.973124	0.037010
0.001215	0.067815	0.000000	285.567373	0.199060
0.000563	0.049956	0.000000	134.405658	0.024060
0.001372	0.022924	0.000000	120.945199	0.027836
0.000322	0.051253	0.000000	158.681322	0.037035
0.029412	0.051253	0.000000	96.237098	0.014284
0.001010	0.064832	0.000000	152.096744	0.047490
0.001082	0.039695	0.000000	147.589506	0.036384
0.000873	0.099904	0.000000	139.146102	0.049701
0.001314	0.022921	0.000000	63.355309	0.049905
0.001151	0.039699	0.000000	138.595075	0.036379
0.000181	0.019850	0.000000	111.684734	0.070457
0.000555	0.076020	0.000000	121.090038	0.040657
0.000719	0.081845	0.000000	88.367305	0.035810
0.001273	0.022919	0.000000	92.528951	0.049327
0.000525	0.019840	0.000000	71.181805	0.045613
0.001572	0.059560	0.000000	121.965647	0.059499
0.003876	0.038027	0.000000	101.517211	0.053638
0.000962	0.019858	0.000000	83.565955	0.049676
0.001717	0.049959	0.000000	39.378911	0.043268
0.000755	0.079400	0.000000	107.208879	0.072301
0.000329	0.051254	0.000000	100.100701	0.069697
0.000537	0.038008	0.000000	46.470390	0.042940
0.000513	0.045841	0.000000	88.024467	0.061977
0.003700	0.049954	0.000000	51.244453	0.036127
0.100186	0.032213	0.000000	70.744568	0.100234
0.078304	0.051391	0.000000	48.264047	0.079099
0.000410	0.059549	0.000000	80.668474	0.110350
0.023471	0.019844	0.000000	58.391801	0.027495
0.000099	0.000024	0.000000	50.440238	0.070571
0.074049	0.051119	0.000000	77.485658	0.061166
0.000649	0.038011	0.000000	92.555725	0.072076
0.074305	0.068573	0.000000	128.437657	0.076309
0.000524	0.032406	0.000000	122.494791	0.082651
0.000570	0.068779	0.000000	44.583865	0.030092
0.001065	0.038020	0.000000	76.508690	0.126041
0.000822	0.032421	0.000000	66.976041	0.015442
0.001158	0.039665	0.000000	63.045778	0.036160
0.000728	0.059597	0.000000	137.068235	0.081880
0.000354	0.045830	0.000000	51.031097	0.036214
0.081262	0.032693	0.000000	47.289721	0.161397
0.000108	0.051272	0.000000	103.986637	0.036348
0.000172	0.050234	0.000000	56.316804	0.024639
0.000326	0.038066	0.000000	84.226106	0.087705
0.000625	0.019881	0.000000	113.142135	0.062452
0.000535	0.068815	0.000000	135.625868	0.104673
0.000345	0.067795	0.000000	147.157775	0.115163
0.000277	0.037893	0.000000	92.027915	0.072678
0.048388	0.045766	0.000000	79.487442	0.049988
0.008622	0.051264	0.000000	127.604256	0.076780
0.001138	0.059289	0.000000	37.450150	0.029850
0.001353	0.059535	0.000000	372.123157	0.083220
0.001425	0.039710	0.000000	130.590416	0.107308
0.000303	0.072548	0.000000	104.865624	0.138635
0.000659	0.019868	0.000000	77.835329	0.001726
0.029864	0.039674	0.000000	172.765062	0.136037
0.013110	0.022918	0.000000	81.023003	0.071584
0.028345	0.041787	0.000000	144.500996	0.028320
0.000447	0.041880	0.000000	119.884707	0.032527
0.000552	0.053977	0.000000	155.678526	0.036359
0.001586	0.065192	0.000000	182.808810	0.026985
0.000350	0.036521	0.000000	126.694090	0.036908
0.001400	0.064828	0.000000	195.777110	0.027993
0.001449	0.038010	0.000000	129.125942	0.023342
0.000245	0.067800	0.000000	86.131691	0.025392
0.000424	0.051249	0.000000	120.781091	0.027630
0.001012	0.019852	0.000000	72.649000	0.023595
0.000614	0.039696	0.000000	77.729675	0.050065
0.000394	0.112286	0.000000	195.877190	0.040907
0.001807	0.075150	0.000000	118.004933	0.048857
0.001464	0.068760	0.000000	89.283246	0.037852
0.000155	0.022922	0.000000	43.303437	0.060388
0.000228	0.045843	0.000000	87.015297	0.050493
0.044764	0.039701	0.000000	112.927661	0.036790
0.001501	0.000033	0.000000	108.226300	0.040426
0.000254	0.032391	0.000000	66.798619	0.029762
0.000659	0.049974	0.000000	60.817670	0.042904
0.000503	0.056151	0.000000	45.051848	0.043615
0.000757	0.064832	0.000000	105.581070	0.136940
0.000613	0.068760	0.000000	128.529774	0.045990
0.001898	0.039692	0.000000	50.588427	0.048900
0.055432	0.038177	0.000000	81.896220	0.060702
0.001844	0.072477	0.000000	82.250697	0.025108
0.000831	0.059548	0.000000	101.687243	0.034931
0.005676	0.056131	0.000000	81.948857	0.051734
0.086903	0.038059	0.000000	40.076689	0.026347
0.000810	0.048291	0.000000	45.377314	0.153193
0.080410	0.038650	0.000000	37.502549	0.087860
0.001983	0.079403	0.000000	72.965543	0.144615
0.001667	0.051255	0.000000	49.959222	0.101182
0.000328	0.056139	0.000000	35.997977	0.095770
0.073319	0.114025	0.000000	162.126002	0.050828
0.000494	0.049943	0.000000	54.484959	0.105966
0.003101	0.032407	0.000000	76.173580	0.069212
0.075232	0.119092	0.000000	198.752498	0.012625
0.022649	0.059576	0.000000	102.423646	0.082449
0.001353	0.032426	0.000000	54.420713	0.086249
0.001787	0.059569	0.000000	125.118744	0.080042
0.000180	0.038022	0.000000	110.836390	0.112265
0.001180	0.059557	0.000000	114.970808	0.083730
0.000850	0.067798	0.000000	86.614362	0.072595
0.001269	0.049953	0.000000	63.240743	0.138010
0.000617	0.022940	0.000000	90.292006	0.114996
0.032149	0.051264	0.000000	101.297091	0.128523
0.001140	0.039696	0.000000	105.084207	0.123388
0.001654	0.059583	0.000000	113.366320	0.075382
0.000643	0.039716	0.000000	130.942795	0.045389
0.000920	0.059490	0.000000	145.543297	0.035870
0.000564	0.051232	0.000000	111.103076	0.016981
0.010023	0.045836	0.000000	178.991555	0.039595
0.018976	0.038099	0.000000	138.951582	0.148598
0.000482	0.049959	0.000000	94.187204	0.030564
0.001371	0.037994	0.000000	74.452950	0.144214
0.001212	0.032358	0.000000	45.526295	0.052384
0.000192	0.099235	0.000000	234.519761	0.066388
0.001467	0.019839	0.000000	140.666477	0.122034
0.000225	0.087999	0.000000	161.630405	0.173721
0.000489	0.080196	0.000000	196.373469	0.038013
