V0	Vf	V_sent
0.200000	0.000000	0.000000	0.000000
0.400000	0.000000	0.000000	1.000000
0.600000	0.000000	0.000000	2.000000
0.800000	0.000000	0.000000	3.000000
1.000000	0.000000	0.000000	4.000000
1.200000	0.000000	0.000000	5.000000
1.400000	0.000000	0.000000	6.000000
1.600000	0.000000	0.000000	7.000000
1.800000	0.000000	0.000000	8.000000
2.000000	0.000000	0.000000	9.000000
2.200000	0.000000	0.000000	10.000000
2.400000	0.000000	0.000000	11.000000
2.600000	0.000000	0.000000	12.000000
2.800000	0.000000	0.000000	13.000000
3.000000	0.000000	0.000000	14.000000
3.200000	0.000000	0.000000	15.000000
3.400000	0.000000	0.000000	16.000000
3.600000	0.000000	0.000000	17.000000
3.800000	0.000000	0.000000	18.000000
4.000000	0.000000	0.000000	19.000000
0.000000	0.200000	0.200000	20.000000
0.400000	0.200000	0.200000	21.000000
0.600000	0.200000	0.200000	22.000000
0.800000	0.200000	0.200000	23.000000
1.000000	0.200000	0.200000	24.000000
1.200000	0.200000	0.200000	25.000000
1.400000	0.200000	0.200000	26.000000
1.600000	0.200000	0.200000	27.000000
1.800000	0.200000	0.200000	28.000000
2.000000	0.200000	0.200000	29.000000
2.200000	0.200000	0.200000	30.000000
2.400000	0.200000	0.200000	31.000000
2.600000	0.200000	0.200000	32.000000
2.800000	0.200000	0.200000	33.000000
3.000000	0.200000	0.200000	34.000000
3.200000	0.200000	0.200000	35.000000
3.400000	0.200000	0.200000	36.000000
3.600000	0.200000	0.200000	37.000000
3.800000	0.200000	0.200000	38.000000
4.000000	0.200000	0.200000	39.000000
0.000000	0.400000	0.400000	40.000000
0.200000	0.400000	0.400000	41.000000
0.600000	0.400000	0.400000	42.000000
0.800000	0.400000	0.400000	43.000000
1.000000	0.400000	0.400000	44.000000
1.200000	0.400000	0.400000	45.000000
1.400000	0.400000	0.400000	46.000000
1.600000	0.400000	0.400000	47.000000
1.800000	0.400000	0.400000	48.000000
2.000000	0.400000	0.400000	49.000000
2.200000	0.400000	0.400000	50.000000
2.400000	0.400000	0.400000	51.000000
2.600000	0.400000	0.400000	52.000000
2.800000	0.400000	0.400000	53.000000
3.000000	0.400000	0.400000	54.000000
3.200000	0.400000	0.400000	55.000000
3.400000	0.400000	0.400000	56.000000
3.600000	0.400000	0.400000	57.000000
3.800000	0.400000	0.400000	58.000000
4.000000	0.400000	0.400000	59.000000
0.000000	0.600000	0.600000	60.000000
0.200000	0.600000	0.600000	61.000000
0.400000	0.600000	0.600000	62.000000
0.800000	0.600000	0.600000	63.000000
1.000000	0.600000	0.600000	64.000000
1.200000	0.600000	0.600000	65.000000
1.400000	0.600000	0.600000	66.000000
1.600000	0.600000	0.600000	67.000000
1.800000	0.600000	0.600000	68.000000
2.000000	0.600000	0.600000	69.000000
2.200000	0.600000	0.600000	70.000000
2.400000	0.600000	0.600000	71.000000
2.600000	0.600000	0.600000	72.000000
2.800000	0.600000	0.600000	73.000000
3.000000	0.600000	0.600000	74.000000
3.200000	0.600000	0.600000	75.000000
3.400000	0.600000	0.600000	76.000000
3.600000	0.600000	0.600000	77.000000
3.800000	0.600000	0.600000	78.000000
4.000000	0.600000	0.600000	79.000000
0.000000	0.800000	0.800000	80.000000
0.200000	0.800000	0.800000	81.000000
0.400000	0.800000	0.800000	82.000000
0.600000	0.800000	0.800000	83.000000
1.000000	0.800000	0.800000	84.000000
1.200000	0.800000	0.800000	85.000000
1.400000	0.800000	0.800000	86.000000
1.600000	0.800000	0.800000	87.000000
1.800000	0.800000	0.800000	88.000000
2.000000	0.800000	0.800000	89.000000
2.200000	0.800000	0.800000	90.000000
2.400000	0.800000	0.800000	91.000000
2.600000	0.800000	0.800000	92.000000
2.800000	0.800000	0.800000	93.000000
3.000000	0.800000	0.800000	94.000000
3.200000	0.800000	0.800000	95.000000
3.400000	0.800000	0.800000	96.000000
3.600000	0.800000	0.800000	97.000000
3.800000	0.800000	0.800000	98.000000
4.000000	0.800000	0.800000	99.000000
0.000000	1.000000	1.000000	100.000000
0.200000	1.000000	1.000000	101.000000
0.400000	1.000000	1.000000	102.000000
0.600000	1.000000	1.000000	103.000000
0.800000	1.000000	1.000000	104.000000
1.200000	1.000000	1.000000	105.000000
1.400000	1.000000	1.000000	106.000000
1.600000	1.000000	1.000000	107.000000
1.800000	1.000000	1.000000	108.000000
2.000000	1.000000	1.000000	109.000000
2.200000	1.000000	1.000000	110.000000
2.400000	1.000000	1.000000	111.000000
2.600000	1.000000	1.000000	112.000000
2.800000	1.000000	1.000000	113.000000
3.000000	1.000000	1.000000	114.000000
3.200000	1.000000	1.000000	115.000000
3.400000	1.000000	1.000000	116.000000
3.600000	1.000000	1.000000	117.000000
3.800000	1.000000	1.000000	118.000000
4.000000	1.000000	1.000000	119.000000
0.000000	1.200000	1.200000	120.000000
0.200000	1.200000	1.200000	121.000000
0.400000	1.200000	1.200000	122.000000
0.600000	1.200000	1.200000	123.000000
0.800000	1.200000	1.200000	124.000000
1.000000	1.200000	1.200000	125.000000
1.400000	1.200000	1.200000	126.000000
1.600000	1.200000	1.200000	127.000000
1.800000	1.200000	1.200000	128.000000
2.000000	1.200000	1.200000	129.000000
2.200000	1.200000	1.200000	130.000000
2.400000	1.200000	1.200000	131.000000
2.600000	1.200000	1.200000	132.000000
2.800000	1.200000	1.200000	133.000000
3.000000	1.200000	1.200000	134.000000
3.200000	1.200000	1.200000	135.000000
3.400000	1.200000	1.200000	136.000000
3.600000	1.200000	1.200000	137.000000
3.800000	1.200000	1.200000	138.000000
4.000000	1.200000	1.200000	139.000000
0.000000	1.400000	1.400000	140.000000
0.200000	1.400000	1.400000	141.000000
0.400000	1.400000	1.400000	142.000000
0.600000	1.400000	1.400000	143.000000
0.800000	1.400000	1.400000	144.000000
1.000000	1.400000	1.400000	145.000000
1.200000	1.400000	1.400000	146.000000
1.600000	1.400000	1.400000	147.000000
1.800000	1.400000	1.400000	148.000000
2.000000	1.400000	1.400000	149.000000
2.200000	1.400000	1.400000	150.000000
2.400000	1.400000	1.400000	151.000000
2.600000	1.400000	1.400000	152.000000
2.800000	1.400000	1.400000	153.000000
3.000000	1.400000	1.400000	154.000000
3.200000	1.400000	1.400000	155.000000
3.400000	1.400000	1.400000	156.000000
3.600000	1.400000	1.400000	157.000000
3.800000	1.400000	1.400000	158.000000
4.000000	1.400000	1.400000	159.000000
0.000000	1.600000	1.600000	160.000000
0.200000	1.600000	1.600000	161.000000
0.400000	1.600000	1.600000	162.000000
0.600000	1.600000	1.600000	163.000000
0.800000	1.600000	1.600000	164.000000
1.000000	1.600000	1.600000	165.000000
1.200000	1.600000	1.600000	166.000000
1.400000	1.600000	1.600000	167.000000
1.800000	1.600000	1.600000	168.000000
2.000000	1.600000	1.600000	169.000000
2.200000	1.600000	1.600000	170.000000
2.400000	1.600000	1.600000	171.000000
2.600000	1.600000	1.600000	172.000000
2.800000	1.600000	1.600000	173.000000
3.000000	1.600000	1.600000	174.000000
3.200000	1.600000	1.600000	175.000000
3.400000	1.600000	1.600000	176.000000
3.600000	1.600000	1.600000	177.000000
3.800000	1.600000	1.600000	178.000000
4.000000	1.600000	1.600000	179.000000
0.000000	1.800000	1.800000	180.000000
0.200000	1.800000	1.800000	181.000000
0.400000	1.800000	1.800000	182.000000
0.600000	1.800000	1.800000	183.000000
0.800000	1.800000	1.800000	184.000000
1.000000	1.800000	1.800000	185.000000
1.200000	1.800000	1.800000	186.000000
1.400000	1.800000	1.800000	187.000000
1.600000	1.800000	1.800000	188.000000
2.000000	1.800000	1.800000	189.000000
2.200000	1.800000	1.800000	190.000000
2.400000	1.800000	1.800000	191.000000
2.600000	1.800000	1.800000	192.000000
2.800000	1.800000	1.800000	193.000000
3.000000	1.800000	1.800000	194.000000
3.200000	1.800000	1.800000	195.000000
3.400000	1.800000	1.800000	196.000000
3.600000	1.800000	1.800000	197.000000
3.800000	1.800000	1.800000	198.000000
4.000000	1.800000	1.800000	199.000000
0.000000	2.000000	2.000000	200.000000
0.200000	2.000000	2.000000	201.000000
0.400000	2.000000	2.000000	202.000000
0.600000	2.000000	2.000000	203.000000
0.800000	2.000000	2.000000	204.000000
1.000000	2.000000	2.000000	205.000000
1.200000	2.000000	2.000000	206.000000
1.400000	2.000000	2.000000	207.000000
1.600000	2.000000	2.000000	208.000000
1.800000	2.000000	2.000000	209.000000
2.200000	2.000000	2.000000	210.000000
2.400000	2.000000	2.000000	211.000000
2.600000	2.000000	2.000000	212.000000
2.800000	2.000000	2.000000	213.000000
3.000000	2.000000	2.000000	214.000000
3.200000	2.000000	2.000000	215.000000
3.400000	2.000000	2.000000	216.000000
3.600000	2.000000	2.000000	217.000000
3.800000	2.000000	2.000000	218.000000
4.000000	2.000000	2.000000	219.000000
0.000000	2.200000	2.200000	220.000000
0.200000	2.200000	2.200000	221.000000
0.400000	2.200000	2.200000	222.000000
0.600000	2.200000	2.200000	223.000000
0.800000	2.200000	2.200000	224.000000
1.000000	2.200000	2.200000	225.000000
1.200000	2.200000	2.200000	226.000000
1.400000	2.200000	2.200000	227.000000
1.600000	2.200000	2.200000	228.000000
1.800000	2.200000	2.200000	229.000000
2.000000	2.200000	2.200000	230.000000
2.400000	2.200000	2.200000	231.000000
2.600000	2.200000	2.200000	232.000000
2.800000	2.200000	2.200000	233.000000
3.000000	2.200000	2.200000	234.000000
3.200000	2.200000	2.200000	235.000000
3.400000	2.200000	2.200000	236.000000
3.600000	2.200000	2.200000	237.000000
3.800000	2.200000	2.200000	238.000000
4.000000	2.200000	2.200000	239.000000
0.000000	2.400000	2.400000	240.000000
0.200000	2.400000	2.400000	241.000000
0.400000	2.400000	2.400000	242.000000
0.600000	2.400000	2.400000	243.000000
0.800000	2.400000	2.400000	244.000000
1.000000	2.400000	2.400000	245.000000
1.200000	2.400000	2.400000	246.000000
1.400000	2.400000	2.400000	247.000000
1.600000	2.400000	2.400000	248.000000
1.800000	2.400000	2.400000	249.000000
2.000000	2.400000	2.400000	250.000000
2.200000	2.400000	2.400000	251.000000
2.600000	2.400000	2.400000	252.000000
2.800000	2.400000	2.400000	253.000000
3.000000	2.400000	2.400000	254.000000
3.200000	2.400000	2.400000	255.000000
3.400000	2.400000	2.400000	256.000000
3.600000	2.400000	2.400000	257.000000
3.800000	2.400000	2.400000	258.000000
4.000000	2.400000	2.400000	259.000000
0.000000	2.600000	2.600000	260.000000
0.200000	2.600000	2.600000	261.000000
0.400000	2.600000	2.600000	262.000000
0.600000	2.600000	2.600000	263.000000
0.800000	2.600000	2.600000	264.000000
1.000000	2.600000	2.600000	265.000000
1.200000	2.600000	2.600000	266.000000
1.400000	2.600000	2.600000	267.000000
1.600000	2.600000	2.600000	268.000000
1.800000	2.600000	2.600000	269.000000
2.000000	2.600000	2.600000	270.000000
2.200000	2.600000	2.600000	271.000000
2.400000	2.600000	2.600000	272.000000
2.800000	2.600000	2.600000	273.000000
3.000000	2.600000	2.600000	274.000000
3.200000	2.600000	2.600000	275.000000
3.400000	2.600000	2.600000	276.000000
3.600000	2.600000	2.600000	277.000000
3.800000	2.600000	2.600000	278.000000
4.000000	2.600000	2.600000	279.000000
0.000000	2.800000	2.800000	280.000000
0.200000	2.800000	2.800000	281.000000
0.400000	2.800000	2.800000	282.000000
0.600000	2.800000	2.800000	283.000000
0.800000	2.800000	2.800000	284.000000
1.000000	2.800000	2.800000	285.000000
1.200000	2.800000	2.800000	286.000000
1.400000	2.800000	2.800000	287.000000
1.600000	2.800000	2.800000	288.000000
1.800000	2.800000	2.800000	289.000000
2.000000	2.800000	2.800000	290.000000
2.200000	2.800000	2.800000	291.000000
2.400000	2.800000	2.800000	292.000000
2.600000	2.800000	2.800000	293.000000
3.000000	2.800000	2.800000	294.000000
3.200000	2.800000	2.800000	295.000000
3.400000	2.800000	2.800000	296.000000
3.600000	2.800000	2.800000	297.000000
3.800000	2.800000	2.800000	298.000000
4.000000	2.800000	2.800000	299.000000
0.000000	3.000000	3.000000	300.000000
0.200000	3.000000	3.000000	301.000000
0.400000	3.000000	3.000000	302.000000
0.600000	3.000000	3.000000	303.000000
0.800000	3.000000	3.000000	304.000000
1.000000	3.000000	3.000000	305.000000
1.200000	3.000000	3.000000	306.000000
1.400000	3.000000	3.000000	307.000000
1.600000	3.000000	3.000000	308.000000
1.800000	3.000000	3.000000	309.000000
2.000000	3.000000	3.000000	310.000000
2.200000	3.000000	3.000000	311.000000
2.400000	3.000000	3.000000	312.000000
2.600000	3.000000	3.000000	313.000000
2.800000	3.000000	3.000000	314.000000
3.200000	3.000000	3.000000	315.000000
3.400000	3.000000	3.000000	316.000000
3.600000	3.000000	3.000000	317.000000
3.800000	3.000000	3.000000	318.000000
4.000000	3.000000	3.000000	319.000000
0.000000	3.200000	3.200000	320.000000
0.200000	3.200000	3.200000	321.000000
0.400000	3.200000	3.200000	322.000000
0.600000	3.200000	3.200000	323.000000
0.800000	3.200000	3.200000	324.000000
1.000000	3.200000	3.200000	325.000000
1.200000	3.200000	3.200000	326.000000
1.400000	3.200000	3.200000	327.000000
1.600000	3.200000	3.200000	328.000000
1.800000	3.200000	3.200000	329.000000
2.000000	3.200000	3.200000	330.000000
2.200000	3.200000	3.200000	331.000000
2.400000	3.200000	3.200000	332.000000
2.600000	3.200000	3.200000	333.000000
2.800000	3.200000	3.200000	334.000000
3.000000	3.200000	3.200000	335.000000
3.400000	3.200000	3.200000	336.000000
3.600000	3.200000	3.200000	337.000000
3.800000	3.200000	3.200000	338.000000
4.000000	3.200000	3.200000	339.000000
0.000000	3.400000	3.400000	340.000000
0.200000	3.400000	3.400000	341.000000
0.400000	3.400000	3.400000	342.000000
0.600000	3.400000	3.400000	343.000000
0.800000	3.400000	3.400000	344.000000
1.000000	3.400000	3.400000	345.000000
1.200000	3.400000	3.400000	346.000000
1.400000	3.400000	3.400000	347.000000
1.600000	3.400000	3.400000	348.000000
1.800000	3.400000	3.400000	349.000000
2.000000	3.400000	3.400000	350.000000
2.200000	3.400000	3.400000	351.000000
2.400000	3.400000	3.400000	352.000000
2.600000	3.400000	3.400000	353.000000
2.800000	3.400000	3.400000	354.000000
3.000000	3.400000	3.400000	355.000000
3.200000	3.400000	3.400000	356.000000
3.600000	3.400000	3.400000	357.000000
3.800000	3.400000	3.400000	358.000000
4.000000	3.400000	3.400000	359.000000
0.000000	3.600000	3.600000	360.000000
0.200000	3.600000	3.600000	361.000000
0.400000	3.600000	3.600000	362.000000
0.600000	3.600000	3.600000	363.000000
0.800000	3.600000	3.600000	364.000000
1.000000	3.600000	3.600000	365.000000
1.200000	3.600000	3.600000	366.000000
1.400000	3.600000	3.600000	367.000000
1.600000	3.600000	3.600000	368.000000
1.800000	3.600000	3.600000	369.000000
2.000000	3.600000	3.600000	370.000000
2.200000	3.600000	3.600000	371.000000
2.400000	3.600000	3.600000	372.000000
2.600000	3.600000	3.600000	373.000000
2.800000	3.600000	3.600000	374.000000
3.000000	3.600000	3.600000	375.000000
3.200000	3.600000	3.600000	376.000000
3.400000	3.600000	3.600000	377.000000
3.800000	3.600000	3.600000	378.000000
4.000000	3.600000	3.600000	379.000000
0.000000	3.800000	3.800000	380.000000
0.200000	3.800000	3.800000	381.000000
0.400000	3.800000	3.800000	382.000000
0.600000	3.800000	3.800000	383.000000
0.800000	3.800000	3.800000	384.000000
1.000000	3.800000	3.800000	385.000000
1.200000	3.800000	3.800000	386.000000
1.400000	3.800000	3.800000	387.000000
1.600000	3.800000	3.800000	388.000000
1.800000	3.800000	3.800000	389.000000
2.000000	3.800000	3.800000	390.000000
2.200000	3.800000	3.800000	391.000000
2.400000	3.800000	3.800000	392.000000
2.600000	3.800000	3.800000	393.000000
2.800000	3.800000	3.800000	394.000000
3.000000	3.800000	3.800000	395.000000
3.200000	3.800000	3.800000	396.000000
3.400000	3.800000	3.800000	397.000000
3.600000	3.800000	3.800000	398.000000
4.000000	3.800000	3.800000	399.000000
0.000000	4.000000	4.000000	400.000000
0.200000	4.000000	4.000000	401.000000
0.400000	4.000000	4.000000	402.000000
0.600000	4.000000	4.000000	403.000000
0.800000	4.000000	4.000000	404.000000
1.000000	4.000000	4.000000	405.000000
1.200000	4.000000	4.000000	406.000000
1.400000	4.000000	4.000000	407.000000
1.600000	4.000000	4.000000	408.000000
1.800000	4.000000	4.000000	409.000000
2.000000	4.000000	4.000000	410.000000
2.200000	4.000000	4.000000	411.000000
2.400000	4.000000	4.000000	412.000000
2.600000	4.000000	4.000000	413.000000
2.800000	4.000000	4.000000	414.000000
3.000000	4.000000	4.000000	415.000000
3.200000	4.000000	4.000000	416.000000
3.400000	4.000000	4.000000	417.000000
3.600000	4.000000	4.000000	418.000000
3.800000	4.000000	4.000000	419.000000
