V0	Vf	V_sent	D	dt
0.013796	0.017023	0.000000	0.851562	0.029497
0.010973	0.001609	0.000000	81.689209	0.034998
0.030804	0.001787	0.000000	120.027100	0.022014
0.025439	0.002088	0.000000	118.364258	0.035996
0.016266	0.023074	0.000000	37.507812	0.001000
0.008531	0.002985	0.000000	78.358643	0.048895
0.038879	0.000000	0.000000	35.842529	0.048504
0.010974	0.015624	0.000000	153.390381	0.043497
0.022707	0.004700	0.000000	144.212158	0.018497
0.036545	0.018663	0.000000	41.693604	0.064500
0.009852	0.014171	0.000000	32.506104	0.080001
0.026882	0.005551	0.000000	53.336182	0.054521
0.007286	0.000005	0.000000	92.518555	0.038503
0.034231	0.012328	0.000000	161.727539	0.065021
0.034436	0.000377	0.000000	129.196045	0.052001
0.006500	0.009230	0.000000	98.362305	0.073014
0.015533	0.003189	0.000000	41.684814	0.079135
0.018217	0.023074	0.000000	163.418457	0.036019
0.014388	0.004309	0.000000	93.364990	0.087001
0.012518	0.001607	0.000000	125.044922	0.106000
0.034988	0.002179	0.000000	155.886475	0.056010
0.013820	0.014560	0.000000	0.000977	0.071999
0.045162	0.015405	0.000000	0.001221	0.019001
0.044049	0.016199	0.000000	43.342773	0.103503
0.000508	0.005180	0.000000	0.000488	0.016491
0.022415	0.007985	0.000000	143.213379	0.096061
0.026267	0.006693	0.000000	99.141846	0.020000
0.031184	0.014044	0.000000	156.710449	0.010524
0.009230	0.016656	0.000000	195.058105	0.101002
0.039880	0.012621	0.000000	33.339844	0.012016
0.028074	0.010399	0.000000	41.675293	0.130018
0.016520	0.012247	0.000000	56.698242	0.051516
0.012912	0.022137	0.000000	56.031250	0.076506
0.008487	0.016133	0.000000	39.996338	0.075534
0.047993	0.000000	0.000000	37.513916	0.092983
0.006949	0.000343	0.000000	30.007568	0.129011
0.007206	0.000005	0.000000	43.340820	0.025990
0.005426	0.022203	0.000000	206.746582	0.173384
0.028691	0.011109	0.000000	69.183838	0.106999
0.007165	0.000370	0.000000	83.354736	0.137001
0.047280	0.016952	0.000000	15.003418	0.080496
0.027413	0.020878	0.000000	96.712402	0.104503
0.007334	0.008502	0.000000	77.541748	0.144479
0.032202	0.015803	0.000000	0.001709	0.066500
0.040718	0.012361	0.000000	41.702393	0.080495
0.012807	0.000361	0.000000	38.343262	0.152992
0.015111	0.000608	0.000000	90.862061	0.109495
0.038702	0.008743	0.000000	46.679199	0.090640
0.000000	0.000044	0.000000	0.871094	0.067250
0.002661	0.016640	0.000000	83.334961	0.130489
0.040271	0.006610	0.000000	167.534424	0.022524
0.035163	0.000595	0.000000	80.867920	0.029001
0.013757	0.001609	0.000000	119.196533	0.051084
0.023003	0.001787	0.000000	79.189209	0.036588
0.008191	0.000007	0.000000	187.537842	0.006904
0.050209	0.003901	0.000000	118.367187	0.021512
0.028548	0.002985	0.000000	76.692383	0.015482
0.000568	0.011445	0.000000	116.740234	0.057998
0.027420	0.015505	0.000000	190.929932	0.057981
0.009573	0.011548	0.000000	74.196289	0.050495
0.011199	0.001335	0.000000	138.377441	0.047487
0.025988	0.000000	0.000000	63.345947	0.091004
0.006705	0.015014	0.000000	30.839844	0.016517
0.026468	0.001413	0.000000	130.861572	0.057524
0.005257	0.001818	0.000000	40.848877	0.028124
0.025678	0.002233	0.000000	125.876221	0.098500
0.002058	0.011497	0.000000	95.773193	0.032485
0.021783	0.020284	0.000000	81.725830	0.070500
0.037607	0.008411	0.000000	92.559814	0.124036
0.049643	0.011913	0.000000	25.008545	0.015496
0.030594	0.011738	0.000000	113.371582	0.057005
0.012390	0.013822	0.000000	69.821289	0.079517
0.008268	0.014555	0.000000	22.505127	0.101498
0.010798	0.015417	0.000000	64.931396	0.095254
0.025106	0.008695	0.000000	102.528076	0.060518
0.009022	0.007846	0.000000	100.863281	0.045499
0.030743	0.008267	0.000000	100.894531	0.044500
0.008998	0.012280	0.000000	100.032959	0.065500
0.008191	0.014121	0.000000	17.503418	0.034022
0.028702	0.013316	0.000000	115.079590	0.079501
0.027152	0.009853	0.000000	40.842773	0.129105
0.038693	0.017476	0.000000	75.059082	0.115999
0.037995	0.020626	0.000000	1.645752	0.112026
0.007616	0.012456	0.000000	40.861328	0.085912
0.013232	0.007581	0.000000	15.841797	0.021986
0.026495	0.016881	0.000000	0.003418	0.131011
0.005697	0.015799	0.000000	144.236816	0.104520
0.033622	0.007977	0.000000	81.693848	0.064003
0.027797	0.010475	0.000000	77.520264	0.107364
0.001495	0.015554	0.000000	74.165283	0.114008
0.027628	0.012388	0.000000	0.001709	0.112042
0.010804	0.005316	0.000000	60.866455	0.147481
0.009172	0.000007	0.000000	17.499756	0.109522
0.009991	0.005155	0.000000	91.684326	0.191495
0.002374	0.004778	0.000000	85.884277	0.033505
0.042395	0.006235	0.000000	85.052002	0.175506
0.041858	0.000593	0.000000	89.192383	0.182040
0.012828	0.000330	0.000000	47.495361	0.104547
0.002661	0.012532	0.000000	40.740479	0.105490
0.001596	0.014890	0.000000	40.853516	0.025502
0.001098	0.022532	0.000000	125.028564	0.026994
0.022452	0.011128	0.000000	122.524658	0.007519
0.000561	0.024568	0.000000	116.672607	0.013006
0.009747	0.000000	0.000000	38.341064	0.036000
0.009778	0.012548	0.000000	77.541260	0.013501
0.012439	0.008066	0.000000	186.708252	0.043507
0.008728	0.012198	0.000000	111.697021	0.051015
0.023171	0.000237	0.000000	0.002197	0.036996
0.042926	0.014035	0.000000	108.368408	0.030483
0.007963	0.008774	0.000000	146.711670	0.048980
0.008432	0.017545	0.000000	225.063721	0.047497
0.027289	0.021414	0.000000	183.390625	0.080999
0.008404	0.006022	0.000000	70.866455	0.076502
