V0	Vf	V_sent	D	dt
-5.769390	-5.979391	-6.000000	920.535547	0.149805
-5.584698	-5.978250	-6.000000	1036.292187	0.157792
-5.357979	-5.971222	-6.000000	1263.197168	0.215788
-5.167436	-5.978702	-6.000000	1499.997266	0.215996
-4.978361	-5.980041	-6.000000	1668.072754	0.256628
-4.778519	-5.989428	-6.000000	1879.551758	0.284398
-4.581158	-5.980859	-6.000000	1947.650293	0.344993
-4.399268	-5.973254	-6.000000	2081.758984	0.362994
-4.179163	-5.972966	-6.000000	2299.914648	0.365606
-3.967421	-5.979057	-6.000000	2285.350488	0.470395
-3.772955	-5.979134	-6.000000	2460.780371	0.430003
-3.569846	-5.979379	-6.000000	2638.254590	0.499996
-3.391304	-5.986680	-6.000000	2758.560840	0.543197
-3.162821	-5.983149	-6.000000	2771.734961	0.585396
-2.954456	-5.985396	-6.000000	2931.276855	0.583601
-2.760044	-5.987898	-6.000000	3039.739355	0.649828
-2.566728	-5.979982	-6.000000	3063.160059	0.663938
-2.363414	-5.984501	-6.000000	3210.753027	0.689396
-2.184055	-5.981241	-6.000000	3240.152441	0.724994
-1.958481	-5.991498	-6.000000	3379.728418	0.769217
-1.779139	-5.985598	-6.000000	3411.965332	0.755603
-1.564591	-5.996150	-6.000000	3476.487109	0.807401
-1.371655	-5.992564	-6.000000	3474.043945	0.888012
-1.176873	-5.984021	-6.000000	3478.929785	0.944003
-0.960413	-5.994240	-6.000000	3582.565234	0.916791
-0.769396	-5.998060	-6.000000	3575.701953	0.980594
-0.569214	-5.979606	-6.000000	3485.697363	1.027646
-0.374808	-5.983903	-6.000000	3548.660742	1.010712
-0.183991	-5.969979	-6.000000	3501.607812	1.032599
-0.001926	-5.987419	-6.000000	3499.264551	1.043401
-5.952822	-5.822868	-5.800000	949.610156	0.132800
-5.583933	-5.783031	-5.800000	963.884961	0.154999
-5.361536	-5.791801	-5.800000	1074.989746	0.170707
-5.165692	-5.782371	-5.800000	1397.864844	0.198193
-4.984792	-5.776656	-5.800000	1457.274805	0.281205
-4.781398	-5.785854	-5.800000	1626.069629	0.280600
-4.562731	-5.774827	-5.800000	1851.536621	0.324799
-4.352148	-5.791983	-5.800000	1887.025586	0.318191
-4.147007	-5.787561	-5.800000	2039.105566	0.423601
-3.957249	-5.790436	-5.800000	2219.951562	0.408392
-3.790411	-5.789578	-5.800000	2365.352441	0.432005
-3.570161	-5.785746	-5.800000	2442.780664	0.454768
-3.375436	-5.786359	-5.800000	2595.581543	0.465180
-3.155183	-5.793472	-5.800000	2589.870410	0.520581
-2.975015	-5.782248	-5.800000	2757.066211	0.557843
-2.782198	-5.789300	-5.800000	2883.933105	0.579592
-2.560826	-5.784973	-5.800000	2893.100781	0.614384
-2.374653	-5.770267	-5.800000	2943.808984	0.633952
-2.160867	-5.791367	-5.800000	3078.798730	0.668792
-1.974687	-5.779610	-5.800000	3108.799414	0.692696
-1.769231	-5.780591	-5.800000	3111.003613	0.749198
-1.562239	-5.782197	-5.800000	3184.573340	0.783142
-1.364359	-5.781070	-5.800000	3283.142676	0.810040
-1.162293	-5.793321	-5.800000	3270.667969	0.832668
-0.988549	-5.782114	-5.800000	3291.560645	0.847393
-0.783367	-5.783053	-5.800000	3292.511914	0.925397
-0.579743	-5.783971	-5.800000	3266.970508	0.936204
-0.384413	-5.787596	-5.800000	3303.668066	1.006787
-0.155782	-5.780724	-5.800000	3257.945996	1.027192
-0.000319	-5.786918	-5.800000	3300.555469	1.072992
-5.988410	-5.605203	-5.600000	1148.139062	0.161005
-5.770470	-5.608564	-5.600000	876.894043	0.140803
-5.357294	-5.582145	-5.600000	894.533594	0.129287
-5.163315	-5.588569	-5.600000	1018.968164	0.184594
-4.981229	-5.582523	-5.600000	1223.828516	0.200715
-4.775670	-5.574569	-5.600000	1399.918848	0.230605
-4.571138	-5.583559	-5.600000	1554.057520	0.259993
-4.366936	-5.589425	-5.600000	1646.166504	0.321387
-4.176814	-5.580042	-5.600000	1812.297461	0.335305
-3.966078	-5.588311	-5.600000	2036.432031	0.383591
-3.782395	-5.582462	-5.600000	2103.200977	0.383802
-3.578896	-5.586221	-5.600000	2241.330566	0.454298
-3.363403	-5.577654	-5.600000	2320.803516	0.445888
