V0	Vf	V_sent	D	dt
-6.803337	-6.985138	-7.000000	642.328516	0.094637
-6.561947	-6.974480	-7.000000	878.075586	0.126417
-6.379642	-6.963693	-7.000000	1105.556836	0.185213
-6.182947	-6.950580	-7.000000	1220.921094	0.212578
-5.990599	-6.993844	-7.000000	1551.073242	0.318629
-5.779759	-6.991370	-7.000000	1802.564648	0.334870
-5.589275	-6.977632	-7.000000	1933.245117	0.345798
-5.396740	-6.966804	-7.000000	2121.296875	0.409014
-5.157623	-6.954265	-7.000000	2231.406250	0.471668
-4.995931	-6.995280	-7.000000	2471.505273	0.449984
-4.772928	-6.988571	-7.000000	2702.246680	0.538059
-4.594701	-6.984476	-7.000000	2843.007422	0.581002
-4.387319	-6.971384	-7.000000	2968.601562	0.694408
-4.195850	-6.965251	-7.000000	3123.052539	0.702832
-4.002307	-6.999024	-7.000000	3367.370117	0.831468
-3.789768	-6.989169	-7.000000	3418.996875	0.749000
-3.602647	-6.980298	-7.000000	3547.046094	0.806862
-3.403584	-6.970185	-7.000000	3643.241406	1.048292
-3.201487	-6.956644	-7.000000	3719.926953	0.859184
-2.991479	-6.999329	-7.000000	3955.550781	0.909474
-2.803245	-6.993095	-7.000000	4007.701758	0.961507
-2.600503	-6.982185	-7.000000	4060.835352	1.080926
-2.386429	-6.971374	-7.000000	4111.673242	1.036706
-2.202741	-6.959761	-7.000000	4165.212695	1.068508
-1.995651	-6.997805	-7.000000	4328.180469	1.133992
-1.796355	-6.991999	-7.000000	4366.602734	1.180091
-1.596495	-6.983532	-7.000000	4401.916016	1.150433
-1.403948	-6.974198	-7.000000	4425.474609	1.343337
-1.165113	-6.970718	-7.000000	4461.120508	1.291887
-0.971195	-6.998772	-7.000000	4563.500195	1.391112
-0.790601	-6.995520	-7.000000	4591.934570	1.488198
-0.581262	-6.985390	-7.000000	4554.913867	1.411816
-0.374840	-6.987745	-7.000000	4592.184570	1.568749
-0.185012	-6.965492	-7.000000	4527.538867	1.589821
-0.000961	-6.985308	-7.000000	4568.156641	1.534450
-6.996100	-6.813918	-6.800000	622.799023	0.120987
-6.570812	-6.780562	-6.800000	623.044727	0.110798
-6.400688	-6.774515	-6.800000	788.058984	0.143976
-6.164261	-6.763705	-6.800000	1030.887305	0.204627
-5.977275	-6.760283	-6.800000	1226.273828	0.241404
-5.801814	-6.793845	-6.800000	1483.731250	0.323629
-5.578060	-6.791329	-6.800000	1727.172070	0.301895
-5.396224	-6.788390	-6.800000	1970.582422	0.392666
-5.193365	-6.766804	-6.800000	2051.947852	0.392568
-4.988385	-6.754201	-6.800000	2190.705664	0.402109
-4.782338	-6.795733	-6.800000	2459.525586	0.455402
-4.585830	-6.788642	-6.800000	2548.316992	0.523989
-4.379549	-6.785073	-6.800000	2721.732227	0.584576
-4.202822	-6.775939	-6.800000	2877.236914	0.614888
-3.987764	-6.768505	-6.800000	2992.421680	0.641783
-3.797397	-6.797524	-6.800000	3234.096289	0.718456
-3.591174	-6.792222	-6.800000	3313.687109	0.794710
-3.391960	-6.780304	-6.800000	3388.386133	0.788268
-3.196659	-6.779153	-6.800000	3535.252539	0.879376
-2.989487	-6.759980	-6.800000	3573.989648	0.924775
-2.794608	-6.796423	-6.800000	3769.505273	1.075310
-2.587741	-6.785796	-6.800000	3833.715234	0.956555
-2.373558	-6.782202	-6.800000	3888.865625	0.988872
-2.182574	-6.777907	-6.800000	3971.031445	1.089208
-2.002706	-6.771136	-6.800000	4032.543359	1.134237
-1.782011	-6.798966	-6.800000	4162.191406	1.148663
-1.589921	-6.794390	-6.800000	4188.036133	1.140170
-1.390308	-6.789095	-6.800000	4224.707031	1.313667
-1.189371	-6.774199	-6.800000	4206.232813	1.259249
-0.989722	-6.762720	-6.800000	4223.035937	1.323092
-0.797984	-6.798778	-6.800000	4329.561523	1.372549
-0.588363	-6.795491	-6.800000	4352.513086	1.538725
-0.401043	-6.789251	-6.800000	4335.634375	1.419671
-0.176618	-6.783794	-6.800000	4340.587500	1.420229
0.000000	-6.789192	-6.800000	4330.253906	1.510236
-6.987089	-6.614563	-6.600000	910.670313	0.183517
-6.797419	-6.610268	-6.600000	649.439844	0.101278
-6.365961	-6.585161	-6.600000	647.681250	0.116646
-6.169869	-6.574609	-6.600000	784.769141	0.134983
-5.962029	-6.563722	-6.600000	998.887891	0.169037
-5.782396	-6.563894	-6.600000	1248.283008	0.227475
-5.602540	-6.595872	-6.600000	1514.405078	0.269524
-5.402458	-6.586726	-6.600000	1645.150781	0.293154
-5.174357	-6.577673	-6.600000	1757.233008	0.381992
-4.982010	-6.574216	-6.600000	2004.709570	0.449341
-4.802798	-6.554201	-6.600000	2115.363477	0.488327
-4.594174	-6.595327	-6.600000	2352.234375	0.498123
-4.386885	-6.581116	-6.600000	2502.246875	0.529651
-4.202447	-6.580093	-6.600000	2629.633398	0.584444
-3.988045	-6.569066	-6.600000	2749.248437	0.609992
-3.790811	-6.556363	-6.600000	2874.365625	0.616149
-3.596401	-6.595989	-6.600000	3064.746094	0.748827
-3.397538	-6.589175	-6.600000	3196.986719	0.840471
-3.202952	-6.580304	-6.600000	3264.380273	0.829181
-2.979878	-6.576935	-6.600000	3379.940234	0.858647
-2.791925	-6.556773	-6.600000	3422.601562	0.848819
-2.584784	-6.597882	-6.600000	3632.184766	0.908096
-2.402811	-6.583005	-6.600000	3655.016602	1.007862
-2.184886	-6.582214	-6.600000	3709.532422	0.998732
-2.002835	-6.577937	-6.600000	3771.050000	1.088220
-1.796144	-6.559756	-6.600000	3801.845703	1.013446
-1.583687	-6.598995	-6.600000	3955.621484	1.153482
-1.380851	-6.597491	-6.600000	4039.293945	1.211604
-1.173715	-6.587751	-6.600000	3998.592383	1.179935
-0.981090	-6.576132	-6.600000	4013.563086	1.239901
-0.769719	-6.565494	-6.600000	4017.064648	1.238387
-0.595851	-6.598778	-6.600000	4100.948438	1.384184
-0.399941	-6.593341	-6.600000	4092.447461	1.373404
-0.171711	-6.585519	-6.600000	4069.890820	1.538632
-0.001922	-6.565732	-6.600000	4025.387891	1.439351
-6.988003	-6.405985	-6.400000	1100.929687	0.177665
-6.802880	-6.403671	-6.400000	882.616211	0.170035
-6.603296	-6.413895	-6.400000	586.775781	0.107562
-6.185425	-6.380386	-6.400000	585.663477	0.091230
-5.960107	-6.374621	-6.400000	760.105273	0.160540
-5.770326	-6.363763	-6.400000	947.556445	0.205622
-5.581845	-6.360260	-6.400000	1130.266602	0.212175
-5.389322	-6.388995	-6.400000	1410.435352	0.260876
-5.155100	-6.386755	-6.400000	1572.524023	0.303223
-4.982619	-6.383005	-6.400000	1735.231250	0.368778
-4.792697	-6.366816	-6.400000	1897.283398	0.381847
-4.565674	-6.363424	-6.400000	2061.412305	0.513348
-4.395018	-6.395269	-6.400000	2252.835352	0.514787
-4.195252	-6.381122	-6.400000	2424.239648	0.535552
-3.987233	-6.384986	-6.400000	2552.307813	0.564344
-3.793651	-6.369113	-6.400000	2643.947461	0.655054
