V0	Vf	V_sent	D	dt	triple_id
-6.487649	-6.974174	-7.000000	1503.166911	0.218998	0.000000
-5.948869	-6.965152	-7.000000	2112.323649	0.329309	1.000000
-5.490071	-6.972658	-7.000000	3371.264404	0.430668	2.000000
-4.970311	-6.969086	-7.000000	3091.912638	0.517331	3.000000
-4.485703	-6.980876	-7.000000	3437.178426	0.596331	4.000000
-3.990959	-6.971483	-7.000000	3675.297730	0.669000	5.000000
-3.477368	-6.964099	-7.000000	3868.695089	0.726313	6.000000
-2.986368	-6.977163	-7.000000	4106.140808	0.796659	7.000000
-2.468527	-6.960259	-7.000000	4126.825511	0.855323	8.000000
-1.987163	-6.962359	-7.000000	4217.028859	0.904333	9.000000
-1.489970	-6.976930	-7.000000	4343.163890	0.962335	10.000000
-0.967746	-6.964982	-7.000000	4329.924431	1.006998	11.000000
-0.485777	-6.976830	-7.000000	4328.727788	1.055693	12.000000
-0.000727	-6.967471	-7.000000	4293.267724	1.096001	13.000000
-6.956338	-6.524821	-6.500000	857.454102	0.129669	14.000000
-5.971830	-6.466716	-6.500000	1295.361491	0.208023	15.000000
-5.469789	-6.473487	-6.500000	1798.973145	0.300664	16.000000
-4.991084	-6.455344	-6.500000	2144.777710	0.383668	17.000000
-4.471740	-6.478282	-6.500000	2607.429484	0.479665	18.000000
-3.991257	-6.471027	-6.500000	2841.738289	0.549311	19.000000
-3.480310	-6.456018	-6.500000	2999.691915	0.604666	20.000000
-2.991075	-6.475182	-6.500000	3259.254151	0.675653	21.000000
-2.489051	-6.468978	-6.500000	3304.476186	0.729313	22.000000
-1.991469	-6.472962	-6.500000	3423.476613	0.788333	23.000000
-1.491635	-6.456398	-6.500000	3396.900976	0.825001	24.000000
-0.990095	-6.483205	-6.500000	3497.311076	0.890657	25.000000
-0.469887	-6.477387	-6.500000	3505.787807	0.931338	26.000000
0.000054	-6.462465	-6.500000	3399.766374	0.968671	27.000000
-6.954392	-6.021511	-6.000000	1030.474609	0.153000	28.000000
-6.437785	-6.003923	-6.000000	856.602458	0.132665	29.000000
-5.481865	-5.973627	-6.000000	1135.837484	0.194997	30.000000
-4.992030	-5.978095	-6.000000	1514.218221	0.283673	31.000000
-4.491381	-5.982718	-6.000000	1859.092814	0.358661	32.000000
-3.991008	-5.974462	-6.000000	2131.178752	0.428665	33.000000
-3.491060	-5.985985	-6.000000	2418.897136	0.511666	34.000000
-2.963205	-5.964005	-6.000000	2502.983602	0.559952	35.000000
-2.492621	-5.960798	-6.000000	2621.612610	0.621001	36.000000
-1.966446	-5.968864	-6.000000	2742.395126	0.684667	37.000000
-1.491430	-5.987600	-6.000000	2801.271856	0.734329	38.000000
-0.980197	-5.968419	-6.000000	2782.620545	0.773331	39.000000
-0.487761	-5.975775	-6.000000	2789.729828	0.820330	40.000000
0.006365	-5.976199	-6.000000	2777.279139	0.862333	41.000000
-6.987940	-5.510581	-5.500000	1157.569824	0.178003	42.000000
-6.492011	-5.519543	-5.500000	1008.429606	0.158667	43.000000
-5.990848	-5.512263	-5.500000	787.811198	0.134331	44.000000
-4.937868	-5.467469	-5.500000	978.088053	0.177999	45.000000
-4.465931	-5.480956	-5.500000	1346.969279	0.268332	46.000000
-3.986832	-5.477656	-5.500000	1595.261800	0.341334	47.000000
-3.490724	-5.464086	-5.500000	1753.039490	0.401329	48.000000
-2.991509	-5.478330	-5.500000	1972.312887	0.471004	49.000000
-2.478148	-5.471629	-5.500000	2090.675914	0.528665	50.000000
-1.991509	-5.462042	-5.500000	2158.915151	0.580000	51.000000
-1.465174	-5.482412	-5.500000	2241.118174	0.634992	52.000000
-0.991047	-5.469605	-5.500000	2200.371086	0.673668	53.000000
-0.472021	-5.475786	-5.500000	2210.505605	0.725331	54.000000
-0.000000	-5.469981	-5.500000	2174.482718	0.768004	55.000000
-6.942460	-5.013778	-5.000000	1277.779134	0.199667	56.000000
-6.480343	-5.015467	-5.000000	1741.612793	0.205677	57.000000
-5.975716	-5.006099	-5.000000	847.258464	0.157999	58.000000
-5.492844	-5.033166	-5.000000	642.007080	0.118667	59.000000
-4.468202	-4.973938	-5.000000	836.893026	0.176671	60.000000
-3.991975	-4.987337	-5.000000	1165.600586	0.256667	61.000000
-3.492126	-4.978428	-5.000000	1339.808716	0.320330	62.000000
-2.992476	-4.984181	-5.000000	1526.161621	0.387331	63.000000
-2.484182	-4.974826	-5.000000	1622.433238	0.444325	64.000000
-1.973218	-4.984937	-5.000000	1709.661575	0.498331	65.000000
-1.466024	-4.983414	-5.000000	1745.687393	0.543995	66.000000
-0.970133	-4.968736	-5.000000	1984.382044	0.774999	67.000000
-0.491579	-4.973098	-5.000000	1826.489466	0.746999	68.000000
-0.000731	-4.980250	-5.000000	1783.740602	0.689332	69.000000
-6.989322	-4.534821	-4.500000	1303.878255	0.210339	70.000000
-6.462241	-4.511106	-4.500000	1181.837240	0.204665	71.000000
-5.993233	-4.506290	-4.500000	1010.966146	0.183335	72.000000
-5.492064	-4.518514	-4.500000	825.271484	0.166339	73.000000
-4.968815	-4.520489	-4.500000	679.566366	0.135347	74.000000
-3.992868	-4.476032	-4.500000	707.231608	0.176666	75.000000
-3.491898	-4.473340	-4.500000	945.817749	0.240989	76.000000
-2.992251	-4.478047	-4.500000	1161.986837	0.310331	77.000000
-2.465283	-4.468099	-4.500000	1203.809408	0.359000	78.000000
-1.981987	-4.485469	-4.500000	1350.488454	0.421665	79.000000
-1.492073	-4.475388	-4.500000	1350.099614	0.475338	80.000000
-0.958413	-4.480501	-4.500000	1391.419184	0.519334	81.000000
-0.452255	-4.483519	-4.500000	1379.615904	0.568663	82.000000
0.003407	-4.483205	-4.500000	1374.819521	0.605999	83.000000
-6.982062	-4.014914	-4.000000	1545.981445	0.249994	84.000000
-6.485141	-4.014843	-4.000000	1275.228516	0.228337	85.000000
-5.966578	-4.005084	-4.000000	1198.190674	0.219998	86.000000
-5.475802	-4.019586	-4.000000	890.268392	0.177661	87.000000
-4.983132	-4.019605	-4.000000	797.593303	0.162010	88.000000
-4.485898	-4.010729	-4.000000	608.168742	0.138667	89.000000
-3.475886	-3.972068	-4.000000	657.045695	0.173676	90.000000
-2.991926	-3.987027	-4.000000	850.130514	0.245462	91.000000
-2.484706	-3.964014	-4.000000	880.613129	0.281999	92.000000
-1.983136	-3.981849	-4.000000	987.876445	0.343661	93.000000
-1.491657	-3.979798	-4.000000	1035.660131	0.390667	94.000000
-0.991263	-3.976305	-4.000000	1074.975896	0.453619	95.000000
-0.478535	-3.967649	-4.000000	1023.708749	0.487335	96.000000
-0.002180	-3.957706	-4.000000	1013.096386	0.531996	97.000000
-6.989458	-3.519804	-3.500000	1508.182943	0.264001	98.000000
-6.470735	-3.513436	-3.500000	1309.955973	0.254334	99.000000
-5.990660	-3.504298	-3.500000	1191.272624	0.240331	100.000000
-5.468197	-3.511472	-3.500000	1020.733724	0.205671	101.000000
-4.962942	-3.514069	-3.500000	827.926961	0.186670	102.000000
-4.470493	-3.497490	-3.500000	714.747762	0.172332	103.000000
-3.970446	-3.508352	-3.500000	554.807678	0.138998	104.000000
-2.964266	-3.475681	-3.500000	554.128255	0.166670	105.000000
-2.469156	-3.477410	-3.500000	631.868734	0.224006	106.000000
-1.992416	-3.477519	-3.500000	734.422190	0.282335	107.000000
-1.474661	-3.468586	-3.500000	767.534612	0.324662	108.000000
-0.989087	-3.482706	-3.500000	803.234805	0.382662	109.000000
-0.467164	-3.469642	-3.500000	786.342636	0.425667	110.000000
-0.002516	-3.485309	-3.500000	780.502810	0.468666	111.000000
-6.971704	-3.007610	-3.000000	1659.239746	0.304670	112.000000
-6.454706	-3.000438	-3.000000	1416.086507	0.278327	113.000000
-5.989312	-3.027758	-3.000000	1854.316325	0.247992	114.000000
-5.451614	-3.029653	-3.000000	1023.395833	0.225337	115.000000
-4.987576	-3.008343	-3.000000	908.557414	0.214331	116.000000
-4.468088	-3.013194	-3.000000	732.332479	0.185668	117.000000
-3.977384	-3.009058	-3.000000	653.607544	0.172659	118.000000
-3.492497	-3.019422	-3.000000	453.578654	0.133333	119.000000
-2.477382	-2.977155	-3.000000	440.007721	0.163333	120.000000
-1.990030	-2.970961	-3.000000	521.001343	0.220333	121.000000
-1.474764	-2.977948	-3.000000	573.480240	0.268655	122.000000
-0.989853	-2.975608	-3.000000	575.321808	0.317319	123.000000
-0.488789	-2.984471	-3.000000	605.666176	0.364995	124.000000
0.000080	-2.969631	-3.000000	555.943428	0.408000	125.000000
-6.954142	-2.506321	-2.500000	1656.787109	0.330668	126.000000
-6.473271	-2.521505	-2.500000	1441.531820	0.305000	127.000000
-5.964802	-2.509996	-2.500000	1313.116618	0.287998	128.000000
-5.490353	-2.513042	-2.500000	1556.318359	0.257991	129.000000
-4.983975	-2.520489	-2.500000	974.477091	0.237665	130.000000
-4.464490	-2.513417	-2.500000	800.948730	0.215340	131.000000
-3.978891	-2.517868	-2.500000	635.776571	0.186330	132.000000
-3.487435	-2.513321	-2.500000	486.607361	0.158336	133.000000
-2.990830	-2.508940	-2.500000	394.376322	0.143999	134.000000
-1.961067	-2.475707	-2.500000	354.738358	0.164337	135.000000
-1.491573	-2.466166	-2.500000	400.880630	0.209662	136.000000
-0.969876	-2.469717	-2.500000	416.103180	0.258666	137.000000
-0.465131	-2.473856	-2.500000	420.169168	0.311001	138.000000
-0.000498	-2.466838	-2.500000	365.127870	0.346002	139.000000
-6.980623	-2.016940	-2.000000	1706.241374	0.352329	140.000000
-6.474101	-2.006234	-2.000000	1599.111165	0.341327	141.000000
-5.979908	-2.033035	-2.000000	1283.729085	0.301004	142.000000
-5.492324	-2.020305	-2.000000	1185.543457	0.287000	143.000000
-4.978156	-2.021381	-2.000000	988.407593	0.263676	144.000000
-4.481682	-2.007507	-2.000000	886.894369	0.244331	145.000000
-3.970734	-2.002110	-2.000000	707.141439	0.224330	146.000000
-3.491566	-2.017151	-2.000000	567.921000	0.195667	147.000000
-2.992697	-2.019199	-2.000000	444.225362	0.156325	148.000000
-2.469505	-2.023544	-2.000000	329.537669	0.138009	149.000000
-1.463272	-1.979086	-2.000000	275.472972	0.167344	150.000000
-0.984350	-1.977333	-2.000000	284.583557	0.206348	151.000000
-0.466732	-1.985004	-2.000000	281.136529	0.258668	152.000000
0.000161	-1.975473	-2.000000	247.949257	0.295004	153.000000
-6.959635	-1.514241	-1.500000	1796.791504	0.381669	154.000000
-6.468918	-1.503300	-1.500000	1564.396566	0.370334	155.000000
-5.971924	-1.525403	-1.500000	1359.346761	0.344999	156.000000
-5.491186	-1.511111	-1.500000	1164.629395	0.318334	157.000000
-4.977611	-1.502546	-1.500000	1044.976115	0.301359	158.000000
-4.492871	-1.516645	-1.500000	859.838460	0.414924	159.000000
-3.977948	-1.526208	-1.500000	766.105632	0.246329	160.000000
-3.479924	-1.528253	-1.500000	610.645447	0.211336	161.000000
-2.991988	-1.514133	-1.500000	495.881836	0.186669	162.000000
-2.479763	-1.506981	-1.500000	355.544403	0.173001	163.000000
-1.991580	-1.521036	-1.500000	276.283254	0.138996	164.000000
-0.970053	-1.478542	-1.500000	180.748528	0.158333	165.000000
