V0	Vf	V_sent	D	dt	triple_id
0.006762	0.018047	0.000000	98.727553	0.006929	0.000000
0.010289	0.011629	0.000000	3.149593	0.015015	1.000000
0.006083	0.012505	0.000000	1191.420273	0.003215	2.000000
0.038306	0.011845	0.000000	60.132258	0.013648	3.000000
0.008005	0.009180	0.000000	87.994640	0.009817	4.000000
0.003548	0.013543	0.000000	108.015383	0.021635	5.000000
0.018086	0.012245	0.000000	19.025288	0.008133	6.000000
0.009655	0.005025	0.000000	76.841197	0.009010	7.000000
0.038578	0.008222	0.000000	36.576255	0.011612	8.000000
0.006922	0.007800	0.000000	27.983060	0.003215	9.000000
0.003155	0.023082	0.000000	101.350701	0.007761	10.000000
0.033042	0.016396	0.000000	102.896645	0.020811	11.000000
0.004913	0.008754	0.000000	33.511715	0.015528	12.000000
0.001164	0.012991	0.000000	41.649334	0.011134	13.000000
0.035539	0.013042	0.000000	60.402904	0.002082	14.000000
0.019187	0.010642	0.000000	164.129990	0.016615	15.000000
0.039570	0.014013	0.000000	46.917253	0.017033	16.000000
0.001512	0.008395	0.000000	45.671543	0.009291	17.000000
0.026241	0.013438	0.000000	81.769411	0.007377	18.000000
0.001196	0.011153	0.000000	104.247333	0.017996	19.000000
0.019723	0.007782	0.000000	103.971113	0.011718	20.000000
0.000937	0.006504	0.000000	88.762866	0.012027	21.000000
0.001711	0.015588	0.000000	47.878660	0.015077	22.000000
0.000481	0.015668	0.000000	104.231459	0.015946	23.000000
0.000536	0.008281	0.000000	20.259412	0.005568	24.000000
0.002019	0.003966	0.000000	25.707940	0.014193	25.000000
0.033914	0.017841	0.000000	88.127799	0.010012	26.000000
0.000746	0.011024	0.000000	26.409958	0.010404	27.000000
0.038096	0.012741	0.000000	57.057421	0.014797	28.000000
0.032633	0.003614	0.000000	1.405886	0.008960	29.000000
0.019458	0.015516	0.000000	136.290300	0.016464	30.000000
0.000547	0.011535	0.000000	49.278647	0.008392	31.000000
0.001020	0.004493	0.000000	75.188942	0.016628	32.000000
0.003320	0.006184	0.000000	7.091922	0.001153	33.000000
0.002755	0.007553	0.000000	112.896315	0.017614	34.000000
0.042828	0.007583	0.000000	41.862065	0.011701	35.000000
0.000261	0.008719	0.000000	29.135105	0.015719	36.000000
0.024476	0.013300	0.000000	63.395912	0.023806	37.000000
0.000491	0.003574	0.000000	32.037049	0.012100	38.000000
0.020961	0.012902	0.000000	43.601383	0.004928	39.000000
0.004201	0.005716	0.000000	47.671019	0.014008	40.000000
0.005610	0.013483	0.000000	56.889567	0.013014	41.000000
0.009279	0.019953	0.000000	86.508184	0.016520	42.000000
0.001307	0.023171	0.000000	82.233181	0.016022	43.000000
0.003471	0.028062	0.000000	80.434297	0.009293	44.000000
0.044070	0.013546	0.000000	43.907634	0.007938	45.000000
0.024838	0.009779	0.000000	44.845321	0.004619	46.000000
0.005875	0.012654	0.000000	6.837000	0.006430	47.000000
0.002313	0.014825	0.000000	73.866539	0.014497	48.000000
0.000915	0.012868	0.000000	75.409332	0.011784	49.000000
0.024235	0.014302	0.000000	72.177802	0.012500	50.000000
0.001664	0.006902	0.000000	54.769621	0.015133	51.000000
0.046353	0.009841	0.000000	62.559758	0.006013	52.000000
0.001247	0.012403	0.000000	33.200599	0.013501	53.000000
0.031843	0.013297	0.000000	32.647272	0.011503	54.000000
0.000359	0.019807	0.000000	57.759352	0.013890	55.000000
0.024126	0.016216	0.000000	55.931304	0.014575	56.000000
0.021060	0.026315	0.000000	1228.750543	0.059175	57.000000
0.030934	0.005250	0.000000	88.237752	0.015525	58.000000
0.000740	0.022834	0.000000	81.741566	0.008963	59.000000
0.041075	0.011873	0.000000	68.091583	0.015302	60.000000
0.001440	0.006406	0.000000	74.800363	0.015042	61.000000
0.000239	0.014746	0.000000	62.746654	0.009287	62.000000
0.000518	0.002414	0.000000	61.696543	0.013504	63.000000
0.013176	0.013083	0.000000	42.830328	0.014196	64.000000
0.026814	0.006892	0.000000	67.269724	0.015498	65.000000
0.045250	0.006451	0.000000	14.003765	0.008541	66.000000
0.034536	0.015641	0.000000	405.152525	0.320653	67.000000
0.000272	0.014545	0.000000	131.960584	0.197545	68.000000
0.001120	0.018753	0.000000	125.778473	0.024089	69.000000
0.004355	0.014478	0.000000	63.474253	0.010967	70.000000
0.045895	0.006364	0.000000	55.224941	0.021741	71.000000
0.000200	0.004446	0.000000	51.902397	0.007236	72.000000
0.000766	0.019286	0.000000	83.565238	0.016197	73.000000
0.022722	0.011978	0.000000	39.700014	0.017621	74.000000
0.000444	0.010601	0.000000	37.000261	0.008960	75.000000
0.001272	0.000633	0.000000	31.251119	0.010133	76.000000
0.000732	0.013773	0.000000	89.511501	0.017929	77.000000
0.021605	0.009071	0.000000	3.803281	0.000001	78.000000
0.015323	0.009599	0.000000	39.284002	0.009867	79.000000
0.000843	0.004163	0.000000	48.353640	0.014046	80.000000
0.050488	0.006530	0.000000	51.190686	0.021201	81.000000
0.033623	0.006724	0.000000	17.727221	0.015882	82.000000
0.005969	0.010416	0.000000	50.648562	0.020951	83.000000
0.013223	0.020492	0.000000	180.878138	0.028839	84.000000
0.013065	0.013935	0.000000	71.032252	0.002085	85.000000
0.040355	0.009494	0.000000	105.346120	0.023304	86.000000
0.027875	0.015662	0.000000	135.577948	0.010684	87.000000
0.009077	0.023228	0.000000	102.848045	0.023325	88.000000
0.011376	0.011774	0.000000	73.679529	0.022192	89.000000
0.028718	0.013810	0.000000	59.457754	0.015951	90.000000
0.000884	0.006420	0.000000	27.088896	0.015849	91.000000
0.013801	0.000456	0.000000	1.351468	0.007814	92.000000
0.015973	0.004231	0.000000	6.196506	0.001524	93.000000
0.000342	0.004683	0.000000	16.228271	0.004933	94.000000
0.000866	0.020499	0.000000	83.413040	0.022558	95.000000
0.016944	0.014457	0.000000	21.841240	0.018039	96.000000
0.003769	0.004129	0.000000	21.032757	0.013528	97.000000
0.004949	0.016781	0.000000	94.678417	0.010437	98.000000
0.038293	0.016068	0.000000	86.474203	0.016167	99.000000
0.001447	0.014085	0.000000	124.486877	0.018817	100.000000
0.042752	0.020644	0.000000	105.729759	0.016188	101.000000
0.026043	0.006990	0.000000	46.247978	0.015506	102.000000
0.018006	0.003654	0.000000	92.518432	0.015502	103.000000
0.036944	0.014697	0.000000	63.705243	0.015624	104.000000
0.045473	0.009454	0.000000	56.949884	0.014149	105.000000
0.038828	0.006836	0.000000	19.848424	0.008885	106.000000
0.000381	0.021290	0.000000	66.314268	0.022732	107.000000
0.027027	0.018368	0.000000	48.614555	0.016772	108.000000
0.005265	0.008199	0.000000	28.433103	0.017678	109.000000
0.042081	0.015772	0.000000	11.104724	0.009294	110.000000
0.001875	0.007454	0.000000	35.498676	0.006657	111.000000
0.019648	0.009147	0.000000	201.079472	0.024192	112.000000
0.048679	0.005692	0.000000	125.784407	0.011924	113.000000
0.007469	0.005434	0.000000	1021.957842	0.009547	114.000000
0.043182	0.012050	0.000000	83.793421	0.011593	115.000000
0.008513	0.003160	0.000000	29.384236	0.023183	116.000000
0.042594	0.013173	0.000000	44.328684	0.013571	117.000000
0.023581	0.017916	0.000000	89.328673	0.023675	118.000000
0.000650	0.015141	0.000000	49.267270	0.007571	119.000000
0.025985	0.017509	0.000000	41.950041	0.015951	120.000000
0.003858	0.018269	0.000000	58.061963	0.016255	121.000000
0.014875	0.008830	0.000000	6.220268	0.007774	122.000000
0.001573	0.011093	0.000000	22.045547	0.011684	123.000000
0.002812	0.007462	0.000000	49.907485	0.024574	124.000000
0.000081	0.014456	0.000000	46.022554	0.024515	125.000000
0.034935	0.014965	0.000000	92.488914	0.010595	126.000000
0.032049	0.023175	0.000000	31.235372	0.006247	127.000000
0.045828	0.019979	0.000000	23.305865	0.001001	128.000000
0.003807	0.011261	0.000000	677.068879	0.013525	129.000000
0.015088	0.015633	0.000000	63.653205	0.006806	130.000000
0.039180	0.008449	0.000000	33.215183	0.013057	131.000000
0.024250	0.020379	0.000000	23.296856	0.015049	132.000000
0.007459	0.020845	0.000000	73.366708	0.013651	133.000000
0.003083	0.012139	0.000000	48.827848	0.012999	134.000000
0.042061	0.013695	0.000000	30.286906	0.012748	135.000000
0.000814	0.011496	0.000000	26.021591	0.009446	136.000000
0.036419	0.015723	0.000000	46.246045	0.025490	137.000000
0.041900	0.019906	0.000000	39.188880	0.024272	138.000000
0.001425	0.016474	0.000000	15.926039	0.017524	139.000000
0.021903	0.021579	0.000000	147.035228	0.022057	140.000000
0.027125	0.004966	0.000000	73.520415	0.017094	141.000000
0.022354	0.014420	0.000000	61.812748	0.016519	142.000000
0.001201	0.011275	0.000000	116.313190	0.024268	143.000000
0.025592	0.018206	0.000000	73.888342	0.016907	144.000000
0.016777	0.000286	0.000000	78.990400	0.014570	145.000000
0.038415	0.006319	0.000000	36.221039	0.014567	146.000000
0.000755	0.021076	0.000000	34.067151	0.009715	147.000000
0.000522	0.000229	0.000000	45.432577	0.014559	148.000000
0.039832	0.017499	0.000000	22.370685	0.008658	149.000000
0.044004	0.003656	0.000000	26.038655	0.020747	150.000000
0.008871	0.010497	0.000000	19.130647	0.017597	151.000000
0.028632	0.005239	0.000000	18.641640	0.016502	152.000000
