V0	Vf	V_sent	D	dt	triple_id
-3.491891	-3.976493	-4.000000	586.134672	0.157668	0.000000
-2.991093	-3.969549	-4.000000	759.985758	0.215668	1.000000
-2.482178	-3.976687	-4.000000	885.870656	0.281335	2.000000
-1.972997	-3.973819	-4.000000	960.197032	0.328339	3.000000
-1.462461	-3.975928	-4.000000	1012.086385	0.381998	4.000000
-0.988381	-3.978870	-4.000000	1042.721982	0.434001	5.000000
-0.490551	-3.974409	-4.000000	1029.600678	0.475999	6.000000
0.001435	-3.977799	-4.000000	1021.807770	0.520334	7.000000
-3.992877	-3.504641	-3.500000	477.391154	0.130001	8.000000
-2.991680	-3.477237	-3.500000	506.484701	0.158333	9.000000
-2.491097	-3.476424	-3.500000	620.008972	0.208665	10.000000
-1.990711	-3.478640	-3.500000	713.694356	0.273332	11.000000
-1.471819	-3.482941	-3.500000	792.905396	0.319669	12.000000
-0.989813	-3.488467	-3.500000	816.079648	0.375666	13.000000
-0.472585	-3.485693	-3.500000	809.025865	0.421336	14.000000
0.001649	-3.472058	-3.500000	746.957929	0.451672	15.000000
-3.982285	-3.006685	-3.000000	560.621541	0.153336	16.000000
-3.468941	-3.031259	-3.000000	421.080668	0.119334	17.000000
-2.492194	-2.977756	-3.000000	428.058533	0.157330	18.000000
-1.978484	-2.976884	-3.000000	512.022308	0.204323	19.000000
-1.472303	-2.972754	-3.000000	543.141591	0.248336	20.000000
-0.992294	-2.976258	-3.000000	580.921972	0.307664	21.000000
-0.472535	-2.975045	-3.000000	560.945280	0.346672	22.000000
-0.001255	-2.973984	-3.000000	535.464015	0.393001	23.000000
-3.992346	-2.503430	-2.500000	631.155640	0.173335	24.000000
-3.490669	-2.501418	-2.500000	499.528951	0.156661	25.000000
-2.990968	-2.525296	-2.500000	367.374003	0.123663	26.000000
-1.991909	-2.475709	-2.500000	336.037720	0.149003	27.000000
-1.452043	-2.474340	-2.500000	374.362839	0.201003	28.000000
-0.967553	-2.470890	-2.500000	393.400358	0.244330	29.000000
-0.490779	-2.477002	-2.500000	398.353076	0.294665	30.000000
-0.001327	-2.484534	-2.500000	393.968398	0.346331	31.000000
-3.987866	-2.016965	-2.000000	660.354940	0.204002	32.000000
-3.475807	-2.034081	-2.000000	536.275696	0.172338	33.000000
-2.986779	-2.004467	-2.000000	407.226522	0.153999	34.000000
-2.472014	-2.013783	-2.000000	291.476379	0.124001	35.000000
-1.474468	-1.980803	-2.000000	257.701630	0.147665	36.000000
-0.987705	-1.964754	-2.000000	255.290395	0.187000	37.000000
-0.491207	-1.978603	-2.000000	274.738710	0.239337	38.000000
0.000127	-1.978289	-2.000000	242.987827	0.279662	39.000000
-3.986925	-1.514944	-1.500000	702.811890	0.233903	40.000000
-3.476379	-1.511476	-1.500000	568.323731	0.201671	41.000000
-2.990117	-1.520048	-1.500000	453.748983	0.183003	42.000000
-2.481833	-1.515840	-1.500000	321.435455	0.157344	43.000000
-1.959129	-1.532612	-1.500000	222.386017	0.124334	44.000000
-0.976480	-1.483650	-1.500000	181.363073	0.148336	45.000000
-0.490438	-1.472475	-1.500000	162.674706	0.179329	46.000000
0.000122	-1.476716	-1.500000	139.715180	0.233000	47.000000
-3.986268	-1.041139	-1.000000	709.206584	0.257331	48.000000
-3.489916	-0.998399	-1.000000	605.317505	0.241998	49.000000
-2.984908	-1.024308	-1.000000	466.173258	0.209333	50.000000
-2.438039	-1.005718	-1.000000	382.500183	0.190668	51.000000
-1.992193	-1.005832	-1.000000	279.213857	0.159330	52.000000
-1.486752	-1.000698	-1.000000	178.834824	0.130331	53.000000
-0.487349	-0.990122	-1.000000	107.950488	0.153667	54.000000
-0.000012	-0.979230	-1.000000	70.435995	0.187000	55.000000
-3.942414	-0.511176	-0.500000	746.005534	0.295668	56.000000
-3.491923	-0.500350	-0.500000	585.662801	0.274332	57.000000
-2.978789	-0.532837	-0.500000	481.444478	0.234002	58.000000
-2.480652	-0.529550	-0.500000	373.983887	0.212998	59.000000
-1.986659	-0.524323	-0.500000	275.554057	0.177334	60.000000
-1.470891	-0.513546	-0.500000	182.991674	0.161997	61.000000
-0.974904	-0.514331	-0.500000	106.258423	0.127668	62.000000
0.001911	-0.487980	-0.500000	27.320284	0.149670	63.000000
-3.990997	-0.021853	0.000000	732.148641	0.324669	64.000000
-3.492311	-0.018382	0.000000	595.562236	0.295663	65.000000
-2.986508	-0.003075	0.000000	484.369486	0.279661	66.000000
-2.475095	-0.023990	0.000000	359.974030	0.243340	67.000000
-1.986198	-0.005997	0.000000	271.138702	0.220662	68.000000
-1.454768	-0.018054	0.000000	184.720907	0.190664	69.000000
-0.987881	-0.009410	0.000000	103.839938	0.157001	70.000000
-0.489087	-0.029891	0.000000	45.972649	0.113662	71.000000
0.491291	0.018962	0.000000	46.881055	0.130659	72.000000
0.965357	0.014362	0.000000	104.803950	0.156998	73.000000
1.491838	0.014570	0.000000	180.423304	0.186336	74.000000
1.970888	0.007463	0.000000	268.073293	0.214334	75.000000
2.474093	0.034190	0.000000	368.452850	0.235337	76.000000
2.992381	0.017868	0.000000	454.198202	0.265333	77.000000
3.482747	0.012674	0.000000	595.420532	0.301337	78.000000
3.991196	0.023905	0.000000	719.740621	0.319998	79.000000
-0.000013	0.461191	0.500000	19.866505	0.129663	80.000000
0.988137	0.514625	0.500000	112.653252	0.125666	81.000000
1.470156	0.507183	0.500000	192.317103	0.157663	82.000000
1.970642	0.530945	0.500000	260.295049	0.181335	83.000000
2.486795	0.521857	0.500000	371.815359	0.211998	84.000000
2.990272	0.532661	0.500000	477.863851	0.234334	85.000000
3.492685	0.514419	0.500000	604.064941	0.264329	86.000000
3.974629	0.511213	0.500000	733.709513	0.289666	87.000000
0.000274	0.973520	1.000000	64.086948	0.181669	88.000000
0.487072	0.983075	1.000000	96.588100	0.142332	89.000000
1.471419	1.009812	1.000000	176.738581	0.134334	90.000000
1.987305	1.011270	1.000000	258.476715	0.157672	91.000000
2.490907	1.000594	1.000000	371.240997	0.186671	92.000000
2.992292	1.026352	1.000000	464.027161	0.205665	93.000000
3.492668	1.032368	1.000000	570.649150	0.233996	94.000000
3.992792	1.002679	1.000000	693.345947	0.261669	95.000000
-0.000939	1.480896	1.500000	145.407478	0.233335	96.000000
0.475866	1.477903	1.500000	165.482514	0.185995	97.000000
0.981701	1.478476	1.500000	173.479070	0.143328	98.000000
1.992610	1.509664	1.500000	242.064789	0.127667	99.000000
2.491938	1.529586	1.500000	324.219320	0.149334	100.000000
2.985437	1.526021	1.500000	440.295614	0.175332	101.000000
3.492518	1.520355	1.500000	575.096273	0.205998	102.000000
3.984942	1.507353	1.500000	722.965698	0.234660	103.000000
