V0	Vf	V_sent	D	dt	triple_id
0.000917	0.005031	0.000000	31.166833	0.001157	0.000000
0.002731	0.019842	0.000000	54.517023	0.014503	1.000000
0.016961	0.005681	0.000000	5.887046	0.007375	2.000000
0.015666	0.011372	0.000000	26.883458	0.002068	3.000000
0.049718	0.016910	0.000000	35.951270	0.008887	4.000000
0.004584	0.012264	0.000000	21.094324	0.006082	5.000000
0.001912	0.012127	0.000000	22.227549	0.004360	6.000000
0.002544	0.011230	0.000000	34.848193	0.007506	7.000000
0.000026	0.009453	0.000000	29.890341	0.001734	8.000000
0.001033	0.011331	0.000000	27.136540	0.000576	9.000000
0.001646	0.013496	0.000000	29.385967	0.006812	10.000000
0.002492	0.013863	0.000000	48.492592	0.004163	11.000000
0.035265	0.010452	0.000000	17.031008	0.008144	12.000000
0.002250	0.002791	0.000000	23.228131	0.007233	13.000000
0.006531	0.006807	0.000000	35.495790	0.006106	14.000000
0.002113	0.013884	0.000000	18.848478	0.007771	15.000000
0.018236	0.011178	0.000000	26.173007	0.008094	16.000000
0.040958	0.013003	0.000000	29.541147	0.008388	17.000000
0.001097	0.014853	0.000000	21.815852	0.013018	18.000000
0.019986	0.023063	0.000000	45.091769	0.016764	19.000000
0.034872	0.011800	0.000000	15.229987	0.008379	20.000000
0.000421	0.019057	0.000000	36.157669	0.008961	21.000000
0.022896	0.005698	0.000000	7.503694	0.011509	22.000000
0.002067	0.006500	0.000000	6.697793	0.008719	23.000000
0.000856	0.004668	0.000000	32.387000	0.001522	24.000000
0.003690	0.005667	0.000000	32.475858	0.000572	25.000000
0.000762	0.027597	0.000000	43.381255	0.017619	26.000000
0.001208	0.015203	0.000000	22.184779	0.006998	27.000000
0.035204	0.015842	0.000000	16.243837	0.013112	28.000000
0.023505	0.012806	0.000000	18.479410	0.001529	29.000000
0.001012	0.013366	0.000000	14.190292	0.008502	30.000000
0.002199	0.003425	0.000000	20.712753	0.007568	31.000000
0.007974	0.015339	0.000000	25.274552	0.006998	32.000000
0.026446	0.001726	0.000000	0.657861	0.002890	33.000000
0.009370	0.004351	0.000000	23.885203	0.008658	34.000000
0.017397	0.012129	0.000000	18.316545	0.007812	35.000000
0.017347	0.010634	0.000000	17.406683	0.008963	36.000000
0.007526	0.008173	0.000000	5.849270	0.001000	37.000000
0.000969	0.007282	0.000000	21.942746	0.016195	38.000000
0.000325	0.009659	0.000000	9.345633	0.007575	39.000000
0.009708	0.008907	0.000000	27.214662	0.006298	40.000000
0.015973	0.011885	0.000000	10.775672	0.001530	41.000000
0.002839	0.021582	0.000000	21.607961	0.006999	42.000000
0.018113	0.001399	0.000000	1.223456	0.000588	43.000000
0.050474	0.014260	0.000000	27.999337	0.006431	44.000000
0.026908	0.008205	0.000000	13.431373	0.008505	45.000000
0.001719	0.013282	0.000000	8.337482	0.009293	46.000000
0.000104	0.005679	0.000000	4.201952	0.008718	47.000000
0.009721	0.014932	0.000000	8.034262	0.001526	48.000000
0.003223	0.003236	0.000000	25.920652	0.001733	49.000000
0.011641	0.021277	0.000000	10.277831	0.008964	50.000000
0.046707	0.008116	0.000000	8.020499	0.008325	51.000000
0.000209	0.013790	0.000000	12.398718	0.001152	52.000000
0.005136	0.000308	0.000000	0.287406	0.001151	53.000000
0.006892	0.003141	0.000000	7.060788	0.007576	54.000000
0.000038	0.018234	0.000000	16.090959	0.016005	55.000000
0.043674	0.015333	0.000000	27.267065	0.006666	56.000000
0.000777	0.000222	0.000000	0.427531	0.002081	57.000000
0.022933	0.021901	0.000000	15.328053	0.007003	58.000000
0.017798	0.013151	0.000000	15.671582	0.001737	59.000000
0.010059	0.024951	0.000000	12.000032	0.007514	60.000000
0.034173	0.013421	0.000000	8.752977	0.007005	61.000000
0.025587	0.013866	0.000000	4.377405	0.001157	62.000000
0.002567	0.004452	0.000000	4.054550	0.008967	63.000000
0.001934	0.018929	0.000000	30.582253	0.006660	64.000000
0.000716	0.015547	0.000000	16.761320	0.008381	65.000000
0.003936	0.001829	0.000000	8.437299	0.003790	66.000000
0.029164	0.021799	0.000000	6.715845	0.002075	67.000000
0.004885	0.006659	0.000000	4.846546	0.007231	68.000000
0.046724	0.016505	0.000000	7.357753	0.008148	69.000000
0.006768	0.009063	0.000000	5.388821	0.001001	70.000000
0.002906	0.012784	0.000000	3.760188	0.000583	71.000000
0.001330	0.014407	0.000000	2.476606	0.001518	72.000000
0.043083	0.006129	0.000000	7.077304	0.002001	73.000000
0.000324	0.018476	0.000000	11.444100	0.002082	74.000000
0.035743	0.004219	0.000000	5.793085	0.000569	75.000000
0.028722	0.021838	0.000000	7.562462	0.009233	76.000000
0.000932	0.015336	0.000000	33.749849	0.006429	77.000000
0.015798	0.017352	0.000000	18.176865	0.002516	78.000000
0.002241	0.020459	0.000000	22.016742	0.012290	79.000000
0.000022	0.002900	0.000000	0.437681	0.001523	80.000000
0.003280	0.014288	0.000000	10.930525	0.010692	81.000000
0.034935	0.004518	0.000000	8.193719	0.000581	82.000000
0.035779	0.014444	0.000000	4.899757	0.007379	83.000000
0.009422	0.011687	0.000000	19.463620	0.006927	84.000000
0.002911	0.028619	0.000000	21.793996	0.010214	85.000000
0.000260	0.030567	0.000000	31.530219	0.009453	86.000000
0.031922	0.011988	0.000000	20.677844	0.016043	87.000000
0.000795	0.015072	0.000000	8.181083	0.007566	88.000000
0.007341	0.003382	0.000000	5.253055	0.001529	89.000000
0.033922	0.015198	0.000000	14.546626	0.009237	90.000000
0.004766	0.007377	0.000000	14.491394	0.002077	91.000000
0.000037	0.004691	0.000000	30.553252	0.002516	92.000000
0.000710	0.026172	0.000000	26.721440	0.010694	93.000000
0.000274	0.027558	0.000000	7.560348	0.007809	94.000000
0.000024	0.004252	0.000000	31.103046	0.008143	95.000000
0.002083	0.009044	0.000000	10.716769	0.008386	96.000000
0.027593	0.017582	0.000000	14.679662	0.015527	97.000000
0.014860	0.004740	0.000000	0.851805	0.002079	98.000000
0.000280	0.013994	0.000000	19.203376	0.000578	99.000000
0.000972	0.012316	0.000000	4.069049	0.007578	100.000000
0.012944	0.019701	0.000000	7.159186	0.009240	101.000000
0.001017	0.010022	0.000000	6.223951	0.006933	102.000000
0.008739	0.017724	0.000000	61.379092	0.009854	103.000000
0.000937	0.021496	0.000000	15.267689	0.006110	104.000000
0.003660	0.002568	0.000000	8.734287	0.000992	105.000000
0.006604	0.011923	0.000000	12.407414	0.009065	106.000000
0.037383	0.010793	0.000000	19.391421	0.007806	107.000000
0.001010	0.013061	0.000000	17.468553	0.007568	108.000000
0.020155	0.003963	0.000000	5.369399	0.000579	109.000000
0.018279	0.020009	0.000000	15.466335	0.008505	110.000000
0.010226	0.016506	0.000000	26.229686	0.008145	111.000000
0.000234	0.018366	0.000000	23.822138	0.006659	112.000000
0.000327	0.012837	0.000000	14.044787	0.009247	113.000000
0.037310	0.007779	0.000000	12.512337	0.004042	114.000000
0.000646	0.009202	0.000000	28.080969	0.009640	115.000000
0.000032	0.009371	0.000000	18.721152	0.002313	116.000000
0.000154	0.006472	0.000000	23.149457	0.008505	117.000000
0.003535	0.010385	0.000000	26.602615	0.009239	118.000000
0.046167	0.001956	0.000000	31.234606	0.007511	119.000000
0.002295	0.004652	0.000000	9.096656	0.002646	120.000000
0.003324	0.011070	0.000000	34.857854	0.009604	121.000000
0.000679	0.009357	0.000000	16.402772	0.008966	122.000000
0.001193	0.015311	0.000000	34.730651	0.012126	123.000000
0.010084	0.015324	0.000000	36.428772	0.009293	124.000000
0.000972	0.005239	0.000000	21.518110	0.002001	125.000000
0.003453	0.020566	0.000000	29.115416	0.000574	126.000000
0.009394	0.012722	0.000000	3.693418	0.001528	127.000000
0.002599	0.014711	0.000000	21.269024	0.007218	128.000000
0.002625	0.004180	0.000000	8.084925	0.000576	129.000000
0.027169	0.013943	0.000000	20.672405	0.001153	130.000000
0.010481	0.012113	0.000000	22.841204	0.008964	131.000000
0.001062	0.007491	0.000000	31.095037	0.002516	132.000000
0.018244	0.007223	0.000000	27.062711	0.000575	133.000000
0.036853	0.007836	0.000000	28.992406	0.001162	134.000000
0.000812	0.017993	0.000000	31.589213	0.006434	135.000000
0.000659	0.009572	0.000000	28.819641	0.003215	136.000000
0.001548	0.013573	0.000000	27.854149	0.004621	137.000000
0.007115	0.010415	0.000000	28.669927	0.014525	138.000000
0.001871	0.012132	0.000000	16.018275	0.008508	139.000000
0.000272	0.004878	0.000000	16.957032	0.009245	140.000000
0.016488	0.013474	0.000000	30.209902	0.002516	141.000000
0.013608	0.009442	0.000000	4.411843	0.005864	142.000000
0.027453	0.004675	0.000000	2.467640	0.007507	143.000000
