V0	Vf	V_sent
-3.800000	-4.000000	-4.000000	0.000000
-3.600000	-4.000000	-4.000000	1.000000
-3.400000	-4.000000	-4.000000	2.000000
-3.200000	-4.000000	-4.000000	3.000000
-3.000000	-4.000000	-4.000000	4.000000
-2.800000	-4.000000	-4.000000	5.000000
-2.600000	-4.000000	-4.000000	6.000000
-2.400000	-4.000000	-4.000000	7.000000
-2.200000	-4.000000	-4.000000	8.000000
-2.000000	-4.000000	-4.000000	9.000000
-1.800000	-4.000000	-4.000000	10.000000
-1.600000	-4.000000	-4.000000	11.000000
-1.400000	-4.000000	-4.000000	12.000000
-1.200000	-4.000000	-4.000000	13.000000
-1.000000	-4.000000	-4.000000	14.000000
-0.800000	-4.000000	-4.000000	15.000000
-0.600000	-4.000000	-4.000000	16.000000
-0.400000	-4.000000	-4.000000	17.000000
-0.200000	-4.000000	-4.000000	18.000000
0.000000	-4.000000	-4.000000	19.000000
-4.000000	-3.800000	-3.800000	20.000000
-3.600000	-3.800000	-3.800000	21.000000
-3.400000	-3.800000	-3.800000	22.000000
-3.200000	-3.800000	-3.800000	23.000000
-3.000000	-3.800000	-3.800000	24.000000
-2.800000	-3.800000	-3.800000	25.000000
-2.600000	-3.800000	-3.800000	26.000000
-2.400000	-3.800000	-3.800000	27.000000
-2.200000	-3.800000	-3.800000	28.000000
-2.000000	-3.800000	-3.800000	29.000000
-1.800000	-3.800000	-3.800000	30.000000
-1.600000	-3.800000	-3.800000	31.000000
-1.400000	-3.800000	-3.800000	32.000000
-1.200000	-3.800000	-3.800000	33.000000
-1.000000	-3.800000	-3.800000	34.000000
-0.800000	-3.800000	-3.800000	35.000000
-0.600000	-3.800000	-3.800000	36.000000
-0.400000	-3.800000	-3.800000	37.000000
-0.200000	-3.800000	-3.800000	38.000000
0.000000	-3.800000	-3.800000	39.000000
-4.000000	-3.600000	-3.600000	40.000000
-3.800000	-3.600000	-3.600000	41.000000
-3.400000	-3.600000	-3.600000	42.000000
-3.200000	-3.600000	-3.600000	43.000000
-3.000000	-3.600000	-3.600000	44.000000
-2.800000	-3.600000	-3.600000	45.000000
-2.600000	-3.600000	-3.600000	46.000000
-2.400000	-3.600000	-3.600000	47.000000
-2.200000	-3.600000	-3.600000	48.000000
-2.000000	-3.600000	-3.600000	49.000000
-1.800000	-3.600000	-3.600000	50.000000
-1.600000	-3.600000	-3.600000	51.000000
-1.400000	-3.600000	-3.600000	52.000000
-1.200000	-3.600000	-3.600000	53.000000
-1.000000	-3.600000	-3.600000	54.000000
-0.800000	-3.600000	-3.600000	55.000000
-0.600000	-3.600000	-3.600000	56.000000
-0.400000	-3.600000	-3.600000	57.000000
-0.200000	-3.600000	-3.600000	58.000000
0.000000	-3.600000	-3.600000	59.000000
-4.000000	-3.400000	-3.400000	60.000000
-3.800000	-3.400000	-3.400000	61.000000
-3.600000	-3.400000	-3.400000	62.000000
-3.200000	-3.400000	-3.400000	63.000000
-3.000000	-3.400000	-3.400000	64.000000
-2.800000	-3.400000	-3.400000	65.000000
-2.600000	-3.400000	-3.400000	66.000000
-2.400000	-3.400000	-3.400000	67.000000
-2.200000	-3.400000	-3.400000	68.000000
-2.000000	-3.400000	-3.400000	69.000000
-1.800000	-3.400000	-3.400000	70.000000
-1.600000	-3.400000	-3.400000	71.000000
-1.400000	-3.400000	-3.400000	72.000000
-1.200000	-3.400000	-3.400000	73.000000
-1.000000	-3.400000	-3.400000	74.000000
-0.800000	-3.400000	-3.400000	75.000000
-0.600000	-3.400000	-3.400000	76.000000
-0.400000	-3.400000	-3.400000	77.000000
-0.200000	-3.400000	-3.400000	78.000000
0.000000	-3.400000	-3.400000	79.000000
-4.000000	-3.200000	-3.200000	80.000000
-3.800000	-3.200000	-3.200000	81.000000
-3.600000	-3.200000	-3.200000	82.000000
-3.400000	-3.200000	-3.200000	83.000000
-3.000000	-3.200000	-3.200000	84.000000
-2.800000	-3.200000	-3.200000	85.000000
-2.600000	-3.200000	-3.200000	86.000000
-2.400000	-3.200000	-3.200000	87.000000
-2.200000	-3.200000	-3.200000	88.000000
-2.000000	-3.200000	-3.200000	89.000000
-1.800000	-3.200000	-3.200000	90.000000
-1.600000	-3.200000	-3.200000	91.000000
-1.400000	-3.200000	-3.200000	92.000000
-1.200000	-3.200000	-3.200000	93.000000
-1.000000	-3.200000	-3.200000	94.000000
-0.800000	-3.200000	-3.200000	95.000000
-0.600000	-3.200000	-3.200000	96.000000
-0.400000	-3.200000	-3.200000	97.000000
-0.200000	-3.200000	-3.200000	98.000000
0.000000	-3.200000	-3.200000	99.000000
