V0	Vf	V_sent	D	dt
-3.784098	-3.983481	-4.000000	557.745870	0.129928	0.000000
-3.588906	-3.978167	-4.000000	594.555583	0.152332	1.000000
-3.392784	-3.977132	-4.000000	648.418193	0.182664	2.000000
-3.145502	-3.981340	-4.000000	716.281840	0.206002	3.000000
-2.969326	-3.975464	-4.000000	805.897481	0.229669	4.000000
-2.766511	-3.954908	-4.000000	781.233582	0.242333	5.000000
-2.585380	-3.973366	-4.000000	916.168599	0.287664	6.000000
-2.364285	-3.972469	-4.000000	950.245097	0.397537	7.000000
-2.192612	-3.979303	-4.000000	969.503255	0.317805	8.000000
-1.981803	-3.989017	-4.000000	1027.580999	0.359990	9.000000
-1.782886	-3.980419	-4.000000	1007.227697	0.357334	10.000000
-1.591934	-3.973634	-4.000000	1017.253153	0.375503	11.000000
-1.379931	-3.983414	-4.000000	1041.637232	0.406883	12.000000
-1.191885	-3.982069	-4.000000	1073.375834	0.431000	13.000000
-0.991712	-3.981581	-4.000000	1062.173556	0.437999	14.000000
-0.773582	-3.973823	-4.000000	1047.522125	0.454809	15.000000
-0.591489	-3.975658	-4.000000	1041.636984	0.475166	16.000000
-0.370056	-3.980962	-4.000000	1069.586070	0.501697	17.000000
-0.186333	-3.981543	-4.000000	1071.456008	0.521616	18.000000
0.000091	-3.958974	-4.000000	998.743985	0.525994	19.000000
-3.973481	-3.810401	-3.800000	472.707560	0.114998	20.000000
-3.588522	-3.771443	-3.800000	495.374817	0.138350	21.000000
-3.391237	-3.763010	-3.800000	526.644023	0.143332	22.000000
-3.192375	-3.773192	-3.800000	593.152323	0.175110	23.000000
-2.990748	-3.776800	-3.800000	675.085693	0.205669	24.000000
-2.788867	-3.779820	-3.800000	742.031596	0.223800	25.000000
-2.558851	-3.769244	-3.800000	775.794566	0.249320	26.000000
-2.360374	-3.768854	-3.800000	784.703512	0.266667	27.000000
-2.181407	-3.768400	-3.800000	842.152537	0.287662	28.000000
-1.992419	-3.769895	-3.800000	884.627858	0.315665	29.000000
-1.780162	-3.761372	-3.800000	910.511007	0.332664	30.000000
-1.589534	-3.769828	-3.800000	895.436702	0.353331	31.000000
-1.391961	-3.784567	-3.800000	959.121969	0.377997	32.000000
-1.184381	-3.777596	-3.800000	939.894252	0.392333	33.000000
-0.987886	-3.769885	-3.800000	944.194077	0.415665	34.000000
-0.791415	-3.772558	-3.800000	930.288610	0.433523	35.000000
-0.590362	-3.778427	-3.800000	955.067529	0.454660	36.000000
-0.376063	-3.779436	-3.800000	948.408367	0.468332	37.000000
-0.171822	-3.779222	-3.800000	921.907480	0.485560	38.000000
0.001101	-3.774211	-3.800000	935.644650	0.499330	39.000000
-3.992515	-3.616788	-3.600000	486.988444	0.119335	40.000000
