V0	Vf	V_sent	D	dt
0.014075	0.003633	0.000000	31.721726	0.015407	0.000000
0.005668	0.009958	0.000000	32.004398	0.022051	1.000000
0.000299	0.008719	0.000000	4.370687	0.007769	2.000000
0.041018	0.003578	0.000000	28.594590	0.010399	3.000000
0.037170	0.012504	0.000000	46.244340	0.001158	4.000000
0.043003	0.002756	0.000000	2.361711	0.015008	5.000000
0.011412	0.004559	0.000000	75.549095	0.026292	6.000000
0.044024	0.012507	0.000000	89.745984	0.191799	7.000000
0.000376	0.014145	0.000000	23.753383	0.009208	8.000000
0.018099	0.005268	0.000000	59.164692	0.015525	9.000000
0.015521	0.003547	0.000000	10.624701	0.013308	10.000000
0.000706	0.013560	0.000000	20.344948	0.001809	11.000000
0.009104	0.001233	0.000000	23.251561	0.007612	12.000000
0.000314	0.007366	0.000000	49.471327	0.017091	13.000000
0.000680	0.012294	0.000000	40.501987	0.009539	14.000000
0.031937	0.016788	0.000000	24.344431	0.006975	15.000000
0.000706	0.011850	0.000000	19.007891	0.001604	16.000000
0.027365	0.011830	0.000000	42.849146	0.001136	17.000000
0.003180	0.008694	0.000000	66.683254	0.021301	18.000000
0.000119	0.011660	0.000000	21.882894	0.014925	19.000000
0.029199	0.005148	0.000000	2.183465	0.014108	20.000000
0.006312	0.017033	0.000000	54.958890	0.008123	21.000000
0.001811	0.017662	0.000000	90.561714	0.015012	22.000000
0.000534	0.013830	0.000000	25.815969	0.003542	23.000000
0.000796	0.019297	0.000000	73.074260	0.024336	24.000000
0.006221	0.004621	0.000000	26.078109	0.006762	25.000000
0.028740	0.016666	0.000000	9.505614	0.012078	26.000000
0.029563	0.013075	0.000000	26.811319	0.006658	27.000000
0.012301	0.014109	0.000000	63.543254	0.014013	28.000000
0.000108	0.020586	0.000000	48.140286	0.014047	29.000000
0.019660	0.013538	0.000000	44.162563	0.004041	30.000000
0.005221	0.007854	0.000000	8.016694	0.009069	31.000000
0.000403	0.007192	0.000000	7.325260	0.008719	32.000000
0.002700	0.010980	0.000000	22.961558	0.016072	33.000000
0.003494	0.016116	0.000000	49.093371	0.013576	34.000000
0.001002	0.012958	0.000000	21.225772	0.015273	35.000000
0.003167	0.011952	0.000000	5.728315	0.006651	36.000000
0.012459	0.008763	0.000000	44.706012	0.016167	37.000000
0.031492	0.012429	0.000000	24.412613	0.015699	38.000000
0.001909	0.017259	0.000000	52.135477	0.017620	39.000000
0.000282	0.017224	0.000000	34.805885	0.010115	40.000000
0.000670	0.003401	0.000000	33.177360	0.009541	41.000000
0.019845	0.010729	0.000000	1.749347	0.006937	42.000000
0.002210	0.010991	0.000000	49.915621	0.009843	43.000000
0.000161	0.005500	0.000000	74.989320	0.022056	44.000000
0.006859	0.017115	0.000000	73.851829	0.015524	45.000000
0.005328	0.019421	0.000000	47.993470	0.015945	46.000000
0.026788	0.004386	0.000000	38.319938	0.011365	47.000000
0.003236	0.006061	0.000000	21.707678	0.013008	48.000000
0.007994	0.017226	0.000000	33.276062	0.003050	49.000000
0.015918	0.006286	0.000000	57.881898	0.026067	50.000000
0.000774	0.006367	0.000000	17.396361	0.008661	51.000000
0.002193	0.018459	0.000000	34.380413	0.023709	52.000000
0.038571	0.012841	0.000000	42.597157	0.012279	53.000000
0.002528	0.006689	0.000000	27.058144	0.017048	54.000000
0.006700	0.015085	0.000000	45.854687	0.010436	55.000000
0.011522	0.005228	0.000000	11.296891	0.017468	56.000000
0.007719	0.009982	0.000000	17.469446	0.010442	57.000000
0.003137	0.015072	0.000000	87.986309	0.028180	58.000000
0.000582	0.012012	0.000000	22.324122	0.009846	59.000000
0.046385	0.020451	0.000000	57.223341	0.008385	60.000000
0.001856	0.008327	0.000000	5.165313	0.008087	61.000000
0.000191	0.014637	0.000000	33.270772	0.007000	62.000000
0.028031	0.004785	0.000000	49.889369	0.010690	63.000000
0.007475	0.006560	0.000000	46.460540	0.008693	64.000000
0.003007	0.009818	0.000000	71.301556	0.023353	65.000000
0.000361	0.007344	0.000000	41.917996	0.015878	66.000000
0.000236	0.013928	0.000000	25.401342	0.007936	67.000000
0.007501	0.014733	0.000000	23.753000	0.000159	68.000000
0.008149	0.010813	0.000000	17.420942	0.008716	69.000000
0.025577	0.009437	0.000000	31.874881	0.008106	70.000000
0.010773	0.010663	0.000000	64.395463	0.015375	71.000000
0.002202	0.014843	0.000000	27.714817	0.009672	72.000000
0.004463	0.015848	0.000000	22.726679	0.012582	73.000000
0.013448	0.010066	0.000000	5.400601	0.014195	74.000000
0.001723	0.007344	0.000000	12.824812	0.008471	75.000000
0.008432	0.016410	0.000000	30.192575	0.013076	76.000000
0.042338	0.014441	0.000000	13.352519	0.008640	77.000000
0.014034	0.010493	0.000000	28.872032	0.008593	78.000000
0.000298	0.021712	0.000000	34.100129	0.004360	79.000000
0.034075	0.024512	0.000000	58.249688	0.013046	80.000000
0.040480	0.003592	0.000000	55.294857	0.009073	81.000000
0.001344	0.017907	0.000000	2.734067	0.005773	82.000000
0.006582	0.015969	0.000000	26.730088	0.007375	83.000000
0.000838	0.016079	0.000000	46.822230	0.007814	84.000000
0.028037	0.003763	0.000000	51.984492	0.016454	85.000000
0.049976	0.019287	0.000000	80.234266	0.017042	86.000000
0.015723	0.008473	0.000000	19.377816	0.009455	87.000000
0.021025	0.006962	0.000000	45.659015	0.008327	88.000000
0.004858	0.015604	0.000000	6.671616	0.010215	89.000000
0.001751	0.010690	0.000000	648.813002	0.029003	90.000000
0.017637	0.009660	0.000000	70.798912	0.022645	91.000000
0.033904	0.011303	0.000000	33.607623	0.017522	92.000000
0.035139	0.019977	0.000000	54.567652	0.017383	93.000000
0.007743	0.004368	0.000000	31.652913	0.014632	94.000000
0.012802	0.011077	0.000000	18.631994	0.012421	95.000000
0.005347	0.020577	0.000000	127.270418	0.271686	96.000000
0.013145	0.011854	0.000000	30.015761	0.014041	97.000000
0.048235	0.009702	0.000000	12.791761	0.016067	98.000000
0.000874	0.009319	0.000000	34.050779	0.021936	99.000000
0.015354	0.021681	0.000000	25.960244	0.009299	100.000000
0.001596	0.007060	0.000000	81.555566	0.014990	101.000000
0.012845	0.006329	0.000000	31.939623	0.008890	102.000000
0.020801	0.018401	0.000000	55.226364	0.016197	103.000000
0.049584	0.010180	0.000000	27.266912	0.015505	104.000000
0.006120	0.013402	0.000000	48.041299	0.007574	105.000000
0.000192	0.011446	0.000000	41.975254	0.015009	106.000000
0.000854	0.013517	0.000000	44.529985	0.016501	107.000000
0.015776	0.013682	0.000000	41.603726	0.015037	108.000000
0.005338	0.005901	0.000000	39.977095	0.011014	109.000000
0.001172	0.008527	0.000000	14.344129	0.009295	110.000000
0.020897	0.003339	0.000000	15.994363	0.019160	111.000000
0.033660	0.007541	0.000000	37.424110	0.008146	112.000000
0.002194	0.008471	0.000000	8.606016	0.007812	113.000000
0.034144	0.015392	0.000000	44.277717	0.016621	114.000000
0.042912	0.007509	0.000000	77.322937	0.028356	115.000000
0.039391	0.007663	0.000000	23.445475	0.009150	116.000000
0.002015	0.006037	0.000000	11.765354	0.016095	117.000000
0.022456	0.007399	0.000000	5.475483	0.008088	118.000000
0.000040	0.000799	0.000000	1.250425	0.007233	119.000000
0.001064	0.006422	0.000000	97.801871	0.008967	120.000000
0.013212	0.025897	0.000000	104.310403	0.023960	121.000000
0.001760	0.019656	0.000000	82.604746	0.017035	122.000000
0.014305	0.015604	0.000000	28.264390	0.008510	123.000000
0.005508	0.013223	0.000000	27.797478	0.000574	124.000000
0.000580	0.010838	0.000000	26.615179	0.009075	125.000000
0.005377	0.006101	0.000000	23.043433	0.017106	126.000000
0.021512	0.014085	0.000000	42.486755	0.022553	127.000000
0.031134	0.010588	0.000000	16.153384	0.007000	128.000000
0.001206	0.014885	0.000000	37.960442	0.022124	129.000000
0.004882	0.005654	0.000000	50.851125	0.020417	130.000000
0.002009	0.014819	0.000000	15.143803	0.002519	131.000000
0.001248	0.010714	0.000000	11.156787	0.009818	132.000000
0.017273	0.009533	0.000000	10.300558	0.009548	133.000000
0.044546	0.004399	0.000000	6.983091	0.009533	134.000000
0.028420	0.020831	0.000000	24.261021	0.014074	135.000000
0.006993	0.016078	0.000000	65.735333	0.189137	136.000000
0.001444	0.022666	0.000000	40.733767	0.017300	137.000000
0.049813	0.003234	0.000000	12.524505	0.015309	138.000000
0.002432	0.018741	0.000000	24.987970	0.023712	139.000000
0.000895	0.011674	0.000000	65.560696	0.010693	140.000000
0.006253	0.009141	0.000000	29.383381	0.012493	141.000000
0.047610	0.013740	0.000000	32.223080	0.009059	142.000000
0.010315	0.012083	0.000000	73.001464	0.009862	143.000000
0.001263	0.014691	0.000000	47.372949	0.001994	144.000000
0.032907	0.019823	0.000000	23.738474	0.010391	145.000000
0.036101	0.008930	0.000000	63.246326	0.013521	146.000000
0.000916	0.007891	0.000000	37.382385	0.015172	147.000000
0.008317	0.015357	0.000000	18.140530	0.007374	148.000000
0.010734	0.009494	0.000000	70.042457	0.014532	149.000000
0.003963	0.012198	0.000000	14.047163	0.006929	150.000000
0.003299	0.007375	0.000000	10.988782	0.000997	151.000000
0.034132	0.017432	0.000000	12.576614	0.017217	152.000000
0.002077	0.005600	0.000000	76.933139	0.024731	153.000000
0.006913	0.007962	0.000000	11.917562	0.019397	154.000000
0.016711	0.004972	0.000000	11.950301	0.009065	155.000000
0.000795	0.009500	0.000000	29.539627	0.013507	156.000000
0.006305	0.013232	0.000000	21.938295	0.012501	157.000000
0.000543	0.013777	0.000000	31.120435	0.029392	158.000000
0.003097	0.013205	0.000000	45.755187	0.027997	159.000000
0.000469	0.021570	0.000000	47.607940	0.022186	160.000000
0.005828	0.004457	0.000000	45.374677	0.017434	161.000000
0.046155	0.010509	0.000000	36.965900	0.008386	162.000000
