V0	Vf	V_sent	D	dt	triple_id	sample_id
-0.000015	-0.175879	-0.200000	6.264441	0.113000	0.000000	0.000000
-0.190307	-0.038711	0.000000	15.436453	0.098000	1.000000	0.000000
0.193567	0.034646	0.000000	14.320386	0.100981	2.000000	0.000000
0.364326	0.022169	0.000000	33.737005	0.113005	3.000000	0.000000
0.592717	0.000015	0.000000	51.375233	0.143925	4.000000	0.000000
0.763876	0.010411	0.000000	78.035862	0.143000	5.000000	0.000000
0.992392	0.016731	0.000000	93.040482	0.144313	6.000000	0.000000
1.192447	0.043480	0.000000	113.453217	0.158009	7.000000	0.000000
1.390596	0.004267	0.000000	159.150315	0.186003	8.000000	0.000000
1.591872	0.000006	0.000000	185.365677	0.199997	9.000000	0.000000
1.792367	-0.000010	0.000000	227.378907	0.214109	10.000000	0.000000
1.988695	0.000000	0.000000	262.009919	0.230000	11.000000	0.000000
2.182971	0.001353	0.000000	300.664063	0.229121	12.000000	0.000000
2.392172	0.035206	0.000000	352.031800	0.227011	13.000000	0.000000
2.575744	0.019306	0.000000	356.257417	0.240649	14.000000	0.000000
2.792923	0.046586	0.000000	427.122498	0.258195	15.000000	0.000000
2.991892	0.049836	0.000000	443.069641	0.259238	16.000000	0.000000
3.192086	0.003843	0.000000	502.963929	0.289095	17.000000	0.000000
3.392658	0.012620	0.000000	535.084839	0.286002	18.000000	0.000000
3.592618	0.004399	0.000000	582.705815	0.311560	19.000000	0.000000
3.747344	0.013407	0.000000	667.920474	0.300550	20.000000	0.000000
3.989364	0.001412	0.000000	703.530889	0.317224	21.000000	0.000000
4.101570	0.013682	0.000000	758.750491	0.333343	22.000000	0.000000
4.372168	0.012512	0.000000	833.182740	0.341724	23.000000	0.000000
4.590781	0.010985	0.000000	845.842657	0.345009	24.000000	0.000000
4.792715	0.003825	0.000000	906.862679	0.355633	25.000000	0.000000
4.993460	0.003232	0.000000	989.982548	0.373135	26.000000	0.000000
5.101112	0.047789	0.000000	1073.057622	0.370000	27.000000	0.000000
5.327539	0.001947	0.000000	1086.487794	0.391999	28.000000	0.000000
5.592513	0.037242	0.000000	1173.538576	0.385570	29.000000	0.000000
5.793238	0.000032	0.000000	1243.147967	0.409995	30.000000	0.000000
5.949906	0.022919	0.000000	1365.693118	0.413718	31.000000	0.000000
