V0	Vf	V_sent	D	dt	triple_id
-0.000022	-0.184154	-0.200000	10.579154	0.152791	0.000000
-0.175721	-0.015970	0.000000	21.148375	0.145606	1.000000
0.191139	0.030553	0.000000	20.456547	0.129779	2.000000
0.361647	0.018415	0.000000	44.075036	0.150009	3.000000
0.578260	0.004351	0.000000	72.087002	0.167809	4.000000
0.768794	0.008234	0.000000	201.805539	0.273174	5.000000
0.990267	0.005972	0.000000	166.939517	0.200859	6.000000
1.181561	0.030302	0.000000	327.503881	0.263040	7.000000
1.360718	0.003767	0.000000	198.281632	0.228567	8.000000
1.577349	0.001009	0.000000	237.207673	0.240926	9.000000
1.775061	0.006104	0.000000	284.604178	0.247492	10.000000
1.950989	0.001821	0.000000	295.467962	0.265105	11.000000
2.167354	0.007197	0.000000	351.491848	0.264520	12.000000
2.363355	0.020606	0.000000	419.491537	0.272281	13.000000
2.535080	0.010595	0.000000	438.745555	0.280165	14.000000
2.762487	0.015971	0.000000	514.485706	0.301563	15.000000
2.981625	0.029417	0.000000	526.767986	0.297774	16.000000
3.173188	0.004638	0.000000	598.285482	0.476540	17.000000
3.391246	0.022882	0.000000	691.533407	0.314459	18.000000
3.572746	0.010686	0.000000	700.984378	0.341233	19.000000
3.768037	0.011073	0.000000	775.915963	0.345913	20.000000
3.985829	0.016934	0.000000	835.438539	0.355445	21.000000
4.142016	0.005072	0.000000	875.690029	0.370834	22.000000
4.371680	0.026115	0.000000	972.011153	0.374619	23.000000
4.591456	0.029276	0.000000	975.241825	0.377548	24.000000
4.767303	0.018351	0.000000	1039.270883	0.392639	25.000000
4.968921	0.002681	0.000000	1103.791427	0.408649	26.000000
5.135615	0.029696	0.000000	1219.504318	0.415452	27.000000
5.360210	0.013524	0.000000	1300.262300	0.423937	28.000000
5.579519	0.026294	0.000000	1312.280684	0.420680	29.000000
5.763726	0.000108	0.000000	2196.054207	0.515094	30.000000
5.972918	0.027985	0.000000	1504.654462	0.440440	31.000000
6.185437	0.008089	0.000000	1569.720959	0.463411	32.000000
6.353994	0.031934	0.000000	1612.940122	0.463755	33.000000
