V0	Vf	V_sent
5.749802	0.000016	0.000000	30.000000
2.380257	0.197327	0.200000	48.000000
6.389105	0.209157	0.200000	68.000000
6.741281	0.197615	0.200000	70.000000
3.584066	0.414605	0.400000	89.000000
4.776984	0.406372	0.400000	95.000000
5.591641	0.423285	0.400000	99.000000
5.772220	0.410000	0.400000	100.000000
6.369499	0.420323	0.400000	103.000000
6.741870	0.409103	0.400000	105.000000
6.976759	0.416454	0.400000	106.000000
3.993117	0.622699	0.600000	126.000000
5.919907	0.622528	0.600000	136.000000
6.392181	0.615127	0.600000	138.000000
6.579909	0.599521	0.600000	139.000000
4.972179	0.817605	0.800000	166.000000
5.545700	0.818785	0.800000	169.000000
6.376973	0.831761	0.800000	173.000000
4.756088	1.001988	1.000000	200.000000
4.966981	0.994455	1.000000	201.000000
6.157764	1.013053	1.000000	207.000000
6.546190	1.013438	1.000000	209.000000
6.952127	1.011756	1.000000	211.000000
2.567465	1.230110	1.200000	224.000000
5.149743	1.197236	1.200000	237.000000
5.543807	1.226853	1.200000	239.000000
5.771682	1.204567	1.200000	240.000000
5.955840	1.211205	1.200000	241.000000
6.374363	1.205541	1.200000	243.000000
6.972057	1.200239	1.200000	246.000000
4.193032	1.400805	1.400000	267.000000
4.760027	1.410410	1.400000	270.000000
5.541785	1.405250	1.400000	274.000000
5.765426	1.413642	1.400000	275.000000
6.586524	1.400783	1.400000	279.000000
6.747966	1.444250	1.400000	280.000000
6.949718	1.407825	1.400000	281.000000
3.390099	1.614791	1.600000	298.000000
4.983117	1.627043	1.600000	306.000000
5.192592	1.628535	1.600000	307.000000
5.586713	1.628938	1.600000	309.000000
5.792673	1.610247	1.600000	310.000000
6.585752	1.641731	1.600000	314.000000
6.758548	1.620173	1.600000	315.000000
6.991039	1.622203	1.600000	316.000000
3.990470	1.818197	1.800000	336.000000
4.348941	1.806884	1.800000	338.000000
4.782709	1.809017	1.800000	340.000000
5.161063	1.806984	1.800000	342.000000
6.193373	1.825522	1.800000	347.000000
6.586190	1.811951	1.800000	349.000000
6.756296	1.797787	1.800000	350.000000
6.976152	1.810024	1.800000	351.000000
3.757280	2.009303	2.000000	370.000000
4.752091	1.995241	2.000000	375.000000
4.992771	2.003024	2.000000	376.000000
5.381691	2.002577	2.000000	378.000000
5.542835	2.001006	2.000000	379.000000
6.150343	2.007772	2.000000	382.000000
6.359734	2.019671	2.000000	383.000000
6.558006	2.005822	2.000000	384.000000
6.783628	2.003855	2.000000	385.000000
6.974234	1.999700	2.000000	386.000000
2.545494	2.197801	2.200000	399.000000
3.791868	2.210525	2.200000	405.000000
5.367915	2.221985	2.200000	413.000000
5.765250	2.209481	2.200000	415.000000
5.951975	2.206472	2.200000	416.000000
6.191873	2.223534	2.200000	417.000000
6.353578	2.209465	2.200000	418.000000
6.565383	2.197181	2.200000	419.000000
6.945528	2.201922	2.200000	421.000000
3.189001	2.425269	2.400000	437.000000
4.367254	2.408637	2.400000	443.000000
4.569128	2.424065	2.400000	444.000000
4.962428	2.400073	2.400000	446.000000
5.184238	2.415710	2.400000	447.000000
5.587381	2.402605	2.400000	449.000000
5.745904	2.402310	2.400000	450.000000
5.916307	2.424131	2.400000	451.000000
6.188908	2.415542	2.400000	452.000000
6.350594	2.400839	2.400000	453.000000
6.730650	2.412818	2.400000	455.000000
1.562561	2.572972	2.600000	465.000000
2.956132	2.594152	2.600000	471.000000
3.770232	2.600504	2.600000	475.000000
3.980117	2.612656	2.600000	476.000000
4.182380	2.606380	2.600000	477.000000
4.582356	2.605996	2.600000	479.000000
4.748209	2.616261	2.600000	480.000000
5.379523	2.606974	2.600000	483.000000
5.578157	2.613015	2.600000	484.000000
5.992661	2.607027	2.600000	486.000000
6.182991	2.622535	2.600000	487.000000
6.738055	2.603956	2.600000	490.000000
3.189746	2.801897	2.800000	507.000000
3.589850	2.820248	2.800000	509.000000
3.760363	2.828147	2.800000	510.000000
3.960831	2.817667	2.800000	511.000000
4.573986	2.835641	2.800000	514.000000
4.942721	2.814147	2.800000	516.000000
5.557834	2.794239	2.800000	519.000000
5.742059	2.816835	2.800000	520.000000
5.936867	2.803472	2.800000	521.000000
