V0	Vf	V_sent	D	dt	triple_id
0.006972	0.033759	0.000000	57.292557	0.014525	0.000000
0.076794	0.047640	0.000000	82.804634	0.023261	1.000000
0.031015	0.026903	0.000000	36.708157	0.007638	2.000000
0.054747	0.042480	0.000000	77.920478	0.019923	3.000000
0.041840	0.032461	0.000000	156.612255	0.042071	4.000000
0.071606	0.049223	0.000000	84.299903	0.014295	5.000000
0.055245	0.020304	0.000000	14.575807	0.001736	6.000000
0.038131	0.069497	0.000000	79.316658	0.017090	7.000000
0.086115	0.085183	0.000000	92.208673	0.024542	8.000000
0.079023	0.040997	0.000000	33.249849	0.008085	9.000000
0.017228	0.069576	0.000000	36.438127	0.012504	10.000000
0.066998	0.064792	0.000000	56.368425	0.013863	11.000000
0.040815	0.037200	0.000000	21.493868	0.013751	12.000000
0.021163	0.051246	0.000000	33.058469	0.010126	13.000000
0.048105	0.015893	0.000000	26.397227	0.009867	14.000000
0.089073	0.050235	0.000000	48.596375	0.016742	15.000000
0.072212	0.057196	0.000000	52.601735	0.009535	16.000000
0.066252	0.073620	0.000000	29.533841	0.013052	17.000000
0.016844	0.027427	0.000000	26.753866	0.008386	18.000000
0.048725	0.069222	0.000000	45.149938	0.014571	19.000000
0.005752	0.012907	0.000000	34.156058	0.009644	20.000000
0.037924	0.034981	0.000000	32.952068	0.010971	21.000000
0.075334	0.021033	0.000000	28.296136	0.010025	22.000000
0.070852	0.041574	0.000000	70.205258	0.026696	23.000000
0.020026	0.008702	0.000000	46.638596	0.013502	24.000000
0.042597	0.022071	0.000000	46.023325	0.014025	25.000000
0.086343	0.092594	0.000000	1.902150	0.006935	26.000000
0.055725	0.066097	0.000000	43.070062	0.014046	27.000000
0.080669	0.056538	0.000000	37.697676	0.020954	28.000000
0.011208	0.037316	0.000000	27.631755	0.013203	29.000000
0.046142	0.043234	0.000000	23.156070	0.007000	30.000000
0.054551	0.050450	0.000000	27.665920	0.014157	31.000000
0.028409	0.026460	0.000000	37.180538	0.013527	32.000000
0.036049	0.079036	0.000000	19.775626	0.008660	33.000000
0.025580	0.024032	0.000000	28.801250	0.009236	34.000000
0.065726	0.065973	0.000000	17.169388	0.006927	35.000000
0.022065	0.063352	0.000000	22.072400	0.008086	36.000000
0.011582	0.051602	0.000000	3.182559	0.001527	37.000000
0.044378	0.023650	0.000000	14.964015	0.006663	38.000000
0.020981	0.026300	0.000000	14.720669	0.006082	39.000000
0.072300	0.012892	0.000000	27.318647	0.009292	40.000000
0.006330	0.005995	0.000000	25.762144	0.009867	41.000000
0.045170	0.089173	0.000000	19.932141	0.007231	42.000000
0.066166	0.078796	0.000000	3.426581	0.002080	43.000000
0.039386	0.092014	0.000000	13.856307	0.008330	44.000000
0.041591	0.033121	0.000000	4.985652	0.001158	45.000000
