V0	Vf	V_sent	D	dt	triple_id
-3.445020	-3.989698	-4.000000	591.889170	0.156997	0.000000
-2.990866	-4.012066	-4.000000	733.137285	0.223998	1.000000
-2.494401	-3.980766	-4.000000	869.909820	0.282333	2.000000
-2.003670	-3.985315	-4.000000	931.372917	0.326999	3.000000
-1.452485	-4.006358	-4.000000	1065.127431	0.400660	4.000000
-1.010982	-4.009091	-4.000000	1040.750512	0.430665	5.000000
-0.493269	-3.981899	-4.000000	1009.392118	0.470996	6.000000
0.013090	-4.011369	-4.000000	1057.054343	0.521998	7.000000
-3.965210	-3.462382	-3.500000	515.933327	0.129666	8.000000
-2.983475	-3.522577	-3.500000	541.122150	0.163667	9.000000
-2.472342	-3.512239	-3.500000	615.185618	0.215667	10.000000
-2.011182	-3.504933	-3.500000	684.108079	0.258671	11.000000
-1.433709	-3.536476	-3.500000	781.386478	0.331000	12.000000
-0.983522	-3.526640	-3.500000	807.843483	0.376340	13.000000
-0.510350	-3.509488	-3.500000	776.334680	0.412334	14.000000
-0.000892	-3.489350	-3.500000	750.818122	0.453667	15.000000
-3.978646	-2.995219	-3.000000	563.705039	0.154004	16.000000
-3.454791	-2.995972	-3.000000	418.898039	0.128667	17.000000
-2.469115	-3.082150	-3.000000	469.807362	0.168666	18.000000
-2.001268	-3.001806	-3.000000	482.390885	0.200335	19.000000
-1.438589	-2.980741	-3.000000	533.745196	0.252999	20.000000
-0.939383	-3.016593	-3.000000	612.457669	0.321333	21.000000
-0.489641	-2.985662	-3.000000	592.758337	0.357326	22.000000
0.019133	-3.025196	-3.000000	563.968639	0.399340	23.000000
-3.971759	-2.455310	-2.500000	640.860115	0.185665	24.000000
-3.470483	-2.528518	-2.500000	512.292377	0.158326	25.000000
-2.981830	-2.483469	-2.500000	340.949506	0.117993	26.000000
-1.986949	-2.523372	-2.500000	387.205373	0.171340	27.000000
-1.499880	-2.488032	-2.500000	352.417482	0.190001	28.000000
-1.012406	-2.482342	-2.500000	401.040715	0.245333	29.000000
-0.472573	-2.551402	-2.500000	426.481369	0.307002	30.000000
0.036694	-2.514008	-2.500000	379.942877	0.337331	31.000000
-3.969656	-1.982571	-2.000000	682.741752	0.213998	32.000000
-3.459795	-1.970683	-2.000000	514.201295	0.167998	33.000000
-2.966778	-1.993821	-2.000000	416.497098	0.153667	34.000000
-2.471294	-1.983122	-2.000000	300.507430	0.126002	35.000000
-1.455936	-1.996929	-2.000000	223.944776	0.133663	36.000000
-0.947394	-1.991426	-2.000000	236.276349	0.173667	37.000000
-0.459429	-2.056789	-2.000000	289.103027	0.247660	38.000000
0.003837	-1.999200	-2.000000	232.212075	0.266998	39.000000
-3.983638	-1.533786	-1.500000	691.882996	0.223665	40.000000
-3.522112	-1.434967	-1.500000	550.647649	0.204668	41.000000
-2.999987	-1.451061	-1.500000	446.482268	0.191672	42.000000
-2.499063	-1.416592	-1.500000	346.109294	0.157668	43.000000
-2.004548	-1.456711	-1.500000	249.700274	0.138336	44.000000
-1.018923	-1.488067	-1.500000	170.651778	0.144666	45.000000
-0.439284	-1.510092	-1.500000	154.801944	0.181340	46.000000
0.061974	-1.539292	-1.500000	172.672199	0.243003	47.000000
