V0	Vf	V_sent	D	dt
-6.474830	-6.986729	-7.000000	1007.962402	0.175229
-5.969970	-6.993852	-7.000000	1561.085449	0.270476
-5.491608	-6.972766	-7.000000	2010.072632	0.397262
-4.987600	-6.995284	-7.000000	2571.505493	0.474227
-4.478437	-6.975490	-7.000000	2906.042633	0.625013
-4.002746	-6.996475	-7.000000	3326.591553	0.724254
-3.502342	-6.975608	-7.000000	3578.550568	0.793226
-3.002271	-6.988264	-7.000000	3901.328384	0.937611
-2.503091	-6.978839	-7.000000	4125.926834	0.989470
-1.977650	-7.000696	-7.000000	4406.544891	1.239720
-1.495890	-6.978713	-7.000000	4412.089272	1.241104
-1.002775	-6.998766	-7.000000	4573.480055	1.385322
-0.488907	-6.980910	-7.000000	4554.435993	1.442041
-0.000000	-6.998382	-7.000000	4648.510447	1.554552
0.467533	-6.989355	-7.000000	4648.532651	1.812105
0.967958	-6.978429	-7.000000	4682.340864	1.666289
1.456135	-6.966160	-7.000000	4784.277706	1.869906
1.958979	-6.951579	-7.000000	4950.583374	2.014899
2.500410	-6.993487	-7.000000	5254.689514	2.036925
2.982314	-6.985371	-7.000000	5495.238678	2.169056
3.475816	-6.989587	-7.000000	5836.862122	2.335709
3.978641	-6.961613	-7.000000	6105.367157	2.306723
4.457221	-6.999065	-7.000000	6640.539047	2.437496
4.976272	-6.990541	-7.000000	7069.526230	2.644272
5.478554	-6.981287	-7.000000	7465.511353	2.841903
5.992536	-6.978252	-7.000000	7996.737732	2.837402
6.502663	-6.977900	-7.000000	8598.631836	2.843878
6.988831	-6.997144	-7.000000	9219.165039	3.005330
-6.993595	-6.514093	-6.500000	1016.884644	0.149916
-5.967720	-6.486729	-6.500000	982.982849	0.150866
-5.487279	-6.493845	-6.500000	1440.228821	0.300726
-5.003740	-6.480574	-6.500000	1916.281494	0.380278
-4.476126	-6.495286	-6.500000	2317.361053	0.490329
-4.002519	-6.482591	-6.500000	2676.663818	0.567280
-3.503345	-6.495831	-6.500000	3024.275696	0.705457
-2.993220	-6.470665	-6.500000	3420.230774	0.849029
-2.502653	-6.488267	-6.500000	3528.420547	0.888339
-1.977477	-6.476633	-6.500000	3648.848770	1.023309
-1.495460	-6.497800	-6.500000	3856.481541	1.118084
-0.993848	-6.485171	-6.500000	3914.158377	1.303999
