V0	Vf	V_sent	D	dt
0.037155	0.017039	0.000000	4.192383	0.028343
0.032668	0.000007	0.000000	50.023926	0.031023
0.015414	0.000144	0.000000	45.773377	0.041490
0.026452	0.000006	0.000000	58.920847	0.030421
0.023361	0.000218	0.000000	61.987983	0.042681
0.000612	0.000898	0.000000	49.131057	0.073628
0.001431	0.000000	0.000000	29.166413	0.087548
0.002137	0.014132	0.000000	21.653727	0.064684
0.000322	0.003854	0.000000	59.058837	0.007998
0.044324	0.002846	0.000000	44.845896	0.199990
0.014169	0.000000	0.000000	12.514476	0.114797
0.000599	0.000000	0.000000	11.783436	0.073407
0.010865	0.000025	0.000000	4.139838	0.117181
0.000000	0.006745	0.000000	61.120414	0.090800
0.036783	0.002068	0.000000	51.858561	0.067828
0.034823	0.000069	0.000000	8.304851	0.059617
0.045625	0.000000	0.000000	10.853216	0.078937
0.044151	0.000092	0.000000	14.524927	0.043969
0.007115	0.000084	0.000000	36.375853	0.072000
0.036621	0.000000	0.000000	25.000520	0.077690
0.032829	0.014936	0.000000	65.241762	0.109154
0.034054	0.000002	0.000000	33.354469	0.068612
0.038740	0.002601	0.000000	86.706645	0.138865
0.029624	0.000078	0.000000	36.071017	0.101223
0.029388	0.000004	0.000000	45.845522	0.373891
0.006803	0.014779	0.000000	89.297766	0.119367
0.001040	0.022573	0.000000	49.459556	0.063082
0.013695	0.003880	0.000000	58.391373	0.150469
0.015875	0.018956	0.000000	79.566974	0.007201
0.030678	0.017047	0.000000	89.082163	0.011625
0.026557	0.000000	0.000000	45.835999	0.036315
0.000000	0.013675	0.000000	46.937055	0.044699
0.016769	0.000019	0.000000	37.502844	0.026368
0.000217	0.012671	0.000000	98.871083	0.028961
0.001190	0.000016	0.000000	25.234301	0.015901
0.015046	0.008548	0.000000	281.496103	0.071674
0.000436	0.014134	0.000000	34.554455	0.067663
0.044217	0.000017	0.000000	16.644211	0.059587
0.013938	0.000000	0.000000	17.684581	0.060640
0.013816	0.011186	0.000000	51.182544	0.079547
0.028120	0.000003	0.000000	5.459900	0.184539
0.002075	0.013848	0.000000	157.388358	0.165210
0.031641	0.000013	0.000000	7.398504	0.169032
0.037005	0.002564	0.000000	41.375162	0.105396
0.011129	0.001686	0.000000	51.583890	0.131726
0.040819	0.009500	0.000000	63.645321	0.069560
0.037804	0.016555	0.000000	71.530881	0.068853
0.000000	0.000000	0.000000	0.242724	0.090796
0.034757	0.000004	0.000000	25.245790	0.139072
0.028774	0.000201	0.000000	33.417154	0.134342
0.030866	0.000110	0.000000	32.499271	0.129454
0.033533	0.005695	0.000000	78.804431	0.123991
0.007636	0.021099	0.000000	70.868617	0.118328
0.030968	0.000004	0.000000	43.521638	0.118852
0.029506	0.000010	0.000000	54.172302	0.206705
0.013336	0.000033	0.000000	50.358540	0.130238
0.033142	0.000007	0.000000	101.042640	0.041378
0.041691	0.000185	0.000000	89.754968	0.036086
0.016312	0.000149	0.000000	75.978795	0.022841
0.025895	0.004375	0.000000	46.233155	0.055806
0.020214	0.000176	0.000000	37.444693	0.033358
0.021504	0.003697	0.000000	59.523297	0.045117
0.014341	0.000000	0.000000	0.007324	0.036585
0.025090	0.003404	0.000000	21.618146	0.079469
0.021454	0.000032	0.000000	18.028746	0.055843
0.015636	0.003065	0.000000	49.818837	0.103138
0.013212	0.000003	0.000000	10.819777	0.040372
0.014333	0.000040	0.000000	6.889078	0.037775
0.004376	0.011177	0.000000	41.957320	0.061021
0.002075	0.017036	0.000000	29.687902	0.071220
0.037262	0.000013	0.000000	5.894738	0.064558
0.033835	0.011660	0.000000	46.252591	0.116239
0.010464	0.015414	0.000000	45.030648	0.027299
0.044876	0.021019	0.000000	49.919845	0.093172
0.036062	0.000012	0.000000	18.163435	0.080557
0.037041	0.008822	0.000000	41.307373	0.040439
0.034757	0.000002	0.000000	25.112269	0.098640
0.036211	0.000015	0.000000	6.973215	0.228860
0.009014	0.002943	0.000000	62.202935	0.147097
0.038871	0.007259	0.000000	100.729371	0.159264
0.026925	0.012142	0.000000	67.877863	0.030520
0.035868	0.000388	0.000000	50.344390	0.160885
0.013463	0.000015	0.000000	46.912810	0.069886
0.001009	0.004081	0.000000	90.535705	0.129979
0.000719	0.000007	0.000000	58.334961	0.025473
0.037831	0.000030	0.000000	89.825510	0.034752
0.004145	0.005136	0.000000	67.787325	0.030572
0.000000	0.000004	0.000000	0.003662	0.006780
0.018519	0.000116	0.000000	32.445199	0.070613
0.013805	0.000005	0.000000	0.009659	0.032093
0.011883	0.000067	0.000000	41.172397	0.040913
0.023904	0.000043	0.000000	35.327295	0.020205
0.018580	0.000000	0.000000	29.472076	0.101484
0.000810	0.011807	0.000000	48.799134	0.054982
0.012674	0.000052	0.000000	12.428936	0.041469
0.014473	0.000007	0.000000	7.214489	0.075785
0.028360	0.000062	0.000000	6.869516	0.038351
0.002075	0.008849	0.000000	14.175622	0.097265
0.004957	0.018101	0.000000	39.167308	0.122220
0.039240	0.000009	0.000000	7.228115	0.045190
0.032111	0.001811	0.000000	61.640838	0.110148
0.038582	0.000344	0.000000	17.068699	0.142218
0.008116	0.015083	0.000000	54.469319	0.093703
0.034924	0.023063	0.000000	51.875750	0.077014
0.042124	0.004061	0.000000	33.000063	0.115818
0.007437	0.002287	0.000000	64.919778	0.123381
0.041306	0.000059	0.000000	62.205390	0.180268
0.038233	0.019626	0.000000	72.941075	0.061816
0.032758	0.000006	0.000000	45.851383	0.099396
0.007855	0.000029	0.000000	43.207500	0.139847
0.014046	0.000170	0.000000	46.858437	0.100488
0.001114	0.000000	0.000000	45.958351	0.088689
0.034059	0.000006	0.000000	116.680421	0.028802
0.039342	0.000006	0.000000	46.913515	0.059975
0.031094	0.000000	0.000000	82.927803	0.051894
0.002921	0.000003	0.000000	39.695122	0.035608
0.010931	0.014748	0.000000	64.163051	0.018563
0.000707	0.004373	0.000000	7.230199	0.065430
0.015577	0.004552	0.000000	30.693425	0.020158
0.023225	0.014511	0.000000	25.002675	0.062222
0.021454	0.004053	0.000000	46.603158	0.092937
0.000323	0.000082	0.000000	16.601903	0.050267
0.000000	0.012517	0.000000	30.641613	0.095069
0.040390	0.003138	0.000000	41.462530	0.078935
0.003789	0.012089	0.000000	37.458709	0.075148
