V0	Vf	V_sent	D	dt

-6.982919	-0.023203	0.000000	4220.042969	1.428675
-6.471805	-0.035884	0.000000	3684.283691	1.271354
-5.971548	0.000084	0.000000	3209.412842	1.219625
-5.484084	-0.005914	0.000000	2652.237488	1.159957
-4.987600	-0.014084	0.000000	2230.640198	0.979333
-4.482438	-0.024691	0.000000	1845.367950	0.953168
-3.995037	-0.037551	0.000000	1479.309937	0.789591
-3.495890	-0.000350	0.000000	1124.525879	0.776098
-3.002271	-0.001139	0.000000	880.702805	0.686856
-2.491422	-0.008676	0.000000	633.395966	0.535823
-2.002898	-0.018230	0.000000	384.509933	0.405650
-1.487279	-0.039239	0.000000	246.787399	0.334998
-0.963524	-0.001008	0.000000	126.412907	0.286471
-0.462735	-0.006602	0.000000	38.993688	0.214495
0.447206	0.023473	0.000000	41.672498	0.182812
0.931736	0.034335	0.000000	135.128601	0.266360
1.442082	0.048620	0.000000	262.165340	0.367045
1.967609	0.006042	0.000000	445.934952	0.451435
2.457494	0.009775	0.000000	645.974075	0.552186
2.974048	0.025997	0.000000	919.115707	0.619105
3.483332	0.039740	0.000000	1240.193390	0.762339
3.991882	0.001077	0.000000	1576.037231	0.917267
4.452714	0.010472	0.000000	1989.761322	0.937738
4.973991	0.020398	0.000000	2429.533386	1.038332
5.476299	0.020451	0.000000	2890.186523	1.280328
5.980281	0.034756	0.000000	3465.160156	1.275456
6.502663	0.003215	0.000000	3957.140869	1.434199
6.989219	0.013601	0.000000	4626.024658	1.566356
